term,GLM.estimate,GLM.std.error,GLM.statistic,GLM.p.value,Elastic net estimate,RF.accuracy.decrease,RF.Gini.Decrease
(Intercept),6.578672848658305,3.2377755570692304,2.0318495623622495,0.042168887941224246,-1.194735113421855,NA,NA
mean_mz,-0.012244967291994875,0.0014438560000569688,-8.480739970960911,2.237662051373548e-17,-0.0056844110305633725,0.004387726124327914,16.052807758222137
sd_ppm,-2.533804595977077,1.8505677850433824,-1.3692038824277262,0.1709355527691856,0,0.0014394641253842374,7.987888732667033
mean_rt,0.004384271602241227,8.228468648728243e-4,5.3281744020727855,9.920484359362013e-8,4.6020207773349e-4,0.010123538827801896,20.55380521983938
sd_rt,-0.16546498749296945,0.04344446260556651,-3.808655408981133,1.3972451737473372e-4,-0.11629004124753886,0.023300593043701075,92.99043981560334
mean_pw,-0.01723943996852454,0.015420890912638534,-1.1179276259840198,0.2635979050567647,0,0.007037009041390522,13.390760080210239
sd_pw,-0.05550828071207378,0.04231281296468554,-1.3118551290456921,0.18956901977033055,-0.03815360546159495,0.0025266904560918976,9.030773368591243
log_mean_area,-0.8508218686373343,0.3395370925104044,-2.505828928282004,0.01221647104889861,-0.2806595421865451,0.007107901624922333,14.23391473210537
log_sd_area,-0.6714303212957735,0.545812324092223,-1.2301487006774245,0.21864142587659788,0,0.002714436901174994,10.527027896506771
sn,0.41015359083003844,0.1163821863382006,3.5241956156258603,4.2477053478229894e-4,0.2956784287993048,0.018720793277908557,50.35638682748637
f,-0.014573702347583612,0.003391591836801301,-4.297009501393438,1.7311777752532713e-5,-0.003272191364713919,0.0055847703500207175,16.583293311227475
scale,9.73467130705908e-4,0.034793432554770055,0.027978473499949322,0.9776793200835725,-0.020420341986113658,0.007136916971343763,19.565287073368033
lmin,-0.0055748079531952556,9.44297065500458e-4,-5.903659088721961,3.555264548741341e-9,-0.0023576996463353576,0.016404652141364853,47.98856348796786
feat_npeaks,-2.6932062953470677,2.1972780685608053,-1.2257011681325751,0.22031115047501545,0,0.0017465943420735136,4.993427941212446
n_found,-10.825407922534236,4.899133011894932,-2.209657891763809,0.027128914224217836,0,0.003709984882656032,8.818823309171373
samps_found,7.916189825882841,3.7256803213114154,2.1247635715284328,0.03360634591088833,0,0.0026526065121890074,6.090308737305603
stans_found,4.443490580197427,1.2855332134382398,3.4565350266703967,5.471680914216776e-4,0.42650373765852523,0.003111048553178173,11.805827824637857
med_cor,4.253631502548146,0.5702468960040167,7.4592804140720554,8.699628276069077e-14,3.581219243330376,0.07644375461319569,228.31501530432257
med_SNR,0.5003016924829087,0.06882711243987474,7.268962400826519,3.622592057830105e-13,0.28257088180569556,0.04296370934831154,97.69912506026398
med_missed_scans,0.03312269083102959,0.015534082256494648,2.1322592660523165,0.03298553871891309,0.030130499368858362,0.009992171723811904,26.36653313454102
smp_to_blk,0.15651618500987688,0.09498084311875543,1.6478710850585232,0.09937912804925543,0.10317401269836565,0.007301633446769503,21.079122724037603
smp_to_std,0.03341644104493849,0.07420902957681212,0.4503015500337445,0.6524930214956911,0.022202747771509178,0.0035121833736752464,9.858411631876564
pooled_cv,-0.8224818226783551,0.5349013917395229,-1.5376326092620698,0.12413846959110413,-0.12063148224550212,0.0025249390200610487,8.610049139277006
pooled_cv_rob,0.40934792371690837,0.5530783445451067,0.740126471691071,0.45922325760916133,0,0.001157544012824693,6.415371342459768
shape_cor,-0.5646269807351074,0.20611456609274892,-2.7393841756968915,0.006155439928401187,-0.4907035098232843,0.01650492485059984,62.71386964829546
area_cor,-0.29493571518690304,0.11291766624855576,-2.611953691441753,0.00900264477077054,-0.1017025983057493,0.0034869311927221065,12.481962296368307
