mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
305.08816_12.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	29353336.9361898	38413199.2308133	0	0
316.73924_5.12	0	0	0	0	0	0	0	0	42893.3026125044	0	0	0	0	0	0	0	0	0	0	36627.8266947146	0	0	0	0	0	0	0	0	0	0	0	NA	NA	988744.213064878	1414059.2140064	NA	NA	124406423.693609	222898164.905333	651051.234224161	639429.803327273
317.05498_11.48	0	0	0	0	0	136518.381574093	0	68402.895995856	0	0	0	10291092.1139573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	54458250.1027328	64056819.972547	NA	NA	48009371.5513274	54508316.8376555	64396778.209333	56291265.5258878
328.0456_6.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	234936642.291279	332339424.365451	0	0
341.10921_10.14	2234319.13339789	10812723.2864505	11064557.043211	8411067.18595028	8684426.50247067	10972402.460472	9233606.70469428	12595882.1440683	7166339.25299198	10586416.9936056	1482302.76706674	2189149.42712334	2915967.80836506	14867798.0397098	18371576.7156768	19050026.4680199	8846516.03314718	7475515.03015589	8401369.25203012	6052093.20055658	14788832.9385082	11975473.0197022	3296693.57696845	1373568.68986728	1369997.70046443	12645981.8464308	15942536.0946216	16113120.8462082	9312556.196994	18458998.7162294	28655082.8781546	NA	NA	0	0	NA	NA	0	0	0	0
344.04042_9.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	61320306.1417271	86601092.6080265	0	0
370.97476_5.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	624229.59909842	0	NA	NA	32011214.2059605	79319963.8081731	0	0
383.11472_9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	37606996.7693965	57750185.0885564	NA	NA	0	0	0	0
410.08786_4.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	31876893.2503456	36761731.1387044	0	0
426.83884_3	0	354866.959667423	0	92165.8655386489	449487.929307625	0	0	41977.5805123121	54922.8467943402	0	6146727.84178027	0	52596.7243078895	0	0	158952.7824555	0	50005.8163472959	103829.81179474	39083.7346906553	0	81028.8781326796	0	0	0	0	0	0	0	79395.082210324	38518.0909133414	NA	NA	45517999.6341734	35069685.5121571	NA	NA	63718046.4616784	57796122.6927289	48135747.1913692	49358098.4218254
565.04823_12.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	30609575.2518213	45824047.1638256	99890.0966963439	0
565.04826_13.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122785.791719143	0	0	NA	NA	0	0	NA	NA	0	178452.342777692	0	0
606.07536_12.03	0	0	0	0	0	0	0	0	0	0	0	25738.4602987154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60971.2346246569	0	0	0	NA	NA	0	0	NA	NA	28691988.9241568	28338045.9398408	0	0
