mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
144.06568_3.09	0	0	0	64652.7947995416	0	0	62128.0795688666	0	0	0	0	0	0	0	0	57059.0820864533	0	0	0	92066.4416652058	0	0	0	0	0	0	0	0	0	193030.957434116	0	NA	NA	61676848.8259599	95371100.2925361	NA	NA	34442.5744001874	0	0	0
145.01332_12.05	0	0	0	97412.0846033555	0	96620.6849888929	0	88933.7887372709	134359.687689131	61751.2912956962	0	119808.132884653	34239.6847819414	171072.741172063	378947.016605654	63092.8248550573	39130.1461792241	71043.14400864	114886.84595245	35752.4557060269	50276.30460273	66576.453673701	34571.615588452	91633.0202110692	0	0	0	0	0	37254.0137683306	76137.6304261502	NA	NA	32837586.9399679	44885360.1620734	NA	NA	524329.015344175	869939.091455832	603063.259462492	302799.353506806
145.06095_10.77	0	0	0	0	192120.383379466	0	0	0	0	33984.0263230641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	39859712.7491789	63037544.3715392	NA	NA	24319842.5095575	25920961.6743961	31460713.6193453	34348038.0532941
145.06096_10.02	498311.113559155	7519480.54323513	8166318.91207795	6846284.75034798	7169905.65700299	8355906.93426612	6599263.66633526	27605309.5414476	18730349.950555	19557426.811799	911392.839055015	4346867.44941965	2601521.88785873	7168159.75810913	9481409.57052884	11715375.8979052	764199.769259009	1856954.39988267	1291306.65126114	14565368.7428717	13080952.475708	11976978.3410581	2638045.82403082	2324172.90372369	2345308.29428211	7535829.33421588	10280100.5780389	10943591.6631665	1009463.47922814	2583656.81108318	3334636.05209543	NA	NA	0	0	NA	NA	0	0	0	0
146.04497_10.92	1599374.81807961	20522285.608777	18765648.1768889	20373873.0045197	20252393.4813798	20471672.8405378	19673632.2303609	34355289.5135017	23742829.304343	22387049.8853033	14614298.1299847	26732738.9921253	21616468.1938144	24865617.0574125	19617269.1750504	24673323.0171256	14670131.4220114	18607373.9873267	15958299.3991262	21544014.2930803	13813923.3460704	14216118.8635144	19591615.9170347	17417838.0838932	19863444.304344	12316339.1413189	18078158.7529029	18448361.164956	15020381.8027406	27915296.8064556	31950402.0696505	NA	0	57803105.4598995	68457449.7327592	NA	NA	47768776.315837	59988335.0253476	44705976.9204639	55181008.4274776
146.04496_7.3	0	0	73899.6955323697	0	0	0	0	0	0	68838.4872809973	49962.9210219545	33508.9258338399	0	41363.5505873569	0	0	0	0	0	60828.2558701449	0	0	0	0	0	0	0	0	0	44751.852226285	0	NA	NA	47209272.3549848	49514770.2879377	NA	NA	0	0	0	0
147.01123_2.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	25287716.873838	24168319.1887096	NA	NA	0	0	0	0
149.02688_2.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	180829023.044495	270269602.553283	NA	NA	0	0	0	0
150.04125_6.68	46486.0586468864	31748499.4898721	31041849.895661	33803500.3462682	34318420.5307737	30714676.5844918	31946626.8225752	51018844.6207836	40418923.3320635	38789303.4031395	38280716.7158366	59909302.5320651	57788946.9377038	31004163.918216	26782706.0544276	27075959.0325061	35301401.5179513	45793745.2334503	29455269.1298304	14667472.7917479	33148182.5459436	13397419.3200802	48639369.3630237	22907709.0112137	32222657.7703114	19386006.5551429	20233192.7143537	25909616.8756709	27688861.5281922	44754424.2033051	46028533.403849	NA	NA	2108732.82015492	1895312.03783635	NA	NA	26176604.0429563	34971030.7828329	2166374.28475654	5127389.37444271
150.96977_12.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	58442874.7549811	89087391.9286163	0	0
150.96977_13.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	0	0	0	0
153.01841_4.02	0	0	0	59936.8870254688	0	0	59267.708554771	0	143099.446450231	0	0	0	0	58521.4141584641	0	0	0	0	0	0	0	0	0	46219.8520614371	0	75827.6805785152	0	0	72951.4522697285	142878.857229074	0	NA	NA	0	0	NA	NA	105273049.310053	125438976.214506	0	0
155.00899_6.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	258924434.655018	389024856.155547	NA	NA	0	0	0	0
156.99828_11.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	8695618.26256113	44622734.3630024	0	0
166.01719_4.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	3725656.02286221	7376783.09180812	NA	NA	534732423.357649	927737821.954468	3785160.81321845	4219340.97837984
167.99644_11.93	0	40938.8326436989	0	39718.5208268943	0	0	0	0	0	0	0	0	0	0	0	0	44652.1426212757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	142687.985007876	73351.2494348643	3367050756.71362	NA	20707536.9820056	24882146.0400042	75201.9944742112	172170.392530055
171.0478_2.04	0	0	0	0	0	0	0	56696.7725724692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	42782851.0642423	85893838.8547554	NA	NA	0	0	0	0
172.00668_6.71	0	0	0	0	0	0	0	0	38004.5355424476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	257035219.381049	482118808.489337	0	0
187.10825_8.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	50196365.4531785	96846822.0311532	NA	NA	0	0	0	0
188.05588_11.3	0	0	0	0	0	0	0	46071.9007325193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	86532012.5070146	147483885.650833	NA	NA	0	0	0	0
203.86855_3.01	0	154743.760724479	0	56995.8387348628	434441.052072163	0	88775.8421710522	0	0	0	4704056.66477884	0	0	0	0	71317.9886002003	0	0	72561.6588485366	0	0	0	0	0	32549.1024956468	0	0	0	0	27979.8000975281	0	NA	NA	61176137.2534843	45056489.6357481	NA	NA	110652555.929927	100198110.782986	57332946.5847799	64236513.7264743
204.12372_2.37	0	38314.7939097996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241039.724012286	117744.383315757	640034.671349802	88646.6324493669	39867.0061292583	0	90449.453845532	0	0	223661.506990043	413831.012740409	40238.9358369936	NA	NA	0	0	NA	NA	201663517.424206	319711444.750502	0	0
205.03584_2.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	26313763.0199315	49906428.2792271	NA	NA	0	0	0	0
218.78868_8.08	4226537.061454	25544080.8698143	15794250.9611681	31331968.8374389	16626527.202164	16748947.0167658	21033330.9907551	14940537.0990291	44519786.9399432	23671903.2772235	31117702.5971133	13194042.1942247	24628472.1749971	39024362.3626205	27881332.9485976	21847890.1691836	31108901.395521	31828027.5519629	26592888.8174839	35735066.8228895	26003874.0721055	28376213.5827259	27798334.5072257	34085435.6359972	26721019.8251514	32610858.6288767	27206429.6833638	30971671.8583335	46698508.6211559	37305301.9453073	22943337.8379624	NA	NA	0	0	NA	NA	0	0	0	0
225.09908_11.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	37408317.4995963	54708688.5027911	0	0
239.11483_9.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	39361293.5927432	58609696.1202394	0	0
242.07825_6.95	0	0	0	0	0	0	0	0	0	0	0	100745.45291291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	4371198.44175385	6066428.64091198	NA	NA	86662891.6697513	125062045.009042	7114417.84275629	7715358.72469775
243.06214_4.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70251.0079681004	0	0	0	NA	NA	5030624.10158921	10463671.3054978	NA	NA	36728229.8272083	83334082.0154304	5178589.49663385	7668428.4176917
244.08271_8.82	0	2574240.44871322	1842052.30276345	1721038.41604569	2173680.83684591	2031430.51360013	2159226.00633024	5202150.27705744	2225558.12698115	3121923.90455042	0	44422.8175162748	0	2322402.18706446	5678816.56517243	13347168.9230209	0	0	0	1574811.81101642	3746775.19632731	4276564.43413584	9211.62613728135	16757.246642024	0	3212314.04095553	7930345.73900349	7742119.7495431	0	11781.4868451515	0	NA	NA	53709302.6618437	74899788.2471209	NA	NA	51664736.1197964	60957791.7489064	62878767.219704	75205987.8604795
253.093_8.64	0	76203.5428580912	99841.7562957714	0	127650.280207507	132399.280561697	0	66735.6632047583	0	0	0	28383.8431880223	0	0	43399.6700238625	359207.174896798	0	39743.6352863084	24588.1128773693	0	0	0	0	0	0	0	264179.381874742	200982.430341862	0	0	51564.6406513541	NA	NA	11379146.1124539	8577960.55443985	NA	NA	43987922.4155605	33822126.7648656	11502612.8118403	9389997.6627331
258.15012_1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	34496694.8966955	14001531.7765671	NA	NA	0	0	0	0
