feature,mzmed,rtmed,compound_name,structure,class,cruise,polarity
FK_POS_0821,158.08121301926633,6.809013366699219,NA,NA,NA,FK,pos
FK_POS_0825,159.0764799177555,10.759698994954428,NA,NA,NA,FK,pos
FK_POS_0826,159.07646119671043,8.712959798177083,NA,NA,NA,FK,pos
FK_POS_0827,159.07645315093424,10.174286397298175,5-Hydroxyectoine,NA,NA,FK,pos
FK_POS_0829,160.09690996615603,6.980014038085938,Betonicine/Turicine,NA,NA,FK,pos
FK_POS_0830,160.0969157039488,8.022954813639323,NA,NA,NA,FK,pos
FK_POS_0831,160.096920454376,6.197325134277344,NA,NA,NA,FK,pos
FK_POS_0832,160.09688244381556,5.39501953125,NA,NA,NA,FK,pos
FK_POS_0838,160.13327944705443,7.196553548177083,NA,NA,NA,FK,pos
FK_POS_0840,160.1333234988943,8.28984120686849,NA,NA,NA,FK,pos
FK_POS_0842,162.0760953414634,9.051955159505209,NA,NA,NA,FK,pos
FK_POS_0843,162.11255341790863,5.275800323486328,Carnitine,NA,NA,FK,pos
FK_POS_0844,162.11252492463964,8.233120727539063,NA,NA,NA,FK,pos
FK_POS_0845,162.1125401128037,6.726203918457031,NA,NA,NA,FK,pos
FK_POS_0857,165.0581402283683,6.939016469319662,NA,NA,NA,FK,pos
FK_POS_0866,166.034990731932,5.587386067708334,NA,NA,NA,FK,pos
FK_POS_0878,166.0532315862891,8.768198140462239,L-Methionine S-oxide,NA,NA,FK,pos
FK_POS_0885,166.08632702005906,7.887883504231771,Ethyl aminobenzoate?,NA,NA,FK,pos
FK_POS_0894,167.12596140722928,3.124527104695638,NA,NA,NA,FK,pos
FK_POS_0896,168.05062437602842,6.312502034505209,NA,NA,NA,FK,pos
FK_POS_0912,170.06833897175096,15.214851888020831,NA,NA,NA,FK,pos
FK_POS_0922,173.0921803989668,6.8968645731608085,NA,NA,NA,FK,pos
FK_POS_0924,174.02199738371078,4.4801485697428385,NA,NA,NA,FK,pos
FK_POS_0925,174.03874957132956,6.729422760009766,NA,NA,NA,FK,pos
FK_POS_0926,175.1077667695207,6.81224365234375,NA,NA,NA,FK,pos
FK_POS_0927,175.119036066026,16.72916259765625,L-Arginine,NA,NA,FK,pos
FK_POS_0928,176.05537516822213,11.144624837239585,Succinylglycine,NA,NA,FK,pos
FK_POS_0931,176.1281554512251,8.996378580729166,NA,NA,NA,FK,pos
FK_POS_0932,176.12819651087682,7.492479705810547,NA,NA,NA,FK,pos
FK_POS_0934,177.03615427112325,6.729532877604167,NA,NA,NA,FK,pos
FK_POS_0936,179.00483837582908,5.561797078450521,Arsenobetaine,NA,NA,FK,pos
FK_POS_0938,179.07365333396336,9.470156860351562,Gonyol,NA,NA,FK,pos
FK_POS_0939,179.07372487712672,8.266624959309896,NA,NA,NA,FK,pos
FK_POS_0945,180.08664392684491,8.938519287109376,Glucosamine,NA,NA,FK,pos
FK_POS_0946,180.10195010548102,6.915293375651042,NA,NA,NA,FK,pos
FK_POS_0965,181.0693881646876,9.392179870605467,NA,NA,NA,FK,pos
FK_POS_0994,182.0672799940619,5.517046356201172,NA,NA,NA,FK,pos
FK_POS_0996,182.08122430634563,7.990095520019532,L-Tyrosine,NA,NA,FK,pos
FK_POS_1052,189.12333811343507,7.984024556477864,NA,NA,NA,FK,pos
FK_POS_1054,189.12336945947243,6.985976155598959,N6-Acetyl-L-lysine,NA,NA,FK,pos
FK_POS_1055,189.15973392617053,14.803292846679687,"N6,N6,N6-Trimethyl-L-lysine",NA,NA,FK,pos
FK_POS_1058,190.07101952018328,10.658884175618487,N-Acetyl-L-glutamic acid,NA,NA,FK,pos
FK_POS_1061,190.16300575734823,14.020567830403646,NA,NA,NA,FK,pos
FK_POS_1063,193.05306230832997,9.707369995117189,NA,NA,NA,FK,pos
FK_POS_1064,193.0895156314959,8.262836201985676,NA,NA,NA,FK,pos
FK_POS_1065,193.08936603796832,7.666927337646484,NA,NA,NA,FK,pos
FK_POS_1066,193.15485655046564,5.666852823893229,NA,NA,NA,FK,pos
FK_POS_1073,196.08296607334125,4.069387181599935,NA,NA,NA,FK,pos
