"mz_rt"	"1_extr-ctrl--extr-ctrl-_1"	"2_extr-ctrl--extr-ctrl-_2"	"3_extr-ctrl--extr-ctrl-_3"	"4_extr-ctrl--extr-ctrl-_4"	"10_exudate-0d_2"	"11_exudate-0d_3"	"12_exudate-0d_4"	"9_exudate-0d_1"	"25_exudate-12d_1"	"26_exudate-12d_2"	"27_exudate-12d_3"	"28_exudate-12d_4"	"13_exudate-3d_1"	"14_exudate-3d_2"	"15_exudate-3d_3"	"16_exudate-3d_4"	"17_exudate-6d_1"	"18_exudate-6d_2"	"19_exudate-6d_3"	"20_exudate-6d_4"	"21_exudate-9d_1"	"22_exudate-9d_2"	"23_exudate-9d_3"	"24_exudate-9d_4"	"5_exudate-med-ctrl-_1"	"6_exudate-med-ctrl-_2"	"7_exudate-med-ctrl-_3"	"8_exudate-med-ctrl-_4"	"33_pellet-0d_1"	"34_pellet-0d_2"	"35_pellet-0d_3"	"36_pellet-0d_4"	"49_pellet-12d_1"	"50_pellet-12d_2"	"51_pellet-12d_3"	"52_pellet-12d_4"	"37_pellet-3d_1"	"38_pellet-3d_2"	"39_pellet-3d_3"	"40_pellet-3d_4"	"41_pellet-6d_1"	"42_pellet-6d_2"	"43_pellet-6d_3"	"44_pellet-6d_4"	"45_pellet-9d_1"	"46_pellet-9d_2"	"47_pellet-9d_3"	"48_pellet-9d_4"	"29_pellet-med-ctrl-_1"	"30_pellet-med-ctrl-_2"	"31_pellet-med-ctrl-_3"	"32_pellet-med-ctrl-_4"
"106.08625_6.18"	30362972.289978	26295220.6786923	32019562.4025971	28388666.3786947	26821612.7005247	28124066.4148415	27903118.2288082	25809552.3382189	29619154.8351683	25818407.0380205	23025942.5207956	28072675.1381884	29459520.0561452	26119771.6236392	23771457.5178847	28295803.930825	22321156.775827	28342870.5645055	29316702.2970266	25786809.3113742	26477533.4399925	30068200.7200488	27071920.9530611	25251627.8621812	26464459.1538291	25880917.3986367	29455122.9334403	28997686.5461385	26144497.8932473	19107256.7225637	7296935.51325237	27781229.7795121	20215172.8254546	20724717.3403441	15535230.1682785	23725596.7407385	28897081.0020957	32878216.5665311	28222820.32655	26703287.7729974	27242322.098847	25695643.1808814	28886246.2848685	32463153.4493253	26015145.6988499	25230081.5307871	27590913.6964437	27887662.1367247	21463907.032837	27153553.6302166	26364327.7268303	24401858.4488431
"113.02587_4.79"	12521288.8477365	10501760.7904799	11157546.6014206	11771668.1094651	12068241.911077	12668949.609623	11192782.9005061	10975763.3960604	10986616.792512	10413826.8678642	9227322.00647029	10178664.7759157	12449866.9404812	10788903.7182588	10094991.0618733	12398802.3265724	10786541.942205	11639064.2393012	12391861.6211997	10578612.3804042	11116459.527697	11332985.070861	10929724.0797173	10251905.2087098	10749851.6033068	10761639.5538896	12117983.892788	12228773.2025051	11977791.1808479	6961450.84415429	6267587.67815085	11180968.8274587	4352195.29634847	4774408.38458607	1108651.95543798	5602500.70117746	12284370.603088	12255715.8039746	10928169.4132108	10622363.7116616	3113538.22716695	84073.5013308804	10251094.8578154	11074059.4726727	7792950.02225884	349984.973401942	8654506.5130923	3650852.87240246	7640576.04532744	9126003.28120144	10935530.5660099	8672856.92980953
"116.05133_4.31"	33475084.3450806	29086547.5969303	30578690.5641431	30619198.6082579	31678436.1622356	32161411.3109407	30737454.5843543	29960075.8618618	27291765.6067954	27174991.5047972	26002184.6684041	27435289.7219354	32273109.2456688	29545753.7729019	28044939.9316023	32255234.9638629	29117225.3957399	30503211.8688264	31436531.6223177	26599482.6410586	28957014.9613267	29562670.0777217	28755519.6924937	26907385.6705462	29378206.9515205	29023269.5972036	32285223.1084448	32363746.841686	30677379.974363	17049002.278939	17137013.8519216	29710629.5372722	20927872.6304022	22092962.9316053	12617933.2219199	24681809.1033491	31492016.9057818	33691874.160253	28429633.4342274	29661917.408171	26315021.8138856	22091127.9307197	30175776.1454936	31327857.9267347	26396818.7235702	25769553.6273112	28662760.3213312	27465375.9323777	18780590.9814058	30076035.7711981	29805295.3217643	21581472.0956125
"118.05155_4.32"	34213547.3548611	30177867.7807333	31991111.7674875	32009257.7529185	33149268.8570986	32926855.0823802	31718789.1180867	31447292.5334888	28732951.6701566	27208041.3955709	26864368.0150781	28025872.3075035	33661406.3033018	30721471.9475625	29037914.4933292	33459638.3367277	29627234.2500849	30964521.0721989	32705365.3155788	27582464.1235103	29528169.8019215	30220895.9686965	29922378.435828	27923831.3136682	30808762.9182036	30439265.4662252	33354508.1167734	33510142.239103	31666271.3242307	17360538.968681	17261758.3203746	30584259.1281117	21594529.8309265	22685789.0938947	12913552.6337383	25304587.4962987	33118423.7447977	34621950.6002936	29761261.6116936	30913636.861859	27151947.7261627	22194135.2678228	30581938.2971972	32142386.8836105	26728152.5756892	27007272.329035	29228547.184947	28947281.1259764	19302729.0197165	30873049.0383702	30646233.6928255	21969191.2340849
"118.0862_7.66"	363582768.990451	129949372.608709	206817661.947778	161173527.27239	139198730.718058	153036657.962777	174344561.440588	146974462.521726	154512434.128406	156790167.369831	154054249.989134	198112869.308011	136927134.189254	161642399.944123	139774332.397273	152352390.133721	139479370.425972	154573724.69673	155748794.657598	117613382.326918	185656775.739322	145370501.690115	203021100.221091	141179671.113035	148489023.746626	144124095.849338	162766306.532261	149579899.995088	139508977.371175	128353215.080742	139698414.714395	243555257.772722	17650248846.3922	8689779489.32738	23098084921.4801	2025688388.95598	309382688.990247	198205204.321012	222971078.029283	315147271.505536	622540301.349866	696638116.830378	851405113.059335	2499580090.77285	1221142853.48344	1231478688.65449	1379081639.81526	4913765731.9319	130458992.698205	154876458.411982	166918142.681542	141107365.924468
"119.05266_4.32"	22403656.649115	19860917.4875505	21052104.7558306	20856769.2466079	21212853.6146418	21998422.795226	20453285.1232342	20615875.8376289	19183200.6460839	19028102.4492067	17928477.0610158	18754744.3286164	21940587.9114316	20396516.986558	19376127.275453	21963592.6660052	19459021.4879589	20717129.725572	21310717.094032	17831570.1081899	19227380.5290083	19925272.4080616	19529518.8302683	18333456.0244491	20316695.8463623	19507211.3934331	21689004.2064409	21742578.8255913	20123310.2071549	11519104.6102274	11454096.4836476	19590606.7710938	13580078.1892405	14836644.6507359	1281427.50587395	16287366.3878105	21571987.3917449	22926871.4107644	19705833.253502	20379892.459856	17526955.1208279	14730620.3568139	19914628.0845201	20652432.2653779	17154580.8107965	17582539.8650381	18539976.894094	18268163.7544341	12466977.6254284	20088366.4356798	19854655.9456068	14259236.8313346
"119.05503_6.17"	47459653.7332522	47384801.8442845	51344543.9690701	47415667.6495169	44691495.7877927	48879331.7452897	45105089.0315628	45329764.9183864	38165882.8816681	34708738.7528325	31724740.1842987	35208993.6989398	46929476.8356628	44854850.1898783	44262374.8709902	45219244.9713003	43618018.4070551	44260639.8279736	43459594.3565559	40616702.0394894	39746405.8307462	41290227.6168727	39560768.265767	35952439.1323877	41372417.8453838	41916320.6647443	47347694.3742972	47061305.9166675	48123369.3818993	24670512.6942249	27849848.6574459	41634000.551889	21166655.5375275	23532072.5945838	3472172.24101988	26783689.1715152	44723532.5047314	48500570.741781	45513507.4748196	42284632.2518232	30677168.0053332	25954496.826513	34244914.1808661	40191273.9981691	33082021.8763927	25279724.7522522	33724324.9585525	28754132.1582508	29369360.1773114	47659447.8285735	47005711.1586457	31984750.0184464
"123.0232_4.79"	35846334.1196453	25384031.594428	30835066.9832222	35148911.4725905	36058817.0130701	36687980.0948202	30063803.3623345	31139987.377017	31652876.7902073	31244724.1044096	28556633.8623251	30916253.7386258	36867307.4922023	27486812.9635389	25178932.3134089	36350497.4816897	27832037.5117549	32754080.8707147	37319344.3958338	28774072.9120766	31996390.4626474	33301152.9821062	31125331.2774276	28597220.8707875	29505238.0848598	29649810.3989914	35445226.1470977	37454959.2596775	33647904.8715625	19305248.5603495	18502628.147402	31957386.0472423	13220258.810079	16210176.6096496	3844468.56132774	16250193.9963886	34705382.8163013	36602712.1934279	28554965.6769289	29255686.1675424	27831275.6587121	23890112.7516263	28671565.1910419	33994684.6980139	22578486.8850988	2713272.91858817	29330878.7241827	25330498.5213184	20403745.4632163	29958918.5736048	26536300.7330797	25212373.5813411
"129.04632_2.66"	NA	NA	NA	NA	NA	NA	NA	NA	3891747.90815281	16558716.4435917	22834106.1163156	28284128.7537196	NA	NA	NA	NA	NA	NA	NA	NA	997020.63073239	1232361.88958963	2679438.5473829	2646904.76950828	NA	NA	NA	NA	NA	13021.9479097956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131.04342_6.93"	NA	NA	NA	NA	NA	NA	NA	NA	31861628.3218934	66400160.7888291	43670508.7045921	62201846.5193675	NA	NA	NA	NA	NA	NA	NA	NA	5159707.05109216	2809214.82834776	7451131.39376785	3582162.75485693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17955.5436215939	NA	NA	NA	NA
"133.06805_3.21"	NA	NA	NA	NA	NA	NA	NA	NA	4927835.31353987	21051489.4363749	14073348.0101396	22368871.1761309	NA	NA	NA	NA	NA	NA	NA	NA	1315715.43787634	862083.439363092	2452184.74792716	3439011.66302903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29155.8245883659	56737.200336267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133.06808_3.95"	NA	NA	NA	NA	NA	NA	NA	NA	7156385.60646279	40878504.8997533	21983770.0244194	39689900.7783844	NA	NA	NA	NA	NA	NA	NA	NA	2371329.47775229	2095014.36217765	3973537.62780686	6453315.42428941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45392.2404850606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133.068_5.3"	NA	NA	NA	NA	NA	NA	NA	NA	46364343.1421842	23486882.5392206	39087097.8897708	15000949.3248499	NA	NA	NA	NA	NA	NA	NA	NA	2584566.28256439	3508267.77898308	4085479.10773121	1139346.74446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26679.7420894597	6229.13888505938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6295.58494393282	NA	NA	NA	NA
"135.04722_12.55"	NA	NA	NA	NA	NA	NA	NA	NA	3630337.05263626	12445334.4919522	13335924.3801651	8218406.19299201	NA	NA	NA	NA	NA	NA	NA	NA	188171.817913579	232388.546305945	523677.777890261	775451.494500588	NA	NA	NA	NA	NA	6771.89735007073	24528.5978272937	433156.374255382	317103928.240187	83120179.5968505	395344191.95801	27738025.5157815	33922.5091213638	24362.878007859	31381.2564067841	58449.3218202123	2747366.22974982	428793.129581793	1549085.14069925	4253801.97451979	13623267.4973763	7183166.23952842	15646889.5075114	44362678.4366078	NA	NA	NA	21163.4376126996
"136.94011_9.4"	1141619.82910548	1818352.25700506	3025438.52124677	1305641.3629884	2075577.32820265	3230797.04508377	2455817.76178915	3364484.45268348	40824878.5450192	939094.134610768	4052539.45489796	5406885.91642661	2985764.07940549	2624850.40978598	2418882.86191862	9533016.40410302	2253506.27395629	2262229.71781672	677097.737877846	2832395.58870961	4608532.01146581	15651730.7043469	3945014.39211897	2377463.85215675	3725914.58938552	3173576.03715457	3106764.38055725	2455787.3421172	1735262.33925987	631775.424045391	782184.666788433	1927049.31728128	13600872.113488	4781606.25889258	62660867.2646502	3228774.11933263	3665130.32489465	2230629.83850881	1862942.16786639	3297023.54325172	1373968.56374623	257507.973365957	2427473.96533683	2519632.20212736	1753483.90687012	69048.6763629913	1634708.56038174	3827158.08481207	581788.596510988	1668005.94811652	1812321.42169194	1078910.47078082
"139.03016_4.31"	62469393.9296398	72076909.2565786	65653452.3836162	63661270.5015146	54122905.6413845	66901490.349573	57735228.0093796	47656815.6440879	25753818.8815515	21819704.6446548	20078194.2225971	20939114.9523016	50653111.3989559	47568172.3779345	42676114.4554498	56147725.9565726	42814200.7276149	44856273.8405909	48882482.0909662	41585655.0032753	37868338.6213761	33452168.3745569	33066988.3220783	29035578.6204349	45939033.1509718	47499382.9686955	70179500.0388387	55558312.9180887	55169832.9592765	37068316.0556293	35023042.3320258	61095509.8669901	12777859.4408074	14793871.7160229	70840.328177083	22084530.175591	47905073.4190914	57137017.2434337	48609900.4619781	44726203.6277847	38509711.8986656	36837097.7331555	36616626.9617529	46890929.1180421	27572688.697423	25850211.7804105	30897524.443229	25921122.955796	41087503.7715926	61830167.9777144	47469003.5326378	42926406.7528277
"139.11903_8.94"	232362159.708587	160969110.436802	200564213.678077	226882458.17221	224181811.12716	229488815.724224	192327742.406018	208115837.323864	228319779.981384	224626382.387469	202128274.355431	220333465.531761	236672170.952174	175557898.233142	156809909.504829	238457927.822457	179838335.56346	226378746.883442	234353797.771263	195752056.896838	191897545.209905	236984157.931699	219626834.763862	185398843.419232	183935354.257297	180067377.063977	232942280.902969	236721657.431001	217685191.35662	114938259.838921	116632867.642981	191557833.977956	185788909.256948	195010634.193748	245974465.184939	172196317.887947	222980463.450894	251522209.410359	193930282.739472	182290740.164426	210912876.089755	162035264.925577	188597330.438166	247823960.104242	176988417.35055	213228503.697743	234406115.843437	247646696.811243	128594592.963424	185992676.454743	158973312.768102	162247695.922792
"140.03677_4.79"	75350996.2990746	67754742.7581313	70833377.1475964	72455351.9800447	73894016.0837551	75665422.6845514	68400749.7790209	68246526.2078626	66889368.8852289	63395215.1889592	61876291.096036	64076401.051057	74464285.1257141	66802337.8672086	65217572.2891159	75357163.3917671	64795031.0803351	69005282.2358107	75027560.4297092	63327800.6632877	68826443.4057051	68773401.1081109	66386746.9734039	62842591.0617328	68012286.7462661	67664038.1922018	75051470.3326754	75125675.7458987	71499476.784243	45312284.8502957	44210480.6405854	68194731.6278878	32113090.4554264	40577073.0543412	2296012.95168989	48626427.66983	73333878.5399138	74860131.1474062	67817868.2816965	67359255.8520166	60093045.4171528	52595863.9397714	67166203.1539641	69295528.2758652	57221090.2090891	52073421.1374306	62674921.2329569	57394021.2549201	47557119.0932679	68318380.7233999	69730654.1248941	53798607.4847515
"141.03386_5.71"	129597455.9968	104756733.668653	137649504.23493	122173669.12654	116884890.072494	127981365.124359	133495399.60078	111332909.007956	72620386.0323826	48579521.0779268	60417586.9241699	72113301.5864016	120343380.486085	107687333.308256	99830050.4097434	128810799.904612	109490836.631048	149068126.206351	133166446.304372	25803147.4505628	139443706.3869	113739454.443004	96291891.2474839	76584467.8109264	104701210.571536	108822467.399518	131189552.709624	132127667.017175	31285500.1358897	67513944.5151769	69807575.8400619	125466685.635366	21946334.097001	23313308.8373122	22830058.0750528	22430908.8152343	120013457.824635	128680207.526234	110719824.3514	108983231.732933	135272048.519295	85210976.0710662	110843054.63383	124463469.581066	20233635.9143973	30570536.6001701	31256184.4874652	46289889.6798901	70141994.8761774	58476302.2577355	109760647.231035	83149708.6755331
"142.03723_5.71"	5617401.50787661	5421704.44195958	7252425.13584675	6249086.75955159	6393922.70542901	6588504.27351814	7035421.9065856	5943004.63089949	3634261.26584448	2596993.15804482	3006384.22307206	2284515.96006903	6276637.51481971	5991919.06836444	5183146.91232318	6823777.92239335	5165288.17786067	6944738.88849738	6185293.13952447	906402.727727106	6455634.64396373	6495183.81583095	4739636.11109003	4063054.08774741	5945930.22282093	5684777.73603239	6943019.41655153	7124788.90725503	1785615.66398143	3548170.67126325	1049383.1623152	6595008.59363013	842394.87426757	1051511.53100488	492343.344278728	718355.18608222	6413436.47912141	6811583.48587542	5316712.89600351	5735851.13276451	5320450.76854427	1592232.45195404	5636503.21970461	6733548.23802968	1028923.9924029	1293081.42681851	2002262.64016422	2071053.43584501	3737284.34455742	3203496.7194816	5984868.56922017	4669356.58152098
"149.0457_4.18"	NA	NA	NA	NA	NA	NA	NA	5434.00799046816	26488998.9404106	16656392.2421724	14377322.4327922	11089447.2328234	81304.2210837264	17321.5790738832	15078.2349885095	43222.3951023375	31782.8398787672	589362.382628811	1340986.35838987	72037.6760678413	7649659.88907971	9199772.09149856	6863915.62631987	3260346.24720131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15592.7356104932	NA	NA	NA	NA	NA	NA	NA	27704.282994347	NA	NA	NA	NA	NA	NA	NA	NA
"149.06294_1.99"	NA	NA	38891.3855044693	NA	NA	NA	NA	NA	15841894.7361326	64581186.2935725	427948115.138793	39412416.5923506	NA	NA	NA	NA	NA	NA	NA	NA	392881.889734584	217201.634609571	2266554.94852903	18343474.9740159	NA	NA	NA	NA	NA	594458.984038894	1515448.46036711	304711.000121141	991723990.171052	256414554.717519	1360219879.86169	452199386.603711	893803.062473744	107175.674509906	NA	90532.3398502461	6606864.52750311	35652.6788009647	1330008.40914847	1097516.57891308	44327037.1230439	365607404.981187	76182260.9663629	144249918.626533	7124.13418357759	NA	430983.233830432	193750.79713856
"153.08511_1.51"	NA	NA	NA	NA	2043438.91694452	113244.173376002	1132599.6834482	2256708.81180082	29345.7695536151	170617.841173418	NA	NA	10799809.9754114	6736305.36014304	16817029.2809312	14693619.2383056	32357095.0574294	28552740.4462705	38094583.980871	8731361.15700809	30814.9415313158	30379.5548886582	58510.5052364543	26396.9542916045	1460868.51761548	2102758.14875218	75107.4154194451	2338794.36000935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21357.6225100636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166.07218_2.67"	NA	NA	NA	NA	NA	NA	NA	NA	182792405.830138	650414252.493571	577038676.217421	788653578.48086	66485.9188246456	16324.5207305659	NA	44543.4166422757	4717614.41637933	2885179.15174376	6028233.11787605	671408.485191356	200338091.186316	189367060.317611	334308351.918923	366174766.35551	NA	NA	NA	NA	NA	NA	NA	NA	11499671.8679154	17077573.2108784	33165699.7710824	15356399.0599961	NA	NA	NA	NA	2219124.4299069	370642.611696571	659968.811571207	788763.441167357	13998364.8739176	17570038.8435333	18995773.8134033	16252341.7478422	NA	NA	NA	NA
"166.07224_6.59"	NA	NA	NA	NA	NA	NA	NA	5854.23487736319	23749089.1196531	14583522.2602422	14195402.69199	9668116.63708919	98135.8517290164	78444.5166734901	95251.2136228925	25903.5508627032	2807687.11109029	2827507.57741819	201657.79834123	2174923.892023	10710670.0167603	13768077.1716247	11739306.7204811	6815895.53908346	NA	NA	NA	NA	NA	NA	NA	NA	33119.141378018	38009.4780121986	NA	269757.526723493	NA	NA	NA	NA	NA	NA	70531.4331579831	26312.2999262485	NA	22974.6197798459	44862.5945120917	NA	NA	NA	NA	NA
"168.06391_10.42"	68642563.094015	65279173.3516195	56824989.0573995	64752004.5952256	66582180.2677986	67618307.4939073	59076098.5562445	65047047.6854479	58745704.8242281	55502447.3349226	50876736.3654698	53556133.4748214	68785943.5642167	64621918.0197351	62603618.9497667	63123158.9171705	63308772.3880683	65611078.2809465	65210257.4666117	57899455.0288782	55435723.7679247	61893572.8200759	56241000.8476251	59910242.9889841	65283537.3338929	62469643.8224266	64011857.1848535	67527573.1210594	62667250.7785804	41102273.6849636	41144179.7098208	57694602.1237072	52033848.9991033	56145642.3579913	52243077.0006278	57349737.2445477	66960773.9595676	65263068.8067414	64258856.0195652	64268091.4124552	58278895.123809	49809206.295233	66847475.2614846	64713999.7302408	58982600.2261499	58267773.7719007	59389894.0412624	58666639.9602539	44884088.1890916	53537492.5576581	64951788.1687646	49529900.0402012
"170.05948_2.23"	NA	43824758.2036243	49028313.2648437	46206610.8647476	20471936.9220382	48636929.1254856	22774384.8329534	21657967.6317786	24502239.4563347	23142417.6028846	19793440.2740036	21187550.2415818	25008299.1176101	23225871.3903598	18578770.2370011	26102911.990151	20816195.5127709	23186566.6872284	25854513.191177	21905414.5926525	27490713.7412421	22802910.6943317	21475636.056483	22638040.5923493	18645822.0763187	22935904.4302858	48601776.0680805	24726612.3927126	46007173.9005374	23546906.2195803	22641812.5575587	44741471.5185424	11036824.3409499	11211707.7047264	27261790.9425699	22164752.670634	41194954.1246792	44810825.4344247	38085441.2624531	39420943.3148015	35197138.698148	123103.877149237	38077405.1302113	42510107.8275595	26314499.1606447	36294878.2742331	37944515.0364585	36535731.519529	25452523.9999795	51176167.9420346	43449970.4042892	30918306.1261514
"170.0595_3.14"	19268234.6972898	12682589.3633927	20714498.5059277	18589971.9968341	18194529.1964149	18405281.5687906	19740012.0998369	16360961.15105	18554215.2590431	18237418.2305827	18080428.0472828	18523499.1199726	18543384.4141511	16265570.068829	15459662.9135122	20352615.9205693	17642861.703725	19036500.2306377	19162204.2141509	16823925.9660629	20101772.0091333	19626401.1730664	20352171.9512207	17696002.6735543	17092011.9419525	15803705.3263766	20980760.7467175	19105468.4764864	21259731.9709	9081969.5530965	8704826.08098914	19592506.1755813	14502350.0496576	12896879.693255	7192578.74264622	13122869.0706125	16648168.1562379	19283812.5024227	14614124.6497451	15757299.2052878	15953830.9388739	12941499.7119346	18571472.893712	19606682.8686615	16046784.1825304	15492666.6427881	19904743.4951895	19026505.8561393	9359015.85286909	24152641.8177309	14801914.5026951	11960272.4851274
"175.1013_4.34"	37168879.7674436	22504262.5439573	35939691.836794	36385289.5065754	36677197.7865561	37986189.7930693	35662922.9381807	29615281.4820056	33818922.666001	33932776.7400239	29225257.6937481	33942013.9741775	35257647.5990901	29104117.6146565	24399181.5652115	35528917.9542791	27982227.205924	31486057.7331796	36074780.3881495	29733453.1504209	35217421.95463	35388103.6793288	33494846.8180126	25257202.0078625	30288865.0792631	30523734.9782825	35717941.5473451	38808994.5949825	36597204.9400311	23065467.840429	21127941.2699203	34947000.8286633	2716470.11992702	3629526.74684117	NA	9168069.8703236	30717677.4987874	33660789.3904797	26452774.421691	27981945.2017558	24705234.8773399	23334347.4151783	23349384.2728825	28426020.3024255	11702315.8644955	12964962.9578665	19014793.1457157	5173666.50224591	25337173.6346974	37013831.3792651	24843173.7365345	29440105.1197036
"179.07343_4.21"	3487270.70377389	NA	1639454.1133999	NA	NA	NA	NA	NA	NA	6020.70943996342	125056.298179984	2096274.71558879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12913.3777620728	NA	NA	NA	NA	NA	12272435.3964006	74343973.1832036	7076276.86901918	3480881.89468484	12833563.9656659	3669585.49693941	3362724.43144934	6017926.58067616	15501865.8379625	3921376.59468303	5268196.88368184	121768088.913722	57732446.0519326	130091083.63787	121952649.80793	31151535.4454565	108302872.341832	46057796.2018989	46794733.5630613	243665.981233384	NA	1814637.02236701	4039198.27068177
"186.99516_11.04"	94369351.5458435	76705895.9702592	76060337.1631521	133046963.584478	519489607.311485	275321141.65954	256730541.820724	403888896.690219	509318108.276627	373590468.328994	440565440.879418	603890441.883366	289423947.992261	271188468.954074	232497665.483204	775858008.542664	205341266.693055	211725953.945328	472796479.696107	443376412.587233	425504516.495176	614730175.252179	353759477.307316	474206205.185384	432278651.077091	292023430.1294	264781901.49978	287701910.496659	104580836.631353	101577552.121294	78253743.7317229	94235086.1891053	455243538.041613	305384322.64555	1378540287.45809	96887069.4097665	371486388.577303	105624144.448855	89215790.9802921	300373967.553194	131187490.4974	101062465.633166	81987387.9902311	130610388.066032	99088856.0013395	114407768.360885	127471481.895345	198911475.351476	71941740.0647364	98128167.7903337	76525247.8174534	91361652.4793657
"192.08778_4.22"	NA	NA	NA	NA	NA	NA	NA	NA	40691202.6663973	40631670.6155141	36925169.5743726	12249184.0485421	NA	5210.07156596926	NA	11528.4063613261	53113.0264050175	66285.0757305282	105542.573679403	64269.135139109	8724534.19001629	7484358.26756511	11541746.934628	8703361.22564308	4629.65298570187	NA	NA	5016.38613810544	NA	NA	NA	NA	NA	19661.155523966	NA	126337.059354192	6273.38852965832	NA	NA	NA	NA	NA	9069.0617770152	NA	NA	12378.7398992648	NA	NA	NA	NA	NA	NA
"192.15932_2.88"	210081057.950606	75468960.2395255	149711346.863919	129900225.960369	791102649.414336	141364752.524843	817483314.608111	398636643.713136	350580786.900531	480390232.296609	469457416.774448	576962313.516077	776253409.483908	554353441.324248	710253251.077273	754515923.221131	559757695.090133	730493683.068646	495268498.43587	699549702.513378	462987580.384808	593372419.227178	950679406.10095	820193187.317782	640770082.338099	368869731.590906	133027598.36419	838671211.357038	108663272.207767	100295472.675969	657811143.392317	143183629.846697	200026684.425826	128641059.580555	198822185.012292	209971215.439798	144220055.270343	111882523.907209	211027543.953252	140070560.716917	246497315.220788	176056897.524689	156434073.271483	145146879.495694	115572275.20343	152969614.707579	135628040.052542	181379262.542406	342669526.595646	146162320.7813	133694847.339497	82681432.7637839
"195.13452_9.59"	18098535.8430164	17473823.3755316	18222149.5145876	17254908.202692	17873351.9761282	18115644.3712745	17970964.8968594	17694807.0563292	15683041.2784223	16519893.9185277	16415744.9984697	16410177.0713444	18668466.8163548	17060542.1792284	16983260.0972458	17528277.4780619	16907974.966912	17726929.6295845	18231540.5754078	15212225.5269586	17523875.2284226	17009773.7566691	17615143.5656252	16287546.7676307	17128042.6928666	16669601.5690918	18427147.7271617	18283193.4852354	16094385.5646134	9875133.02389613	10323048.0831831	16837179.9135381	13329920.0962335	14610106.3848473	14520844.838191	14772525.7581405	17524485.3242472	19472951.8611034	16978617.6746645	17180630.9678411	15880286.5026949	12747809.5116508	17431978.4284566	18612146.1498067	15433767.7165548	15795619.2372358	15977260.2870256	16985450.4192892	11389564.9925159	16785920.204566	17776301.8904906	12247089.5744135
"197.0395_4.54"	112406916.476224	8814338.81012451	61189715.4128001	42555517.2028847	131790904.673989	38285924.6773225	72966192.3462597	134403206.950972	111996988.075983	94689812.7144552	69454404.27528	64670937.6608277	130343059.516178	118290763.747922	92284649.1877059	120091104.834026	98198922.6076247	93300946.3463131	98499432.596203	93791236.4792282	88017937.719516	148897183.592653	89320267.2814187	69685879.7104611	132621425.168054	121102090.593528	37257173.1912583	100461433.620756	166821007.454449	59735864.6910311	96514400.836305	102409280.679491	43183870.8839033	40284320.5595833	1513397.06885722	82263018.1339569	142004882.59211	105141170.134407	129555473.037495	157813557.781695	100600221.434234	74192658.9460111	131979724.012391	145394660.399802	95718912.5948381	57733904.5223136	132209488.299573	90260985.9663591	53339237.4919827	138828612.701877	144636336.747403	108661992.41372
"199.03742_4.54"	112782350.130264	8861852.55177676	60622560.6716101	44022921.3241464	132203449.319278	42099182.2561067	86709968.377298	134013275.587582	111014720.079214	95967149.1704609	68515026.2203407	64054739.3632848	129280532.425384	120141551.995583	92785775.2097625	103888468.646675	98158142.8564616	93890065.7187649	98408397.135848	94831007.0523834	104873559.781254	149419186.790478	89203534.5055054	69467106.8191709	131578897.648342	121493699.972067	36531066.5354257	100377556.32727	168362716.944634	59893858.0349614	96193098.9764352	103128581.576872	43420386.5317393	40313070.5496563	1513133.47289844	81824713.9181023	139623962.761663	124092979.401791	130409798.54762	157075238.682471	99846862.3962784	75487324.7387641	131102503.762524	145457021.090851	95086683.1453941	57566524.0680083	132706655.127117	91989871.9834317	56479208.5275669	139612800.797217	142236605.535307	109448405.575297
"202.17999_4.43"	19881381.143204	2077034.13109802	8256412.65808361	19850355.7604111	81946907.4476115	2973689.83314346	56672417.9039933	54500953.1861888	45929940.0077093	51093041.5244566	65190671.6551881	60359332.7049359	53860236.8955153	46942514.6441087	47689376.238344	56504969.4079981	51481546.6063393	50536687.3186089	53782743.8047652	53325331.6218062	55064693.8482874	56364544.3726744	71319967.8758333	56892482.2970423	61070256.2526306	44065041.8656881	3121476.25055374	59390197.7839895	903254.716665529	2475885.24236809	2720702.42136321	3551556.9292731	8164480.86055843	8305348.15656527	18664187.1695502	14634091.9121926	5198249.76311996	3430260.29977277	4470441.92986824	5129071.78921619	3706818.63708809	513210.679362103	5381598.96908169	4951015.05855032	15340580.5799649	14233178.3404255	18906839.7475731	20980438.9400406	2151805.68445362	1907991.10150978	3733614.6299713	2273298.400159
