"mz_rt"	"1_extr-ctrl--extr-ctrl-_1"	"2_extr-ctrl--extr-ctrl-_2"	"3_extr-ctrl--extr-ctrl-_3"	"4_extr-ctrl--extr-ctrl-_4"	"10_exudate-0d_2"	"11_exudate-0d_3"	"12_exudate-0d_4"	"9_exudate-0d_1"	"25_exudate-12d_1"	"26_exudate-12d_2"	"27_exudate-12d_3"	"28_exudate-12d_4"	"13_exudate-3d_1"	"14_exudate-3d_2"	"15_exudate-3d_3"	"16_exudate-3d_4"	"17_exudate-6d_1"	"18_exudate-6d_2"	"19_exudate-6d_3"	"20_exudate-6d_4"	"21_exudate-9d_1"	"22_exudate-9d_2"	"23_exudate-9d_3"	"24_exudate-9d_4"	"5_exudate-med-ctrl-_1"	"6_exudate-med-ctrl-_2"	"7_exudate-med-ctrl-_3"	"8_exudate-med-ctrl-_4"	"33_pellet-0d_1"	"34_pellet-0d_2"	"35_pellet-0d_3"	"36_pellet-0d_4"	"49_pellet-12d_1"	"50_pellet-12d_2"	"51_pellet-12d_3"	"52_pellet-12d_4"	"37_pellet-3d_1"	"38_pellet-3d_2"	"39_pellet-3d_3"	"40_pellet-3d_4"	"41_pellet-6d_1"	"42_pellet-6d_2"	"43_pellet-6d_3"	"44_pellet-6d_4"	"45_pellet-9d_1"	"46_pellet-9d_2"	"47_pellet-9d_3"	"48_pellet-9d_4"	"29_pellet-med-ctrl-_1"	"30_pellet-med-ctrl-_2"	"31_pellet-med-ctrl-_3"	"32_pellet-med-ctrl-_4"
"442.03482_4.79"	15324771.6594651	15346232.9396055	18498614.1516083	17746717.8895443	15236435.4032014	16550667.9417583	16053304.8000276	14617353.7071788	12325145.4282035	161190.827326854	12036313.4027254	12190952.2067193	15334291.5716675	13779031.5611372	14082273.291015	16937634.1867667	13217683.8899562	14209341.9347961	241563.326029472	12900963.3277686	15168960.1078145	209316.023825587	13710926.8522487	12251474.9714831	13553939.2832906	14195006.507752	18611763.4022425	16404005.8632509	15322011.373693	12255021.9758184	10340769.1494411	16907828.5820281	3792007.40678193	4630008.07578322	1181044.72736532	5953068.73320457	15284923.13716	17109026.909784	14941575.6994957	13728231.4319524	13998523.1503951	12493566.6932936	13898935.3654572	14188115.8845193	12043774.6893216	6218784.7863842	13737554.5922043	9091461.52724144	12543595.1173983	17400153.9328939	15583703.3305096	12681028.4853305
"445.06857_4.82"	26098744.943432	6789036.77704288	31495902.1256091	30308160.5531838	22111402.8107322	27120750.9121312	32937856.8050953	12808427.6132469	7431951.44878365	11628418.8875989	14266884.8447509	12871478.4909207	16935847.9457653	9794499.40385924	4201201.24313245	23570245.3590302	7165942.07153865	3200539.70618384	20926843.4511159	2447816.29441255	22621549.4733736	11516555.8458774	17990992.429983	12087977.1034367	9982096.50507701	4661359.51533814	31075420.2450358	23474188.2391251	20075398.7548549	15836476.757449	57808.7936372737	31016089.172203	2333817.22961706	3546899.10574775	66937.6348763056	5443466.82827817	12096408.1326833	24385289.4650184	8577013.21926311	9305347.69504209	21619084.5777763	18577254.0398437	9128958.54374129	16569536.3430686	9988797.983739	7290518.39944003	12199773.0428114	10578599.4496489	6084464.27067946	34334116.6743107	2906640.77726206	14717665.9203584
"445.06916_4.82"	2962591.77622966	24661392.5371104	32408753.8224908	9912909.59796232	8284191.09287341	27240262.9369128	12118599.5262279	19518911.6480908	11516713.4510267	542975.046403123	14632779.5260906	10382346.3592322	20107848.998311	20190839.9650244	19824635.098409	24813806.0431122	18655889.4115587	18366719.5988897	664137.833865443	18311846.9897684	3179278.12515178	665351.803793504	19387846.7937686	13692779.0517815	18822377.1619826	19487108.8707891	36270261.6682086	23766554.1540996	20437618.7855214	21828202.8075658	22019594.3819464	32495569.7328016	2863716.56964194	2750468.04697689	NA	7963916.35085111	19995643.3709546	27745092.9852596	22609974.4500919	19737661.3942592	6629744.85212217	439113.622851708	17795477.8883715	18608462.9663312	15574516.5655876	1534853.24430074	14582843.8359139	2095373.5016721	22056251.943379	6307564.47336295	22007291.8357066	22661072.2718331
"448.16807_2.62"	NA	NA	NA	NA	NA	NA	NA	NA	4680268.33537346	14553732.0251486	12466872.699787	10651142.7234779	NA	NA	NA	NA	NA	NA	NA	NA	2963461.49332893	2657177.13911453	4262698.57425982	2998719.03907528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"449.14823_6.38"	45951166.2726333	7394461.09902096	31527837.966706	29048650.1923798	37052479.8908401	17209551.9836441	30141175.1461975	36865696.89472	54694331.1268438	40528084.8070424	39531086.8163092	34303162.3437561	36338785.0971183	26323707.457193	33949341.740994	33096871.833769	32565545.3407337	42947369.4931786	26728550.7398865	6226349.53058373	50047195.1884133	55798675.1707141	32445134.7706947	62497811.1781878	35205267.8900416	25923251.5923555	23259006.8162459	39242380.0748615	19338196.5941265	13408088.458572	6066531.89829232	18389643.7373004	5096216.42771924	4218707.84161178	54241.8586116204	5630062.52046747	16582089.2597398	13653719.6169416	10070913.2699343	7361996.51695523	8288599.83212629	8418837.7617545	9218556.7048992	10300895.5903955	7059324.6166398	6778581.64112381	8633351.60229083	9255870.69133422	15108778.0068345	18483872.4497789	11521576.5840771	14626344.8280111
"450.0185_2.77"	54245077.185757	68203.0074613	53549220.7454432	55896394.8075516	39631905.877476	46160356.3405558	42349557.0528927	39714.8225425333	2141350.8819587	7953862.03707218	6751892.38014592	6989000.47352283	2862298.26816612	75211.393990308	NA	1053131.42049615	487694.208152095	289885.116482913	32164168.5610689	NA	21450983.7314884	17722439.6086997	9169890.41907244	3437082.79878264	1310362.80332722	89045.8864799241	46310559.9863766	26876918.7219134	50611191.6510915	23833014.7072092	NA	47415583.5462929	20395529.9105047	16047012.1539116	1549661.79418833	4526053.14108028	25490584.5558849	41454580.2553548	5627460.96334478	5929777.00060106	29545049.2974916	31382138.7989653	9916995.84979336	25855411.5542745	20710316.5329263	8924107.08357204	18405873.1299449	16882001.0393689	633207.613059582	54606533.5079737	3601923.43682986	14686542.4109778
"450.01971_2.73"	194409.235765457	50778941.9782626	117499.163190269	385363.386553901	5887759.88206601	268757.373092036	2996480.45577846	40751130.4272171	9442972.02514813	1121859.77525088	2352808.32181637	2857444.31724815	39637398.9211475	39605692.6540945	34319445.5421076	41422406.7455647	26498591.1388853	30179091.1175993	154777.689816801	20764052.895867	1776805.58222238	193669.044446629	9822110.6390928	8179903.25591631	37651143.044203	39829909.0437626	54330365.3737021	34503897.8542527	702659.705911306	38350524.7697362	32761214.9225625	576544.882290061	6058000.06595136	8529994.54864841	805838.641118868	3250106.07290389	39943651.4387594	6259995.50407268	36988211.9365715	33513135.1399611	134165.322024035	88952.3698664733	21863499.2519396	733650.737236619	20901320.3829346	89924.5427262284	1597333.36626381	280913.224200717	39093958.9821023	83335.5355210304	35207351.9347013	38199017.2103384
"454.23883_3.86"	NA	NA	NA	NA	NA	NA	NA	NA	817646.853657047	24143148.4203631	88476340.0588748	45735283.7148665	NA	NA	NA	NA	NA	NA	NA	NA	2192255.43486544	3058974.56244748	11329266.0893769	29181080.8796425	NA	NA	NA	NA	NA	NA	NA	NA	NA	252475.941001089	NA	723995.888190769	NA	NA	NA	NA	44796.5073431489	NA	NA	NA	40672.6504473917	76492667.1017662	NA	NA	NA	NA	NA	NA
"455.15481_4.27"	NA	NA	NA	NA	NA	NA	NA	NA	12322676.2747836	36223094.9912805	18597277.3231526	38013222.0655417	NA	NA	NA	NA	823943.182554002	605534.747889065	384199.885581254	NA	13568314.0953723	9751315.42109178	18515519.4012914	26267429.6854616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20146.549873441	NA	NA	NA	NA
"455.15482_5.56"	NA	NA	NA	NA	NA	NA	NA	NA	5189781.27032348	13975708.469117	6788856.706693	14656423.839936	NA	NA	NA	NA	281056.7548072	114705.579634611	72494.3076679632	NA	4822785.31491602	4414905.21335227	6925038.50712826	13931350.3093957	NA	NA	NA	NA	NA	NA	NA	NA	10256.0495562904	NA	NA	10181.9192050628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10541.3313568309	NA	NA
