compound_name	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML
Creatine	NA	NA	0.1824	0.2554	NA	NA	0.004355	0.005298	0.004456	0.005439	0.0007822	0.006504	0.006313	0.007055	0.009368	0.01037	0.0124	0.01402	0.004123	0.003435	0.003022	0.02075	0.006159	0.007942	0.004471	0.004544	0.002874	0.01004	0.006922	0.002569	0.01387	0.001553	0.003298	0.004332	0.003592	0.004318	0.003422	0.01952	0.001219	0.004106	0.005186
Cytidine	NA	NA	0.02766	0.02526	NA	NA	0.3853	0.4053	0.02803	0.02545	0.0001119	0.004357	0.003668	0.003673	0.003849	0.002918	0.003049	0.007603	0.003319	0.006211	0.002041	0.01758	0.002164	0.003603	0.004786	0.006885	0.001696	0.002283	0.001913	0.003629	0.00349	0.002233	0.001706	0.001586	0.001897	0.002666	0.00607	0.006575	0.00114	0.002885	0.002948
Deoxyadenosine	0	NA	0.02444	0.03311	77.94	NA	0.4166	0.5014	0.02491	0.03038	0.0001428	0.001072	0.001214	0.001199	0.001369	0.001158	0.001209	0.001606	0.001021	0.000935	3.835e-05	0.0008239	0.0008572	0.0004805	0.0009016	0.001015	0.0005238	0.0006971	0.0003265	0.01297	0.002576	0.0004864	8.204e-05	0.0007025	0.0005546	0.001154	0.0005449	0.001028	0.0006263	0.001027	0.0006962
(Dimethylsulfonio)acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005477	0.06373	0.06532	0.05806	0.06484	0.06259	0.06198	0.2382	0.09943	0.108	0.01741	0.06276	0.02861	0.1099	0.1215	0.1495	0.01643	0.02418	0.01864	0.03308	0.05505	0.04066	0.0228	0.01502	0.01469	0.04626	0.1111	0.1166	0.01295	0.02994	0.03857
Dimethylsulfoniopropionate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01296	0.3025	0.2965	0.2591	0.3056	0.3182	0.319	0.1154	0.1528	0.516	0.2989	0.2893	0.1126	0.7708	0.7746	0.5039	0.1296	0.1019	0.2518	0.1855	0.2334	0.182	0.444	0.119	0.1353	0.2126	0.4389	0.3908	0.1712	0.2871	0.2861
Ectoine	NA	NA	0.01374	0.01367	NA	NA	0.9207	0.9692	0.01302	0.01282	0.002419	0.009182	0.009245	0.008743	0.009403	0.00939	0.008963	0.01358	0.00721	0.01446	0.00696	0.02163	0.008443	0.008011	0.009019	0.0117	0.007049	0.009267	0.008448	0.005914	0.005691	0.006105	0.01011	0.009457	0.009267	0.004455	0.006461	0.007438	0.004979	0.01119	0.01323
sn-Glycero-3-phosphocholine	10.37	8.309	0.3239	0.3366	NA	NA	0.06858	0.05365	0.06324	0.05629	0.006744	0.03798	0.0341	0.03664	0.02832	0.03649	0.03207	0.05221	0.04002	0.05283	0.00814	0.06321	0.04191	0.04292	0.03219	0.04871	0.0253	0.03973	0.02383	0.01111	0.01706	0.0226	0.01308	0.0214	0.026	0.02287	0.03879	0.02814	0.01284	0.02743	0.03055
Glycine	0.442	0.2971	0.6303	0.4788	0.002213	0	0.2805	0.2155	0.2992	0.1698	0.07723	1.566	1.21	0.9624	1.542	1.301	1.195	0.6805	0.4735	10.69	0.6388	5.388	0.5805	0.8861	0.8831	4.988	0.416	0.5928	0.8057	1.947	0.8726	0.4804	0.5057	0.6744	0.373	0.3546	0.8057	1.625	0.3118	0.3883	0.5451
Betaine	NA	NA	1.384	1.473	NA	NA	0.8988	0.9081	0.8779	0.8918	0.02305	0.8071	0.8052	0.7974	0.8205	0.8027	0.812	0.8927	0.5487	3.029	0.4654	1.542	0.7768	0.6117	0.7958	1.695	0.5771	0.8843	0.7636	0.3433	0.348	0.3841	0.5817	0.5065	0.5926	0.3841	0.5608	0.7772	0.3825	0.6783	0.8163
Gonyol	0	0	1.8	1.759	0.4882	0.5614	2.377	2.188	1.981	1.943	0.01768	0.2711	0.2496	0.272	0.5133	0.4701	0.6563	1.178	0.4816	0.4934	0.06327	0.2298	0.1864	0.4626	0.439	0.4768	0.0799	0.1064	0.179	0.1441	0.1644	0.1866	0.1357	0.09708	0.1299	0.2568	0.5472	0.3867	0.05194	0.1673	0.227
Guanine	NA	2.977	0.6336	0.6242	NA	NA	1.319	1.407	0.6246	0.6494	0.007821	0.7178	0.7215	0.709	0.7141	0.7179	0.7335	1.033	0.7887	0.914	0.7922	1.261	1.166	0.6613	0.7751	0.6274	0.8736	0.8625	0.6713	0.2403	0.3564	0.3513	0.9873	0.5815	0.6752	0.3371	0.4684	0.5072	0.5233	0.8168	0.9643
Guanosine	NA	NA	0.04695	0.04607	NA	NA	0.4173	0.5424	0.03629	0.04465	0.0001457	0.003366	0.003255	0.003028	0.003551	0.003328	0.002278	0.005626	0.004224	0.005203	0.002745	0.01147	0.002722	0.002712	0.007436	0.005275	0.002185	0.001847	0.00204	0.004987	0.003631	0.001821	0.001396	0.003033	0.001202	0.00232	0.005374	0.008231	0.002194	0.002946	0.003525
Homarine	NA	NA	0.04529	0.04277	NA	NA	0.0614	0.05908	0.04037	0.03787	0.008353	0.05531	0.05749	0.0549	0.0553	0.05562	0.05723	0.02603	0.02185	0.492	0.01439	0.04573	0.03465	0.03552	0.09264	0.2177	0.01417	0.02796	0.03034	0.02557	0.01406	0.02224	0.01526	0.01535	0.01419	0.01391	0.04136	0.0502	0.02045	0.0346	0.03379
