compound_name	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML
Isoleucine	NA	NA	0.7899	0.8417	NA	NA	0.3395	0.3208	0.3264	0.3077	0.01422	0.1781	0.1641	0.1688	0.1398	0.1733	0.1847	0.2215	0.1584	0.212	0.08164	0.2092	0.115	0.1732	0.2362	0.383	0.094	0.1263	0.1158	0.141	0.1334	0.1557	0.09507	0.1069	0.1167	0.1101	0.1881	0.2566	0.09317	0.1482	0.2055
Leucine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009309	0.1766	0.1707	0.1588	0.1814	0.1731	0.1714	0.2979	0.1814	0.2239	0.0825	0.2172	0.1135	0.176	0.2124	0.3668	0.09694	0.129	0.1115	0.1387	0.1374	0.1483	0.1206	0.1026	0.1125	0.1052	0.1987	0.2839	0.09849	0.159	0.2015
Lysine	NA	NA	0.7272	0.6761	NA	NA	0.1847	0.2187	0.2305	0.3072	0.006295	0.1221	0.1133	0.1135	0.09796	0.1257	0.1227	0.1581	0.06606	0.2421	0.0685	0.1062	0.1209	0.08164	0.08533	0.1322	0.08592	0.1154	0.06427	0.1176	0.1004	0.1111	0.08524	0.05723	0.09417	0.09177	0.1296	0.212	0.03351	0.09205	0.131
Methionine	59.49	NA	0.4425	0.5585	0.05996	NA	0.03672	0.03358	0.03666	0.04141	0.0003601	0.00494	0.004449	0.004583	0.004894	0.00451	0.003319	0.01175	0.005951	0.01762	0.0006772	0.01172	0.002631	0.001594	0.003588	0.007186	0.001373	0.003898	0.002808	0.005601	0.003522	0.00186	0	0.002112	0.001839	0.001866	0.009739	0.01437	0.001049	0.001268	0.003528
Methionine sulfoxide	16.97	15.9	0.2699	0.2958	NA	NA	0.01334	0.009624	0.0105	0.01012	0	0.003388	0.003182	0.00254	0.003174	0.003259	0.001602	0.003661	0.0007518	0.01059	0.0008189	0.005509	0.002118	0.002647	0.002329	0.008907	0.001656	0.0009647	0.0005607	0.001516	0.002306	0.002367	0.0008885	0.0007186	0.000553	0.001374	0.003937	0.01011	0.0001279	0.001436	0.003383
Ornithine	0.5737	0.4561	0.4924	0.3717	0.01979	0.003123	0.0493	0.02727	0.03797	0.02618	0.03392	0.05149	0.04271	0.04277	0.07284	0.05643	0.06664	0.02799	0.02546	0.06072	0.04696	0.02663	0.04975	0.03484	0.0443	0.05634	0.02924	0.04198	0.05728	0.05386	0.019	0.093	0.03388	0.02216	0.04245	0.04876	0.03794	0.04348	0.03617	0.02047	0.04084
Proline	25.7	NA	0.4757	0.542	0.1187	NA	0.07088	0.07107	0.06966	0.07058	0.02099	0.05076	0.05058	0.051	0.04955	0.05155	0.05179	0.03657	0.03192	0.09422	0.02635	0.1104	0.0441	0.03038	0.03699	0.1123	0.03608	0.1127	0.0342	0.04668	0.03972	0.05145	0.04012	0.02328	0.03916	0.03803	0.04388	0.07125	0.0244	0.04222	0.04209
Serine	0.3802	0.2885	0.4506	0.3417	0	0.0006644	0.08981	0.06654	0.09121	0.06103	0.08074	0.115	0.09668	0.08406	0.1155	0.09607	0.09373	0.07055	0.0524	0.2341	0.0981	0.2125	0.0982	0.06688	0.1163	0.157	0.06516	0.08024	0.08223	0.1091	0.09427	0.2309	0.1172	0.06508	0.1106	0.1038	0.1092	0.1502	0.05489	0.05648	0.09462
Threonine	0.3935	0.3042	0.4573	0.3641	0.002112	0.0004051	0.1066	0.07478	0.1119	0.06947	0.009627	0.04701	0.04102	0.0352	0.04828	0.04307	0.03723	0.05925	0.02898	0.07508	0.03867	0.1353	0.05212	0.02983	0.04646	0.05879	0.04852	0.05168	0.06362	0.01844	0.01928	0.02932	0.0485	0.03883	0.04262	0.01918	0.05273	0.06027	0.01704	0.03619	0.06079
Tyrosine	0.4261	0.3687	0.4285	0.3754	0.004241	0.002649	0.07925	0.06971	0.09099	0.07286	0.00533	0.0871	0.05886	0.0939	0.06089	0.09725	0.09575	0.1095	0.08397	0.1604	0.07146	0.2437	0.07801	0.1011	0.08804	0.1148	0.0449	0.06142	0.06479	0.06528	0.05671	0.05436	0.05123	0.05143	0.08599	0.06882	0.1031	0.115	0.03667	0.08531	0.09285
