compound_name	170706_Blk_Blk0p2_1.mzML	170706_Blk_Blk0p2_2.mzML	180821_Poo_Day1and2Poo_Full1.mzML	180821_Poo_Day1and2Poo_Full2.mzML	180821_Poo_Day1and2Poo_Full3.mzML	180821_Poo_Day1and2Poo_Full4.mzML	180821_Poo_Day1and2Poo_Full5.mzML	180821_Poo_Day1and2Poo_Full6.mzML	180821_Poo_Day1and2Poo_Half1.mzML	180821_Poo_Day1and2Poo_Half2.mzML	180821_Poo_Day1and2Poo_Half3.mzML	180821_Poo_Day1and2Poo_Half4.mzML	180821_Poo_Day1and2Poo_Half5.mzML	180821_Poo_Day1and2Poo_Half6.mzML	180821_Smp_MS4C1DCM_A.mzML	180821_Smp_MS4C1DCM_B.mzML	180821_Smp_MS4C1DCM_C.mzML	180821_Smp_MS4C115m_A.mzML	180821_Smp_MS4C115m_B.mzML	180821_Smp_MS4C115m_C.mzML	180821_Smp_MS4C1175m_A.mzML	180821_Smp_MS4C1175m_B.mzML	180821_Smp_MS4C1175m_C.mzML	180821_Smp_MS5C1DCM_A.mzML	180821_Smp_MS5C1DCM_B.mzML	180821_Smp_MS5C1DCM_C.mzML	180821_Smp_MS5C115m_A.mzML	180821_Smp_MS5C115m_B.mzML	180821_Smp_MS5C115m_C.mzML	180821_Smp_MS5C1175m_A.mzML	180821_Smp_MS5C1175m_B.mzML	180821_Smp_MS5C1175m_C.mzML	180821_Smp_MS6C3DCM_A.mzML	180821_Smp_MS6C3DCM_B.mzML	180821_Smp_MS6C3DCM_C.mzML	180821_Smp_MS6C315m_A.mzML	180821_Smp_MS6C315m_B.mzML	180821_Smp_MS6C315m_C.mzML	180821_Smp_MS6C3175m_A.mzML	180821_Smp_MS6C3175m_B.mzML	180821_Smp_MS6C3175m_C.mzML	180821_Smp_MS7C1DCM_A.mzML	180821_Smp_MS7C1DCM_B.mzML	180821_Smp_MS7C1DCM_C.mzML	180821_Smp_MS7C115m_A.mzML	180821_Smp_MS7C115m_B.mzML	180821_Smp_MS7C115m_C.mzML	180821_Smp_MS7C1175m_A.mzML	180821_Smp_MS7C1175m_B.mzML	180821_Smp_MS7C1175m_C.mzML	180821_Smp_MS8C1DCM_A.mzML	180821_Smp_MS8C1DCM_B.mzML	180821_Smp_MS8C1DCM_C.mzML	180821_Smp_MS8C115m_A.mzML	180821_Smp_MS8C115m_B.mzML	180821_Smp_MS8C115m_C.mzML	180821_Smp_MS8C1175m_A.mzML	180821_Smp_MS8C1175m_B.mzML	180821_Smp_MS8C1175m_C.mzML	180821_Smp_MS9C2DCM_A.mzML	180821_Smp_MS9C2DCM_B.mzML	180821_Smp_MS9C2DCM_C.mzML	180821_Smp_MS9C215m_A.mzML	180821_Smp_MS9C215m_B.mzML	180821_Smp_MS9C215m_C.mzML	180821_Smp_MS9C2175m_A.mzML	180821_Smp_MS9C2175m_B.mzML	180821_Smp_MS9C2175m_C.mzML	180821_Smp_MS10C2DCM_A.mzML	180821_Smp_MS10C2DCM_B.mzML	180821_Smp_MS10C2DCM_C.mzML	180821_Smp_MS10C215m_A.mzML	180821_Smp_MS10C215m_B.mzML	180821_Smp_MS10C215m_C.mzML	180821_Smp_MS10C2175m_A.mzML	180821_Smp_MS10C2175m_B.mzML	180821_Smp_MS10C2175m_C.mzML	180821_Smp_MS11C2DCM_A.mzML	180821_Smp_MS11C2DCM_B.mzML	180821_Smp_MS11C2DCM_C.mzML	180821_Smp_MS11C215m_A.mzML	180821_Smp_MS11C215m_B.mzML	180821_Smp_MS11C215m_C.mzML	180821_Smp_MS11C2175m_A.mzML	180821_Smp_MS11C2175m_B.mzML	180821_Smp_MS11C2175m_C.mzML	180821_Smp_MS12C1DCM_A.mzML	180821_Smp_MS12C1DCM_B.mzML	180821_Smp_MS12C1DCM_C.mzML	180821_Smp_MS12C115m_A.mzML	180821_Smp_MS12C115m_B.mzML	180821_Smp_MS12C115m_C.mzML	180821_Smp_MS12C1175m_A.mzML	180821_Smp_MS12C1175m_B.mzML	180821_Smp_MS12C1175m_C.mzML	180821_Smp_MS13C2DCM_A.mzML	180821_Smp_MS13C2DCM_B.mzML	180821_Smp_MS13C2DCM_C.mzML	180821_Smp_MS13C315m_A.mzML	180821_Smp_MS13C315m_B.mzML	180821_Smp_MS13C315m_C.mzML	180821_Smp_MS13C2175m_A.mzML	180821_Smp_MS13C2175m_B.mzML	180821_Smp_MS13C2175m_C.mzML	180821_Smp_MS14C2DCM_A.mzML	180821_Smp_MS14C2DCM_B.mzML	180821_Smp_MS14C2DCM_C.mzML	180821_Smp_MS14C215m_A.mzML	180821_Smp_MS14C215m_B.mzML	180821_Smp_MS14C215m_C.mzML	180821_Smp_MS14C2175m_A.mzML	180821_Smp_MS14C2175m_B.mzML	180821_Smp_MS14C2175m_C.mzML	180821_Std_4uMStdsMix1InH2O_1.mzML	180821_Std_4uMStdsMix1InH2O_2.mzML	180821_Std_4uMStdsMix1InH2O_3.mzML	180821_Std_4uMStdsMix1InMatrix_1.mzML	180821_Std_4uMStdsMix1InMatrix_2.mzML	180821_Std_4uMStdsMix1InMatrix_3.mzML	180821_Std_4uMStdsMix2InH2O_1.mzML	180821_Std_4uMStdsMix2InH2O_2.mzML	180821_Std_4uMStdsMix2InH2O_3.mzML	180821_Std_4uMStdsMix2InMatrix_1.mzML	180821_Std_4uMStdsMix2InMatrix_2.mzML	180821_Std_4uMStdsMix2InMatrix_3.mzML	180821_Std_H2OInMatrix_1.mzML	180821_Std_H2OInMatrix_2.mzML	180821_Std_H2OInMatrix_3.mzML	180205_Std_4uMStdsInH2O_1.mzML	180205_Std_4uMStdsInH2O_2.mzML	180205_Std_4uMStdsInMatrix_1.mzML	180205_Std_4uMStdsInMatrix_2.mzML	180205_Poo_TruePoo_Full1.mzML	180205_Poo_TruePoo_Full2.mzML	180205_Poo_TruePoo_Full3.mzML	180205_Poo_TruePoo_Half1.mzML	180205_Poo_TruePoo_Half2.mzML	180205_Poo_TruePoo_Half3.mzML	180205_Smp_L1C32DCMless10m_A.mzML	180205_Smp_L1C32DCMless10m_B.mzML	180205_Smp_L1C32DCMless10m_C.mzML	180205_Smp_L1C32DCMless20m_A.mzML	180205_Smp_L1C32DCMless20m_B.mzML	180205_Smp_L1C32DCMless20m_C.mzML	180205_Smp_L1C33DCM_A.mzML	180205_Smp_L1C33DCM_B.mzML	180205_Smp_L1C33DCM_C.mzML	180205_Smp_L1C33DCMplus10m_A.mzML	180205_Smp_L1C33DCMplus10m_B.mzML	180205_Smp_L1C33DCMplus10m_C.mzML	180205_Smp_L1C33DCMplus20m_A.mzML	180205_Smp_L1C33DCMplus20m_B.mzML	180205_Smp_L1C33DCMplus20m_C.mzML	180205_Smp_L2C1DCMless10m_A.mzML	180205_Smp_L2C1DCMless10m_B.mzML	180205_Smp_L2C1DCMless10m_C.mzML	180205_Smp_L2C1DCMless20m_A.mzML	180205_Smp_L2C1DCMless20m_B.mzML	180205_Smp_L2C1DCMless20m_C.mzML	180205_Smp_L2C2DCM_A.mzML	180205_Smp_L2C2DCM_B.mzML	180205_Smp_L2C2DCM_C.mzML	180205_Smp_L2C2DCMplus10m_A.mzML	180205_Smp_L2C2DCMplus10m_B.mzML	180205_Smp_L2C2DCMplus10m_C.mzML	180205_Smp_L2C2DCMplus20m_A.mzML	180205_Smp_L2C2DCMplus20m_B.mzML	180205_Smp_L2C2DCMplus20m_C.mzML
N-Acetyl-mannosamine	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-6-Trimethyllysine	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N6-Acetyllysine	0.0007719	0.0001983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.083	2.152	0.01777	0.01687	0.0163	0.01729	0.01696	0.01665	0.03854	0.01991	0.01826	0.01961	0.01988	0.02498	0.01681	0.01675	0.01264	0.008989	0.02877	0.01602	0.008451	0.01125	0.01256	0.01522	0.01217	0.01111	0.01372	0.01187	0.01129	0.01043	0.01597	0.01311	0.008298	0.01202	0.01432	0.009501	0.01007	0.006503
N6-Methyladenine	1.515e-05	5.342e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nicotinic acid	1.48e-05	5.073e-05	0.007167	0.01242	0.01056	0.00894	0.01293	0.008818	0.00719	0.01674	0.01846	0.01061	0.01737	0.009905	0.01469	0.01742	0.009823	0.003141	0.02095	0.009375	0.00634	0.006653	0.005248	0.002275	0.005586	0.0103	0.005875	0.01483	0.009307	0.00534	0.006404	0.003729	0.01296	0.01461	0.00501	0.01369	0.01304	0.009498	0.003388	0.003725	0.001813	0.007897	0.01051	0.007159	0.01047	0.005542	0.009461	0.00496	0.008938	0.007642	0.007807	0.008683	0.01301	0.008574	0.01473	0.0176	0.006787	0.00469	0.005982	0.008624	0.01853	0.01066	0.01193	0.01187	0.01715	0.003385	0.007481	0.00704	0.01442	0.01574	0.01618	0.01476	0.01415	0.009026	0.004874	0.007557	0.009611	0.004968	0.01785	0.01828	0.02129	0.01573	0.01659	0.0007338	0.007597	0.003082	0.02575	0.0172	0.01849	0.01663	0.01922	0.01122	0.008833	0.00276	0.005126	0.01571	0.01161	0.01082	0.009829	0.01778	0.009238	0.006155	0.006994	0.005054	0.01253	0.01269	0.01762	0.01045	0.0122	0.01368	0.007255	0.00555	0.007223	0.0004983	0.0002477	0.0009564	0.008674	0.005572	0.008992	0.3584	0.2185	0.353	0.3847	0.2239	0.3742	0.008326	0.005618	0.008881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAR 2:0	NA	NA	0.002626	0.002096	0.002562	0.002724	0.002758	0.002931	0.002879	0.002307	0.002698	0.002928	0.002949	0.002958	0.001943	0.00261	0.002558	0.0006821	0.00266	0.001198	0.001053	0.001654	0.001879	0.001885	0.001807	0.003952	0.0007202	0.002022	0.001307	0.00281	0.002302	0.003392	0.001836	0.00195	0.003189	0.001481	0.003509	0.001526	0.007331	0.00611	0.009641	0.001666	0.001691	0.002307	0.001258	0.001146	0.001552	0.006244	0.006672	0.005281	0.001877	0.00172	0.002265	0.001214	0.001085	0.001458	0.003893	0.00359	0.004314	0.00163	0.002475	0.002367	0.001655	0.001874	0.001135	0.003146	0.0032	0.003594	0.002149	0.003457	0.002674	0.001621	0.002051	0.002704	0.002519	0.00242	0.003295	0.002446	0.003114	0.003134	0.003964	0.001606	0.001826	0.001689	0.002473	0.001934	0.002952	0.005572	0.003432	0.001834	0.001951	0.001581	0.001321	0.001161	0.001104	0.002302	0.002144	0.002383	0.001495	0.0007333	0.001252	0.001954	0.001571	0.002131	0.001852	0.002927	0.005661	0.002873	0.00302	0.002048	0.004753	0.004161	0.003811	0.2952	0.3316	0.3832	0.2554	0.3518	0.3627	8.741e-05	3.458e-05	1.333e-05	0.003202	0.003871	0.00373	0.003002	0.003579	0.003339	0.5998	0.4972	0.4799	0.487	0.004386	0.004159	0.004285	0.004756	0.004078	0.00423	0.003428	0.003226	0.00436	0.00267	0.005984	0.005403	0.003115	0.007219	0.002589	0.003549	0.005002	0.003903	0.003234	0.003018	0.003469	0.00435	0.002899	0.002917	0.002779	0.003561	0.001991	0.003963	0.00757	0.004711	0.005603	0.006816	0.005676	0.008537	0.00951	0.007297
Proline betaine	NA	NA	0.007186	0.005608	0.006631	0.00764	0.007931	0.007898	0.008724	0.0066	0.00738	0.009034	0.009111	0.00908	0.007243	0.01057	0.007944	0.008875	0.01851	0.01079	0.00185	0.002967	0.004389	0.006822	0.008883	0.01137	0.01006	0.01143	0.01056	0.003781	0.003366	0.006024	0.007437	0.007535	0.009386	0.009362	0.01232	0.01058	0.005368	0.004807	0.006383	0.007181	0.007673	0.01208	0.01045	0.01413	0.01082	0.005248	0.00409	0.003504	0.008324	0.006717	0.01116	0.007641	0.009116	0.01317	0.005363	0.003817	0.004918	0.007471	0.022	0.01141	0.01067	0.0123	0.008246	0.003402	0.002992	0.004126	0.007669	0.009629	0.008865	0.0106	0.01443	0.01146	0.002746	0.002892	0.003162	0.02916	0.003903	0.01081	0.01421	0.01054	0.01164	0.001749	0.003216	0.002699	0.01117	0.01268	0.01588	0.0144	0.02283	0.01876	0.002904	0.002507	0.002884	0.009197	0.008488	0.01095	0.01056	0.0084	0.01004	0.002934	0.002851	0.003346	0.005856	0.006666	0.01511	0.01349	0.01374	0.01259	0.004554	0.004114	0.003707	0.05707	0.05199	0.05723	0.04702	0.04988	0.04856	0.0008441	0.0001181	0.0001149	0.008301	0.008787	0.008554	0.008182	0.008747	0.008534	0.07618	0.0739	0.07007	0.07466	0.01707	0.01678	0.01702	0.01898	0.01645	0.01722	0.02163	0.02025	0.02159	0.02476	0.04486	0.0338	0.02049	0.02762	0.01831	0.01601	0.01646	0.0159	0.01469	0.01157	0.01424	0.01404	0.02048	0.01468	0.01562	0.01388	0.01145	0.01497	0.01351	0.01625	0.01417	0.01541	0.0159	0.01252	0.01341	0.009502
Sarcosine	0.002946	0.003078	0.05668	0.03457	0.03967	0.03277	0.04746	0.05182	0.07644	0.04735	0.05042	0.04375	0.05609	0.0642	0.04181	0.06297	0.05581	0.01781	0.0755	0.05554	0.01283	0.01185	0.01523	0.02741	0.07293	0.05712	0.04429	0.02105	0.01614	0.03399	0.005502	0.01977	0.03534	0.03015	0.0565	0.06859	0.07929	0.02207	0.01542	0.01551	0.02736	0.02486	0.02585	0.03025	0.03747	0.03115	0.03189	0.008344	0.008242	0.007207	0.07303	0.04643	0.07973	0.03663	0.02208	0.03917	0.02424	0.005215	0.02556	0.0586	0.0439	0.0681	0.04182	0.06946	0.03668	0.01322	0.009031	0.02052	0.08627	0.151	0.1543	0.0453	0.07753	0.02771	0.008028	0.006734	0.007648	0.03007	0.06604	0.07124	0.04956	0.0413	0.05642	0.005162	0.01568	0.009143	0.1504	0.1435	0.1072	0.0943	0.1331	0.08211	0.0197	0.01155	0.009337	0.05453	0.03881	0.04344	0.02827	0.04517	0.03672	0.02607	0.02627	0.009041	0.04098	0.03941	0.04929	0.03987	0.03182	0.03765	0.007098	0.009032	0.01756	0.01707	0.01734	0.01634	0.05815	0.04806	0.06931	1.512	1.834	2.517	0.3161	0.3295	0.4635	0.05263	0.03819	0.0583	1.135	0.7014	0.2973	0.2755	0.01949	0.01722	0.01624	0.03297	0.02568	0.03337	0.02299	0.03184	0.04866	0.02378	0.0453	0.04324	0.02161	0.05026	0.02949	0.04975	0.04374	0.05149	0.03453	0.02051	0.01697	0.02291	0.01459	0.01093	0.01455	0.02013	0.008195	0.009161	0.02811	0.03349	0.0153	0.02381	0.01452	0.006119	0.02353	0.02353
Trigonelline	NA	NA	0.02141	0.01757	0.02272	0.02603	0.02753	0.02847	0.02069	0.01884	0.02308	0.02667	0.02853	0.02808	0.03548	0.04497	0.03815	0.01102	0.02946	0.01827	0.006402	0.01078	0.0237	0.01593	0.01492	0.02949	0.01393	0.01716	0.01503	0.01196	0.007349	0.0142	0.01681	0.01831	0.02307	0.01712	0.06586	0.01454	0.01821	0.01154	0.01177	0.01621	0.01471	0.02346	0.01596	0.01436	0.03291	0.009827	0.007369	0.006409	0.0229	0.01628	0.02102	0.01324	0.01492	0.02571	0.01279	0.008753	0.0174	0.01853	0.02544	0.02557	0.0165	0.02111	0.02966	0.01101	0.007272	0.00917	0.02073	0.03135	0.0492	0.01918	0.02623	0.01922	0.006704	0.00797	0.008959	0.02029	0.09488	0.02896	0.02239	0.01359	0.01822	0.004331	0.007973	0.007323	0.04876	0.07913	0.07778	0.02634	0.03187	0.02834	0.01377	0.008834	0.008946	0.02287	0.02467	0.02785	0.01634	0.0102	0.02333	0.01152	0.009949	0.008237	0.009957	0.01598	0.03498	0.02641	0.02092	0.0195	0.009198	0.009291	0.007474	0.03538	0.04366	0.04468	0.05333	0.07561	0.07879	0.0004585	0.000408	0.0004175	0.02517	0.03509	0.03552	0.02369	0.03099	0.03305	0.08479	0.078	0.09637	0.09649	0.06911	0.06846	0.07097	0.07331	0.06654	0.0673	0.1005	0.09823	0.1068	0.1033	0.2005	0.1657	0.09484	0.1579	0.07838	0.1026	0.1059	0.1194	0.1004	0.06897	0.07709	0.0447	0.04112	0.03826	0.03786	0.04037	0.02881	0.04164	0.07529	0.04574	0.037	0.04562	0.04809	0.03298	0.04304	0.0281
Trimethylamine N-oxide	NA	NA	3.32	3.029	3.886	4.667	4.485	4.482	4.142	4.018	4.952	6.079	5.913	5.872	1.343	2.183	2.541	0.1797	1.261	0.5672	0.3576	0.7848	2.53	0.8984	1.234	3.599	0.8337	0.8855	0.3477	0.779	0.2547	0.7692	1.468	1.221	1.997	1.274	9.703	0.5954	1.378	1.043	0.7073	1.032	1.358	1.862	0.6267	0.3783	6.2	0.5895	0.27	0.2735	1.921	1.06	1.709	0.7348	0.2469	0.5519	1.355	0.5759	1.305	0.8815	1.468	2.12	0.5568	0.6538	0.4474	0.5277	0.2791	0.6869	1.429	2.653	0.9654	1.307	0.992	1.159	0.3393	0.3826	0.491	1.62	13.39	1.225	0.8423	0.7245	0.8866	0.2034	0.4364	0.3979	2.336	4.171	2.74	1.399	3.061	1.117	1.2	0.3542	0.3102	1.464	1.356	2.651	0.699	0.3974	1.667	1.363	0.6942	0.466	0.7356	1.206	2.313	0.624	1.138	1.355	0.6146	0.4476	0.8894	0.7284	0.9315	0.9936	3.893	5.226	5.024	0.003479	0.001127	0.0008664	3.547	5.019	4.884	3.539	4.82	4.823	0.6288	0.5345	0.9253	0.8863	0.8304	0.8215	0.8418	0.9518	0.8564	0.8812	0.9389	1.055	1.429	1.1	2.617	2.136	0.4963	2.82	0.8104	1.262	1.833	1.439	1.539	0.9363	1.209	0.2888	0.6735	0.551	0.5314	0.7588	0.3442	0.7212	4.833	1.062	0.724	1.047	1.043	0.4526	1.155	0.6824
Turicine	NA	NA	0.00878	0.009244	0.00994	0.01056	0.009242	0.009342	0.008621	0.009452	0.009954	0.01024	0.009129	0.008793	0.01156	0.0178	0.01003	0.007287	0.01209	0.006643	0.002145	0.002997	0.002446	0.007401	0.009942	0.01396	0.009495	0.01442	0.009832	0.006256	0.003993	0.00414	0.01041	0.01028	0.01323	0.01167	0.03114	0.01079	0.004436	0.004316	0.006818	0.01033	0.007807	0.01991	0.01195	0.01094	0.01834	0.006608	0.006844	0.005732	0.007349	0.004928	0.01544	0.008021	0.01006	0.00932	0.003049	0.002025	0.003492	0.005867	0.01156	0.0102	0.01288	0.008422	0.01035	0.003	0.004207	0.005091	0.006303	0.007505	0.00917	0.01175	0.008417	0.014	0.002329	0.002584	0.004988	0.008264	0.02923	0.0107	0.0276	0.0118	0.01116	0.002106	0.004896	0.003041	0.01546	0.01823	0.02073	0.009159	0.01196	0.01569	0.002635	0.001496	0.002087	0.01278	0.009448	0.01263	0.01076	0.009998	0.01257	0.003959	0.003712	0.003765	0.01003	0.005514	0.01317	0.008889	0.01344	0.0115	0.005872	0.003866	0.006236	0.00818	0.003051	0.003175	0.008239	0.0116	0.007972	7.009	4.56	5.862	0.207	0.2869	0.2282	0.008846	0.01124	0.00867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
beta-Alanine	0.004991	0.005473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
beta-Alaninebetaine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Isoglutamic acid	1.016	0.01031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
