mz_rt	170706_Blk_Blk0p2_1.mzML	170706_Blk_Blk0p2_2.mzML	180205_Poo_TruePoo_Full1.mzML	180205_Poo_TruePoo_Full2.mzML	180205_Poo_TruePoo_Full3.mzML	180205_Poo_TruePoo_Half1.mzML	180205_Poo_TruePoo_Half2.mzML	180205_Poo_TruePoo_Half3.mzML	180205_Smp_L1C32DCMless10m_A.mzML	180205_Smp_L1C32DCMless10m_B.mzML	180205_Smp_L1C32DCMless10m_C.mzML	180205_Smp_L1C32DCMless20m_A.mzML	180205_Smp_L1C32DCMless20m_B.mzML	180205_Smp_L1C32DCMless20m_C.mzML	180205_Smp_L1C33DCM_A.mzML	180205_Smp_L1C33DCM_B.mzML	180205_Smp_L1C33DCM_C.mzML	180205_Smp_L1C33DCMplus10m_A.mzML	180205_Smp_L1C33DCMplus10m_B.mzML	180205_Smp_L1C33DCMplus10m_C.mzML	180205_Smp_L1C33DCMplus20m_A.mzML	180205_Smp_L1C33DCMplus20m_B.mzML	180205_Smp_L1C33DCMplus20m_C.mzML	180205_Smp_L2C1DCMless10m_A.mzML	180205_Smp_L2C1DCMless10m_B.mzML	180205_Smp_L2C1DCMless10m_C.mzML	180205_Smp_L2C1DCMless20m_A.mzML	180205_Smp_L2C1DCMless20m_B.mzML	180205_Smp_L2C1DCMless20m_C.mzML	180205_Smp_L2C2DCM_A.mzML	180205_Smp_L2C2DCM_B.mzML	180205_Smp_L2C2DCM_C.mzML	180205_Smp_L2C2DCMplus10m_A.mzML	180205_Smp_L2C2DCMplus10m_B.mzML	180205_Smp_L2C2DCMplus10m_C.mzML	180205_Smp_L2C2DCMplus20m_A.mzML	180205_Smp_L2C2DCMplus20m_B.mzML	180205_Smp_L2C2DCMplus20m_C.mzML	180205_Std_4uMStdsInH2O_1.mzML	180205_Std_4uMStdsInH2O_2.mzML	180205_Std_4uMStdsInMatrix_1.mzML	180205_Std_4uMStdsInMatrix_2.mzML	180821_Poo_Day1and2Poo_Full1.mzML	180821_Poo_Day1and2Poo_Full2.mzML	180821_Poo_Day1and2Poo_Full3.mzML	180821_Poo_Day1and2Poo_Full4.mzML	180821_Poo_Day1and2Poo_Full5.mzML	180821_Poo_Day1and2Poo_Full6.mzML	180821_Poo_Day1and2Poo_Half1.mzML	180821_Poo_Day1and2Poo_Half2.mzML	180821_Poo_Day1and2Poo_Half3.mzML	180821_Poo_Day1and2Poo_Half4.mzML	180821_Poo_Day1and2Poo_Half5.mzML	180821_Poo_Day1and2Poo_Half6.mzML	180821_Smp_MS10C215m_A.mzML	180821_Smp_MS10C215m_B.mzML	180821_Smp_MS10C215m_C.mzML	180821_Smp_MS10C2175m_A.mzML	180821_Smp_MS10C2175m_B.mzML	180821_Smp_MS10C2175m_C.mzML	180821_Smp_MS10C2DCM_A.mzML	180821_Smp_MS10C2DCM_B.mzML	180821_Smp_MS10C2DCM_C.mzML	180821_Smp_MS11C215m_A.mzML	180821_Smp_MS11C215m_B.mzML	180821_Smp_MS11C215m_C.mzML	180821_Smp_MS11C2175m_A.mzML	180821_Smp_MS11C2175m_B.mzML	180821_Smp_MS11C2175m_C.mzML	180821_Smp_MS11C2DCM_A.mzML	180821_Smp_MS11C2DCM_B.mzML	180821_Smp_MS11C2DCM_C.mzML	180821_Smp_MS12C115m_A.mzML	180821_Smp_MS12C115m_B.mzML	180821_Smp_MS12C115m_C.mzML	180821_Smp_MS12C1175m_A.mzML	180821_Smp_MS12C1175m_B.mzML	180821_Smp_MS12C1175m_C.mzML	180821_Smp_MS12C1DCM_A.mzML	180821_Smp_MS12C1DCM_B.mzML	180821_Smp_MS12C1DCM_C.mzML	180821_Smp_MS13C2175m_A.mzML	180821_Smp_MS13C2175m_B.mzML	180821_Smp_MS13C2175m_C.mzML	180821_Smp_MS13C2DCM_A.mzML	180821_Smp_MS13C2DCM_B.mzML	180821_Smp_MS13C2DCM_C.mzML	180821_Smp_MS13C315m_A.mzML	180821_Smp_MS13C315m_B.mzML	180821_Smp_MS13C315m_C.mzML	180821_Smp_MS14C215m_A.mzML	180821_Smp_MS14C215m_B.mzML	180821_Smp_MS14C215m_C.mzML	180821_Smp_MS14C2175m_A.mzML	180821_Smp_MS14C2175m_B.mzML	180821_Smp_MS14C2175m_C.mzML	180821_Smp_MS14C2DCM_A.mzML	180821_Smp_MS14C2DCM_B.mzML	180821_Smp_MS14C2DCM_C.mzML	180821_Smp_MS4C115m_A.mzML	180821_Smp_MS4C115m_B.mzML	180821_Smp_MS4C115m_C.mzML	180821_Smp_MS4C1175m_A.mzML	180821_Smp_MS4C1175m_B.mzML	180821_Smp_MS4C1175m_C.mzML	180821_Smp_MS4C1DCM_A.mzML	180821_Smp_MS4C1DCM_B.mzML	180821_Smp_MS4C1DCM_C.mzML	180821_Smp_MS5C115m_A.mzML	180821_Smp_MS5C115m_B.mzML	180821_Smp_MS5C115m_C.mzML	180821_Smp_MS5C1175m_A.mzML	180821_Smp_MS5C1175m_B.mzML	180821_Smp_MS5C1175m_C.mzML	180821_Smp_MS5C1DCM_A.mzML	180821_Smp_MS5C1DCM_B.mzML	180821_Smp_MS5C1DCM_C.mzML	180821_Smp_MS6C315m_A.mzML	180821_Smp_MS6C315m_B.mzML	180821_Smp_MS6C315m_C.mzML	180821_Smp_MS6C3175m_A.mzML	180821_Smp_MS6C3175m_B.mzML	180821_Smp_MS6C3175m_C.mzML	180821_Smp_MS6C3DCM_A.mzML	180821_Smp_MS6C3DCM_B.mzML	180821_Smp_MS6C3DCM_C.mzML	180821_Smp_MS7C115m_A.mzML	180821_Smp_MS7C115m_B.mzML	180821_Smp_MS7C115m_C.mzML	180821_Smp_MS7C1175m_A.mzML	180821_Smp_MS7C1175m_B.mzML	180821_Smp_MS7C1175m_C.mzML	180821_Smp_MS7C1DCM_A.mzML	180821_Smp_MS7C1DCM_B.mzML	180821_Smp_MS7C1DCM_C.mzML	180821_Smp_MS8C115m_A.mzML	180821_Smp_MS8C115m_B.mzML	180821_Smp_MS8C115m_C.mzML	180821_Smp_MS8C1175m_A.mzML	180821_Smp_MS8C1175m_B.mzML	180821_Smp_MS8C1175m_C.mzML	180821_Smp_MS8C1DCM_A.mzML	180821_Smp_MS8C1DCM_B.mzML	180821_Smp_MS8C1DCM_C.mzML	180821_Smp_MS9C215m_A.mzML	180821_Smp_MS9C215m_B.mzML	180821_Smp_MS9C215m_C.mzML	180821_Smp_MS9C2175m_A.mzML	180821_Smp_MS9C2175m_B.mzML	180821_Smp_MS9C2175m_C.mzML	180821_Smp_MS9C2DCM_A.mzML	180821_Smp_MS9C2DCM_B.mzML	180821_Smp_MS9C2DCM_C.mzML	180821_Std_4uMStdsMix1InH2O_1.mzML	180821_Std_4uMStdsMix1InH2O_2.mzML	180821_Std_4uMStdsMix1InH2O_3.mzML	180821_Std_4uMStdsMix1InMatrix_1.mzML	180821_Std_4uMStdsMix1InMatrix_2.mzML	180821_Std_4uMStdsMix1InMatrix_3.mzML	180821_Std_4uMStdsMix2InH2O_1.mzML	180821_Std_4uMStdsMix2InH2O_2.mzML	180821_Std_4uMStdsMix2InH2O_3.mzML	180821_Std_4uMStdsMix2InMatrix_1.mzML	180821_Std_4uMStdsMix2InMatrix_2.mzML	180821_Std_4uMStdsMix2InMatrix_3.mzML	180821_Std_H2OInMatrix_1.mzML	180821_Std_H2OInMatrix_2.mzML	180821_Std_H2OInMatrix_3.mzML
140.9676_3.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	3641486152.4266	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	44266005.264759	19612303.7112572	0	0	0	0
142.96337_3.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	71818188.7737697	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	61231.8432216787	253454.514764753	0	0	0	0
144.04455_2.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1068446898.71732	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45220.6742395952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33927.7641693095	0	0	0	0	30220.1512606843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	47103140.4681661	69917807.5864557	59109191.3966785	0	0	0
146.04506_12.31	0	84486.4446155985	23905319.8659772	29482681.3014533	25131916.0675955	19529797.4291779	25609121.4838019	30085022.5875835	28228638.8880803	34065438.3317628	37506096.1733385	38061417.8188774	35393834.6935122	50188817.6794897	39405220.3244857	35200835.7442066	21968138.3974239	26008332.9166305	23120220.4199669	35922662.3603107	29500048.7922523	22056089.228894	27121473.0807361	22301892.3888515	28433505.2828081	26508663.4842595	36584657.7772555	37951668.4161429	35736964.1018556	20744253.3185538	23111257.0002643	18951187.4826692	16884211.7075074	17330795.9270917	24966349.2134232	15275466.6730429	15406875.5172835	8928826.89938267	NA	NA	136467611.167623	152346346.41655	28500729.6783654	25689767.2367802	21673154.6498763	27957894.66093	21200175.3442705	21357276.8201022	23263004.0237977	19805082.5634338	20197871.8368685	25724035.5533753	18432069.0104633	21890231.9857026	31207396.9886735	23922248.2429881	31036518.6328795	3019557.76267686	4863250.9736858	8139208.66890459	18836773.8588906	19481306.3442077	30992565.5836764	41871020.0357867	36609439.9384021	24973573.4873088	1416658.03533565	6686795.21926171	5729818.27879226	30010065.6905732	32961522.4419824	43390215.6255134	40009017.5237827	26023167.9508004	50837293.6802399	5264295.28295895	2749664.28666899	4433363.83743602	57961972.1898504	54034129.6387719	84959229.6128141	8116023.74472591	6247098.14094493	8107712.55768766	32496630.6724512	29161829.9714593	36720679.7513395	32576349.2605221	27047132.0992011	30650906.6529337	23442075.3536433	43442434.5209057	34982316.1535933	10555851.2989045	2124572.17045664	14044260.1144502	32016551.3080369	16958363.5099894	37300495.9149883	24321462.9590616	24035369.8546538	15555581.8299671	4724753.08886806	6121806.02077097	4388239.73932213	27829370.4508557	35026500.162605	22800669.9195608	27794719.4506457	39075061.1974874	29025848.441792	13485823.1274786	8175522.97674041	2377768.17425221	27572723.2506268	29261375.4099478	17973106.0354051	29438970.7188737	42187765.7989805	24860251.4503269	7180319.02436541	6821378.08813577	9671645.47615937	19134017.5421502	19426073.8865974	37640721.870047	39190761.7821974	49145268.6038863	35119196.5855997	12165213.0079606	11026604.4786271	10524503.7929408	32124321.9838696	19130309.8818191	41868573.4163149	20873203.3443787	24420950.5880479	29968368.6547141	5353406.67736412	1166657.18998148	6014251.64528804	19571175.4462109	14627941.9076397	36208336.7256566	28016973.1649483	22586793.7705876	22551168.1890846	6991862.36679115	7639349.26931852	9351874.78768278	19726209.8378254	25961119.356936	22174482.3263586	NA	NA	NA	44857019.4265489	47939651.766563	36460405.0271225	NA	NA	NA	28226313.5181141	32099537.8019571	28558495.8827134	29237459.628723	31457109.6531299	26989300.9626257
146.05303_2.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	2028371.54663883	6842883.84171593	6734056.83103483	0	0	0
149.02692_2.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	608076947.479012	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	51035352.2200001	72568320.7176479	94840162.3030579	NA	NA	NA	0	0	0	0	0	0
150.04132_8.39	30708.2241705163	132714.905266378	22212885.4571024	26185906.4557843	30545886.3403081	22866481.8687706	25306486.3159339	26748036.0997831	23152951.8441589	23504813.2038315	29044657.7779735	38690054.9612448	33885325.4827337	35033265.9597748	35660479.5798489	31278548.9844511	34219565.6831225	27504775.1377517	29256499.2988506	30869536.2928619	23764696.5567162	16918712.1681303	16717153.7886814	25575897.1315538	24991558.3627671	25521425.3970748	23801807.4344051	26278841.0894002	20719858.1701331	26808333.4394269	30809467.0754956	25002156.3269591	29578119.8749552	27771473.7024665	34308149.3452206	28548268.6163946	25132253.3506577	22819993.1877215	491754035.191047	1254108568.53136	79798846.78387	157418714.894431	19790696.9547151	20760744.7578415	21115542.0324232	23780180.4390571	21562352.0436315	21981548.7071481	18482566.4823628	21775650.9344009	14637790.7511385	24798567.9612998	22234057.9270313	22969382.4522587	14803021.9531139	13414073.735686	20472980.441337	6152690.318606	7980089.0443537	8701860.83571586	33097639.2703268	36776740.2640647	31359510.3090728	18309074.1476153	18103913.0831097	16012668.4310178	4448052.28404124	5813865.66908506	6529032.35150864	35293072.6407944	36572730.1396383	38755464.201205	22810413.8315056	19223034.4897212	25109521.3068842	4154580.15643345	5266170.04544047	4887957.02175129	52699362.3873919	51911586.173931	75620298.4403924	5774162.65532391	7191875.40768118	9010060.99958368	37529914.0901636	40468086.1062714	48884970.444446	20327027.8836688	17070810.3199895	18891161.4686843	14228028.6389299	18189891.0928004	19486377.7837538	8781224.18685991	8145287.77902176	8910583.11115835	26076609.8447183	20489593.8491664	33409867.5987421	16159360.2885974	29836457.4298433	17281060.9337389	6834441.70066646	4671343.08694327	4032025.46096035	34238015.7225876	40826801.8510015	35013830.4528047	15824225.143073	21268814.4342939	17471600.5306186	15540570.4042407	12027241.2761977	12961041.8317739	26027294.0907289	29947626.0080665	35206194.3857231	19108304.5284768	23609883.620124	18414072.4135472	11657880.2807778	10938278.6490609	12605744.4281512	24107216.9944482	28090456.9104687	27995747.4197779	24449955.8451079	18551961.0154786	23376210.8436093	15138864.9559193	14194526.4997464	8705759.92267539	31410065.2160357	32270261.8457174	37962943.5094567	17644241.2398215	16908834.8843435	21168713.2110445	7249264.89031325	4727316.53542867	8880619.32675907	32320798.6710853	31650152.2267641	42615958.3070392	18495695.3025965	14824357.2930522	17339395.7322444	8880199.97746434	6803315.92084044	7919395.42181336	26785871.2293651	40561175.8392784	32616468.5131038	NA	NA	NA	18068844.9782738	21498350.8145622	19637917.0570664	NA	NA	NA	23498512.3548447	30091164.5687989	1531548.21346212	19478023.74618	22526192.6746845	22078368.0481825
150.96979_14.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	897168773.967351	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	13142613.6049316	24118747.6323691	34725785.3798474	0	0	0
153.01848_4.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	5310479907.51987	NA	0	55213.164143778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61930.6902601275	0	31779.2359008489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70398.592373756	102479.089478359	0	0	0	0	0	0	0	62539.9717278737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49557.2460838999	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	166035531.000883	266282098.069348	224018980.525873	0	0	0
154.0218_4.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	0	19959838.7035416	15674515.8290981	0	0	0
161.08111_2.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231179.242807354	0	0	0	0	0	0	0	0	0	0	0	0	114580.855557094	109424.15499246	105014.256388401	0	0	0	0	86037.6102948564	0	0	84167.8237003519	0	0	0	0	90745.4989812163	177991.903345695	0	0	0	0	0	0	0	0	0	0	65852.6614056056	0	119480.203913545	0	111974.006169696	0	0	0	0	0	0	0	0	76526.4743309997	0	0	0	0	138576.384187733	0	0	80013.0619732474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88529.787894645	0	0	0	0	65345.2213100427	0	0	105784.632108551	0	0	0	280884.824367811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74965.2088529383	0	36796.9050832611	0	189038.949695522	70491.6372848875	0	0	0	59493.2402594446	61779.2871774164	0	0	0	0	66424.8078666722	0	0	0	0	54761.6938410223	264825.6464034	NA	NA	193608073083.405	27757571.7479795	168145590.525591	282733208.636852	0	0	351363.417254545
164.10731_3.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	6710180.42672544	14306853.2197679	16156685.6412939	0	0	0
166.01718_4.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102027.2512083	0	95152.8593004614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	705662504.526375	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	70234.2263157923	0	0	0	0	0	0	137997.700640871	1870218.46484022	0	0	0	0	0	0	0	39944.2009147239	0	0	0	0	0	0	0	0	34634.8384642026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60779.8243477096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21087.2433646681	0	0	0	24872.7244434865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	670031.594330472	196285983.997569	260302416.163958	0	0	0
166.01717_4.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93439.2167809688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26602.5077566177	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	0	0	119630219.53119	0	0	0
166.01726_5.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95784.5544185781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	8153007762.69368	NA	0	0	0	60542.3855073169	0	0	0	0	0	0	0	0	66299.5519766126	0	0	0	0	0	0	0	0	496595.927170518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	202398815.517568	97141405.9309066	144149.192834226	0	0	0
166.96485_15.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	2002406800.3756	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173785.173540257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	22597565.8721598	16594810.9525509	10865457.8812811	0	0	0
167.02034_10.72	5853.23228846356	0	590584.058400544	1696854.23795769	1146649.24212326	1120366.91644531	2090126.96831307	2377901.15635441	3687649.99308108	2361137.12894181	2873892.93264314	13540859.141641	3371480.20628681	3762208.93058561	10215868.8269796	2952440.9869854	2564610.10311917	2030504.76307736	712217.910299116	1134169.00316037	308409.907875989	297610.123468284	295749.002090236	460431.831241882	501507.567273016	458990.996062859	777141.603039953	396449.885108353	398586.016702803	761065.36478784	838984.095578351	253920.948457392	647226.826791551	693109.655067011	1162787.05230929	594845.598535589	201871.57085834	292921.055422278	NA	NA	1398685.06180749	304618.847972136	591663.380256115	1798850.10959707	938578.078006494	1262821.75724859	2025316.16880649	1814268.32957948	654382.12171088	2893862.0364884	862054.145155536	1829014.57748024	2079091.89493268	1959897.61364205	919592.654902946	7289050.77269136	5838178.3977605	321364.259114349	376751.630016382	237766.160248307	1913112.0037622	2276724.18532304	2591604.61585156	7988435.71043642	7745747.0577285	6717771.25903617	82337.4094941515	202651.796019727	131216.685695782	709287.617871088	675556.480530277	2341910.88213772	10252390.8291773	9410893.40450082	12066743.2836311	0	43851.2941330203	25414.7175174796	2962672.36910052	2326715.5191295	4162671.2027275	59515.5266916542	64424.8856202078	93512.7930716583	2225687.26521194	1786618.83815317	1766790.61155781	7078805.7533295	9203307.00312162	7334251.98021775	5965945.89751155	4855952.99427443	4855917.55718945	199034.427835768	351498.827345904	251431.479787744	688802.368892127	802544.538558771	305673.491921641	368095.405845161	6042415.42214206	2911851.21985764	0	12832.0275082113	70017.808204742	1254506.54240559	1863055.76544878	870484.530479871	880173.351800052	2751134.86858784	808765.976366045	90348.1487000229	157278.387522785	265745.252359449	477851.163237348	117793.050178	1051923.05053714	4794949.38342307	4990063.6824208	3305043.02821148	279479.417069416	442797.980201561	128162.335214813	374929.298421323	456632.495990904	726462.70302772	5018033.68599756	2504618.94571436	4562599.34127693	60422.941314851	63446.9511187739	175412.722151814	748524.585072678	551289.261756911	1361184.86556004	3965850.27943562	1857854.50040541	5996068.1576092	209035.264743278	168656.422461135	287947.59139448	923512.077058176	908764.779239147	1330922.7323443	3656706.88188805	5423764.98149243	3895396.826426	309656.726997308	272234.141688876	210692.278229276	1481891.17922962	664924.515383774	1963119.04960355	NA	NA	NA	1122231.9507565	1033283.31317767	1495356.45666118	NA	NA	NA	905496.906346697	771851.741874268	1386946.14411302	810070.939609055	906639.212827296	1512822.17958365
167.99646_13.11	0	0	0	0	0	0	0	0	0	0	62740.415309425	0	0	58242.8654363496	0	0	0	0	0	0	0	0	65153.196452977	0	0	0	70030.5016370579	0	0	0	0	0	0	0	0	0	0	0	NA	NA	634013377.350216	538618737.684142	0	0	0	0	87208.396887722	137614.374835262	0	0	0	0	0	0	0	65164.0621576059	0	0	36226.7823107086	0	0	0	83564.7268500147	55664.5519934404	0	0	0	0	0	0	57191.77742404	114580.303016219	235645.975803845	139105.065069175	141451.729554158	0	0	0	62158.3986347298	41339.708468555	134496.047655658	0	0	0	0	0	0	90684.2536130074	0	41780.8944181154	29904.224398349	0	0	0	0	0	62329.2644160733	0	38302.4734728774	0	52105.2848040431	34331.7977487795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71408.322195167	0	0	0	0	0	0	0	0	0	95565.1506086308	63206.9561977728	0	0	0	0	0	0	64120.8142176103	106023.737680579	0	0	0	35635.7628520672	0	78307.4993440331	0	66086.2017771429	0	0	0	0	0	0	0	NA	NA	NA	0	0	81608.7491152177	NA	NA	NA	13580776.8622357	13300470.3398475	18030859.7778504	0	53583.9123484799	0
