mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
207.06154_5.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9251.77360570124	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	196868972.402993	438667934.331065	0	0
207.10563_2.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	56190631.3114979	3035777.39124356	0	0
207.14197_2.38	0	19887.0641505981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4523.68710105246	22195.9519199009	57347.0578301046	45973.019098774	8620.77087363646	NA	NA	0	0	NA	NA	102064791.837162	141963222.420168	0	0
209.04795_9.92	927283.973747804	24732753.1990804	24086286.9470256	26954169.5561662	18009432.3196093	22656842.4140436	20280262.1176399	64763729.441061	47194095.3102073	29343159.6201456	3961259.26668676	19294674.1858901	14069791.7393768	41993861.6300832	28666892.8008714	37100220.3107397	8762059.32681017	13949435.8989695	10273017.6974768	18981353.3975309	24949076.6418631	21862206.8656227	9209102.73997363	7877370.39666695	9372847.40677029	26721118.276929	44690670.5037299	35111805.1968078	6120836.18923305	17353790.7098121	19686896.1037015	0	0	71453503.7367454	68183309.8013169	NA	NA	74142146.0794432	69305297.8843198	78675504.7471323	71901280.6794589
209.07719_6.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	32182189.9512623	135251291.193229	0	0
209.08445_6.67	0	6116288.39128706	7162702.03029883	6563069.54712217	5851846.97098738	5441998.78175389	5484420.77536234	25429445.5072852	9513534.58543619	12231471.0195073	225017.774530549	3016976.11349716	2034920.19310597	12873353.8842066	11147477.3641076	19317557.8796991	583747.058466239	1546507.56081573	1187677.45447122	5425714.77744019	6355280.67124246	5289942.20243509	1240103.27036123	1356360.16273104	2044484.01635746	5101499.15154134	8084523.37870412	9706616.65511856	2778219.55224637	5859736.06228757	6936697.03167503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
218.13878_9.78	639039.575040503	3261964.18992843	2645902.08923203	2694630.80834921	2475683.57472807	4001676.33420683	3711109.098787	2777037.28908265	2099446.39194776	2239204.79613227	2626551.70590368	3569732.48043584	3243543.72837588	2436216.15011401	2950808.83026234	1936281.80021229	3283430.29596177	3550473.02554773	2652216.32582201	1436032.24177643	2202548.73247186	1799145.07039791	2912412.27775213	3123367.54527594	2504328.88148194	2792171.69005565	2387294.59017648	2078553.69186951	2835611.9428109	2898588.25540609	2615026.58582991	NA	NA	2396167.92033591	2289574.88397996	NA	NA	2397214.57674257	2361996.035866	2263408.12714417	639553.189705178
219.14195_4.3	0	0	0	0	0	0	0	0	0	193846.779349262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	203868241.619629	438304014.057821	NA	NA	709115.710673349	2297615.62452621	0	0
220.06383_10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	0	282772.995139307	0	0
220.08156_2.5	0	8971.24926573092	0	0	0	0	8838.18312852888	0	0	7206.50153598724	0	0	0	23525.8158228472	0	0	0	0	0	15712.3785990104	0	0	4119.0733876683	0	36357.1227946066	12822.1250420095	4953.90556223979	19796.7634384266	0	13000.9098058771	6970.33412020295	NA	NA	0	0	NA	NA	29558624.0186104	581774.894959492	0	0
