"feat_id","mean_mz","sd_ppm","mean_rt","sd_rt","mean_pw","sd_pw","log_mean_height","log_sd_height","sn","f","scale","lmin","feat_npeaks","n_found","samps_found","stans_found","blank_found","med_SNR","med_cor","med_missed_scans","t_pval","smp_to_blk","shape_cor","area_cor","feat_class"
"FT001",62.9824552400717,3.58912688425297e-07,1267.89855957031,11.0380957195532,52.2852237599927,23.3351539536526,7.62996524615002,7.2553282055326,3.49379080683225,20.2432432432432,13.6486486486486,445.594594594595,37,35,1,0.5,TRUE,5.41653351070281,0.288623321975272,11,0.204644059507935,0.0100551020862475,0,0,"Bad"
"FT002",62.9824627961011,3.19008347973072e-07,1210.35662480469,17.170133608186,81.2611876930414,20.7955662597142,7.43964794269603,7.19520446458076,3.22378367200399,19.625,21.9375,375.3125,32,30,1,0.1,TRUE,17.8488829210411,0.12840836085388,14,0.728698523347052,0.0674855301061978,0,0,"Bad"
"FT003",62.9824726437434,3.62864868244306e-07,14.7693614959717,3.52840083280289,54.2307571056412,23.622344142054,7.08127347630851,7.0578321247622,4.52538539338239,8.86666666666667,14.4666666666667,5.26666666666667,15,15,0.416666666666667,0.2,FALSE,7.06876059931981,-0.00476269365444211,4,0.190547260526443,1.74740187661332,0,0,"Bad"
"FT004",62.9824763849753,3.38884710450939e-07,408.3671875,12.5642708460756,49.3112131754557,11.9882160603097,5.82633420297663,6.07130276562725,2.87417528004132,8.80952380952381,17.5714285714286,423.142857142857,21,14,0.416666666666667,0.1,FALSE,3.88920018560391,0.490512521951947,2,0.0862083834891049,1.4169361696599,0,0,"Bad"
"FT005",62.9824742159889,3.60105371101454e-07,340.335479736328,8.97011484366354,42.165585604581,11.5706098052188,5.71641253612484,5.94265231671497,3.09044997675733,9.16666666666667,16.3333333333333,352.166666666667,18,15,0.416666666666667,0.2,FALSE,3.29061375140704,0.378911097293429,1,0.108277057909612,1.27413812707995,0,0,"Bad"
"FT006",62.9824668701182,3.51089117517313e-07,160.097869873047,11.4851957799636,30.790174119016,5.61752048758235,5.8918329964934,5.99656476978513,3.54822883082795,9.05,12,165.95,20,14,0.416666666666667,0.1,FALSE,2.69307963670912,0.230922222063361,-1,0.146359311369248,1.38122266156883,0,0,"Bad"
"FT007",62.9824727206615,3.39598310700655e-07,227.364837646484,7.74776126319007,35.7153712681362,8.20751235640136,5.88737514596111,6.0722133615303,3.10436643251031,8.93333333333333,14.3333333333333,227.666666666667,15,14,0.416666666666667,0.2,FALSE,2.91238052027591,0.338715034874504,0,0.171930322186454,1.1385129785469,0,0,"Bad"
"FT008",62.9824772675379,3.79986990642723e-07,1138.84057617188,12.4245138215509,43.6424612491689,11.7505022970404,5.36249594858155,5.11019145803587,1.34998154001343,23.2857142857143,11.4761904761905,307.619047619048,21,15,0.333333333333333,0.4,FALSE,6.0291108528122,-0.0904750311604658,-1,0.18892550256956,0.0459154191978,0,0,"Bad"
"FT009",62.9824698150081,3.28971268737428e-07,464.178527832031,6.91921289509313,36.8849896686833,6.11151541225118,5.28785004779926,5.66683910079937,2.63336466882622,8.76923076923077,11.7692307692308,489.615384615385,13,13,0.416666666666667,0,FALSE,2.07068038790398,0.344044629320078,26,0.195404817965147,1.32049533669903,0,0,"Bad"
"FT010",62.9824672143982,3.68596012987144e-07,259.176544189453,7.74820650348753,35.6355340140206,8.09880817976348,5.73542606166052,5.89729924627192,3.29193990663273,9.23076923076923,14.0769230769231,266.230769230769,13,12,0.333333333333333,0.1,FALSE,3.02006579743152,0.390299036758412,0,0.051164291723401,1.23357720479553,0,0,"Bad"
"FT011",62.9824843937078,3.29959429611343e-07,896.821990966797,17.1455674256732,47.14949315908,17.8212527275522,5.78853911931278,6.07063203248842,0.95504799584152,18.8181818181818,22.3636363636364,178.590909090909,22,14,0.458333333333333,0,FALSE,3.24108206927986,0.191127236195982,3,0.920364266643325,1.1714428642776,0,0,"Bad"
"FT012",62.9824604057737,3.7649545252986e-07,107.465236663818,11.6528289084824,33.1948698176894,7.13962861197215,6.12659441105517,6.31348016675262,2.85499366521542,8.78571428571429,13,96.8571428571429,14,12,0.291666666666667,0.2,FALSE,3.80531229234435,0.499329038488102,-1,0.181955677392366,1.57185470626692,0,0,"Bad"
"FT013",62.9824765813503,3.49649831804899e-07,839.648803710938,10.8678975930179,40.1804809570312,8.59867447439639,5.76030742818806,6.05843855237688,1.38153529112066,20.9090909090909,21,128.636363636364,11,8,0.291666666666667,0,FALSE,2.4858165589703,0,19.5,0.818904874428789,1.73656752583227,0,0,"Bad"
"FT014",62.9824727052804,3.45890033317159e-07,297.461959838867,7.4676679348426,27.2687980837938,0.605258197302047,5.82041067760899,6.17484459135005,2.46428910510349,9.33333333333333,12.6666666666667,313.666666666667,6,6,0.125,0.1,FALSE,2.36465899764394,0.161464285722209,0,0.119004072023281,1.20914398056609,0,0,"Bad"
"FT015",62.9824925318667,3.77765949749232e-07,962.577697753906,10.70908695027,36.8683878580729,7.67721590655555,5.12369769119193,5.35783348205149,0.649969397156684,22.5,18.75,264.125,8,7,0.208333333333333,0,FALSE,3.03032761313346,0.0839981521190406,2,0.829815326268904,0.783368331656677,0,0,"Bad"
"FT016",62.9824804026701,3.66189244573934e-07,1050.3076171875,13.1698094552732,30.4213300432478,7.58272623099939,5.36006271415353,5.71018974481692,1.06212445008365,19.8461538461538,16.2307692307692,310.769230769231,13,12,0.375,0,FALSE,2.89965503877797,0.0709085798999045,1.5,0.823212274622602,0.64365897768139,0,0,"Bad"
"FT017",62.9824713326319,3.88416095942198e-07,997.443420410156,12.1767788640165,40.1450135766006,3.71690581284862,5.04970598448859,5.35619400368597,1.05140933986986,15.75,15.5,293.5,4,4,0.166666666666667,0,FALSE,3.01558493999679,0.00889034258044486,3,0.677342331045818,0.578783656567699,0,0,"Bad"
"FT018",64.016500460537,3.43619751574436e-07,1208.68530273438,16.9087163243226,56.2963363879654,15.1419917690245,6.745712411264,6.58055009806043,1.33803175040467,20.2758620689655,14.2413793103448,1177.10344827586,29,23,0.875,0,FALSE,7.24875201517791,0.00611698076392532,7,0.505496587233698,0.231638987924968,0.831358959773136,0.995995267547075,"Bad"
"FT019",64.0164976767792,3.46868816045763e-07,1271.25170898438,7.82996825449891,34.6909596865699,12.4659106705239,7.14298230176727,6.96650404118789,1.90349729645135,19.52,14.36,1243.96,25,24,0.875,0,FALSE,3.78080437927154,0.319800696597565,8,0.572714803901339,0.78726279857668,0.784014298418362,0.998183061063003,"Bad"
"FT020",64.0165141403287,3.6884197336597e-07,32.6872711181641,10.0890494102977,30.7004156793867,5.97781668691908,5.87145876658463,5.9553233616865,0.237886248373993,17,11.25,20,8,7,0.208333333333333,0,FALSE,2.87314983745707,0.365466176204148,0.5,0.338306141725404,1.49459050014263,0,0.994763274797567,"Bad"
"FT021",64.0165351516282,3.36420135476194e-07,588.268035888672,6.62037821980141,26.2164165217702,1.40716426712965,5.26177379711803,5.37065526458242,0.468765315847925,18.25,13.5,417.5,4,4,0.166666666666667,0,FALSE,3.24834561209006,0.273267574156743,1,0.880925698955934,0.546405085711991,0,0,"Bad"
"FT022",64.0164916007299,3.45080584438067e-07,787.511962890625,14.5114330927945,40.292724609375,3.47450978235452,5.33320241026225,5.49534597331705,0.150514997831991,20.75,17,758.5,4,3,0.125,0,FALSE,3.34606500715888,0.117232106089163,1.5,0.572821924200023,0.525090261281121,0,0,"Bad"
"FT023",74.0970857453847,3.63028900329309e-07,540.72265625,7.27549619594259,38.3963578945789,5.76304381921652,7.06091932128921,6.95022968965465,1.80289917272386,27.8888888888889,13,570.222222222222,18,18,0.625,0,FALSE,10.7302913601706,0.78165032376586,3,0.483636994740949,0.610200710216509,0.996000491172471,0.999421861001072,"Good"
"FT024",74.0971038558249,3.61883229461415e-07,13.2028523840576,5.83593450676665,41.488679164482,13.1040492632906,7.3933740862015,7.5666718928909,1.75927471389589,27.8888888888889,15.1111111111111,1.27777777777778,18,18,0.625,0,FALSE,4.57193106316381,0.295606195087623,3,0.82785551329499,0.0761782727493407,0.982361586125123,0.998995197081976,"Bad"
"FT025",74.0971254676769,3.58645968643361e-07,582.910400390625,7.63567165564736,38.7538273508956,3.20933306603153,6.08721376204344,5.83905710987335,0.476042248342321,33.8,11,611.4,5,5,0.166666666666667,0,FALSE,5.84412748532351,0.344190633200489,2,0.312857215745359,-0.0117559054985026,0.617989895806467,0.99792886116664,"Bad"
