"feature","mean_mz","sd_ppm","mean_rt","sd_rt","mean_pw","sd_pw","log_mean_area","log_sd_area","sn","f","scale","lmin","feat_npeaks","n_found","samps_found","stans_found","pooled_cv","pooled_cv_rob"
"FT0001",60.0451349177432,0.315648491081802,1252.78723144531,23.8156614301367,71.7734602107558,13.3008159114051,7.33307942609018,0.483978185543461,0.86719892543528,225.666666666667,26,1332.25,1.04878048780488,0.24390243902439,0.333333333333333,0,0.95834722118249,0.469658079006353
"FT0002",60.0644957985313,0.335822531619635,408.810150146484,11.6266127634475,38.5962082623421,5.18447779025622,6.23929164993437,0.252312224141722,1.01587396042457,115.076923076923,13.4615384615385,370.692307692308,1.14634146341463,0.170731707317073,0.25,0,0.238200398112224,0.259628593836543
"FT0003",60.0644788685116,0.348443448391989,564.766357421875,9.15478865884949,36.1374038154978,4.0446403256013,6.78634531600705,0.380638749504275,1.99629237804343,102.4,13.4,503.5,1.04878048780488,0.195121951219512,0.291666666666667,0,0.464272621317926,0.518590044770206
"FT0004",60.0644775727992,0.375982676242188,44.7336235046387,14.9022911859685,37.1828942797743,9.10358751278112,6.0770348468264,0.265469691049227,1.14260619869084,110.5,15.8333333333333,29.5833333333333,1.17073170731707,0.121951219512195,0.166666666666667,0,0.0845339034292194,0.0889479435944001
"FT0005",60.0644929366953,0.354922986657586,483.126373291016,10.1821425792352,29.0952675949436,1.70288863556012,6.21519838801923,0.256849211157411,1.19121734089476,112.3,12,487.5,1.09756097560976,0.146341463414634,0.208333333333333,0,0.199083335538025,0.154466208332383
"FT0006",60.0644834573062,0.360061461014057,230.959197998047,9.39459427840771,38.1853739925281,7.75237997366434,6.0711864120735,0.333475092152912,1.14900940496473,108.857142857143,16.4285714285714,229.571428571429,1.04878048780488,0.121951219512195,0.166666666666667,0,0.509216766935253,0.280757565117679
"FT0007",60.06449314503,0.322105255385124,130.466031834961,7.97173138700772,39.7306348032924,4.01729689935794,6.08364494092436,0.300270745147367,1.17690371978349,112,15,117,1.02439024390244,0.121951219512195,0.166666666666667,0,0.218259683612241,0.233517136738306
"FT0008",60.0644824784662,0.360703246070597,345.078413338867,8.85375786664197,38.7007878341273,6.56185407845557,6.11234981182323,0.373703993812143,1.0752670405555,111.166666666667,15.6666666666667,311.5,1,0.146341463414634,0.208333333333333,0,0.248370795204944,0.0928118364341614
"FT0009",60.0644808886658,0.371835846472152,269.185745239258,9.04246220320459,24.943268660691,1.33279464307393,5.87177439235138,0.332805078715373,1.11308421134423,110.833333333333,11,284.666666666667,1.02439024390244,0.121951219512195,0.166666666666667,0,0.233324270143081,0.281674428149675
"FT0010",60.064505745559,0.341037553188595,663.422393798828,18.1487563488024,53.3221840082213,10.9501201433133,6.63262358174764,0.595120120262179,1.58111008837097,110.833333333333,22.3333333333333,616.5,1.04878048780488,0.0975609756097561,0.125,0,0.326595694587601,0.345661877916769
"FT0011",60.0644930139711,0.325116978502683,174.636312,8.02495413963711,27.5521871028011,2.81807582504593,5.90131238918204,0.360582011835514,1.08501289179587,112.8,13.8,176,1,0.121951219512195,0.166666666666667,0,0.341636200498068,0.264119576964641
"FT0012",61.040400056775,0.356424359963752,288.098571777344,7.73231834456711,37.7378089718702,9.62714326579905,7.33344072401024,0.146525651189711,0.786294697525527,180,17.8571428571429,285.714285714286,1,0.170731707317073,0.208333333333333,0,0.547116833149182,0.322886517790756
"FT0013",61.0404026130377,0.374331320515025,473.652679443359,7.65230703809431,68.2159118652344,4.5306815380805,7.56220985942963,0.0807640165169837,0.595052810427901,174.75,25,485.5,1,0.0975609756097561,0.166666666666667,0,0.179373009720074,0.207249838360486
"FT0014",62.0607872779342,0.390611114912969,604.637385878906,21.6586150695762,74.3942611667132,26.2465699150982,8.44339479491673,0.178309147951081,0.576701992938684,226.403846153846,20.8846153846154,628.615384615385,1.36585365853659,0.902439024390244,1,0.6,0.33873885936556,0.314951028370232
"FT0015",62.0607901347459,0.377670758026087,746.46923828125,15.4649301176899,67.1600110384807,17.05290085009,8.39978653707509,0.143335419564541,0.386696013582961,232.810810810811,23.3783783783784,778.486486486486,1.14634146341463,0.75609756097561,1,0,0.349857524191286,0.371234810050067
"FT0016",62.060764361539,0.392328434123283,62.8972702026367,18.493700653265,102.075724566855,6.00577652910282,8.36560992849632,0.143957995343051,0,192.142857142857,41.8571428571429,13.5714285714286,1,0.170731707317073,0.166666666666667,0.3,0.463668650928938,0.415938436605091
"FT0017",62.0607619105275,0.37160679396136,135.496315002441,4.27253370572489,37.5874916634909,2.98508005816547,8.10572032115363,0.125722476583894,0.150514997831991,180.75,16.5,128.25,1,0.0975609756097561,0,0.4,0.392148144679178,0.500258992453466
"FT0018",62.982458710268,0.358982571140359,1267.88293457031,11.0499606585526,52.6277473791788,23.3021452437397,8.86437184918937,0.837814018680973,3.48963997712262,205.578947368421,14,441.473684210526,1.04878048780488,0.878048780487805,1,0.5,0.595338905560759,0.544987045047541
"FT0019",62.9824641732315,0.31881489746345,1209.99847412109,17.4909698568784,81.5952525417259,20.6811534281177,8.57904954710619,0.926159339372598,3.13916530717675,202.735294117647,21.2941176470588,366.352941176471,1.07317073170732,0.75609756097561,1,0.1,0.840487584040935,1.07883975040937
"FT0020",62.9824708808267,0.359938403468031,14.7693614959717,3.62107628897342,59.4866081069155,25.8778104575009,7.69003118244515,0.832930845450686,4.15071373743343,56.2380952380952,15,5.19047619047619,1,0.51219512195122,0.458333333333333,0.6,0.828421724836351,0.873975081497322
"FT0021",62.9824704269018,0.364228716047314,340.348449707031,8.36360568671643,43.0821880961573,12.8520019312492,6.60615753770286,0.71777978556252,2.75355840871407,62.0476190476191,17.7619047619048,356.333333333333,1.04878048780488,0.463414634146341,0.458333333333333,0.4,1.21864273765741,1.38992582137134
"FT0022",62.9824686376952,0.33924228442935,227.364837646484,7.7535836284886,35.5115272885277,9.5253286618563,6.72922830964023,0.667973870376819,2.90163035299911,61.1052631578947,15.2105263157895,228.736842105263,1.02439024390244,0.439024390243902,0.458333333333333,0.4,1.02817865775172,1.41380251457801
"FT0023",62.9824672143982,0.369869338356377,259.116058349609,7.17597998713621,32.8722908383324,8.74397750649901,6.63809191456941,0.706620361562415,2.93079070446599,62.2941176470588,13.7058823529412,269.117647058824,1.02439024390244,0.390243902439024,0.375,0.3,1.01085587070346,1.40792678025474
"FT0024",62.9824649158541,0.340944447761811,162.041305541992,12.7217461014682,33.326772261639,5.86942538115002,6.84321524771789,0.715201560139233,3.25223345652466,60.0384615384615,12.1538461538462,169.923076923077,1.19512195121951,0.439024390243902,0.458333333333333,0.3,0.963482800847337,1.42679923357692
"FT0025",62.9824763849753,0.330468971229767,409.100219726562,13.9444886956814,46.1723876953125,13.1777535272724,6.46740677396677,0.774847521297821,2.67688949677935,58.5555555555556,16.3333333333333,429.814814814815,1.21951219512195,0.439024390243902,0.458333333333333,0.3,0.986367278017212,1.40329622659467
"FT0026",62.9824694622653,0.321925051676737,463.711486816406,7.12472702185123,36.5766326159966,7.1817220546819,5.49782293927918,0.83516838671287,2.5131448799965,58.25,12.5,489.8125,1,0.390243902439024,0.458333333333333,0.1,1.15761606920417,1.41261521392633
"FT0027",62.9824772675379,0.379986990648848,1138.84057617188,12.4245138215509,43.6424612491689,11.7505022970404,6.62988032415066,0.247120414272595,1.34998154001343,212.047619047619,11.4761904761905,307.619047619048,1.14634146341463,0.365853658536585,0.333333333333333,0.4,0.544061950320568,0.550588632101364
"FT0028",62.9824627564483,0.374996707703223,105.488067626953,13.5108387444486,35.118558623574,7.81345731941219,6.98178182446093,0.816568203599103,2.75451570047516,57.8333333333333,12.6666666666667,93.8333333333333,1.07317073170732,0.365853658536585,0.291666666666667,0.4,0.715024309588847,0.575214427493108
"FT0029",62.9824633599426,0.343949340041118,299.741744995117,9.54916341017119,30.9364471435547,3.07338348658791,6.56158125174231,0.641638377154365,2.28610599542731,60.6666666666667,14,324.666666666667,1.02439024390244,0.268292682926829,0.208333333333333,0.4,1.01765865325008,1.39193962961381
"FT0030",62.9824843937078,0.329959429615642,896.821990966797,17.1455674256732,47.14949315908,17.8212527275522,5.98073621723265,0.561073696237247,0.95504799584152,191.954545454545,22.3636363636364,178.590909090909,1.19512195121951,0.341463414634146,0.458333333333333,0,0.798232893188315,0.775246933277721
"FT0031",62.9824765813503,0.349649831801094,839.648803710938,10.8678975930179,40.1804809570312,8.59867447439639,5.67501573563234,0.703165417731553,1.38153529112066,207.545454545455,21,128.636363636364,1.07317073170732,0.195121951219512,0.291666666666667,0,1.05297373888821,1.11977028093612
"FT0032",62.9824862219268,0.399635513401646,970.188018798828,12.9830302753615,42.0809674944196,8.34731791537977,5.84431488904416,0.421402854143626,0.783782711394409,204.5,17.6666666666667,273.916666666667,1.02439024390244,0.268292682926829,0.375,0,0.885056808440143,0.643056281137947
"FT0033",62.9824804026701,0.366189244578899,1050.3076171875,13.1698094552732,30.4213300432478,7.58272623099939,5.77584714362104,0.465158589713817,1.06212445008365,204.153846153846,16.2307692307692,310.769230769231,1.02439024390244,0.292682926829268,0.375,0,1.11957003199429,0.750685069436624
"FT0034",64.0164962069478,0.348391852668302,1269.17138671875,10.3724071722922,43.0693703892299,17.3792642144351,8.16056087350098,0.767133651113456,2.08710924294832,196.055555555556,14,1104.44444444444,1.02439024390244,0.853658536585366,1,0.5,0.964492698243518,0.478392237672747
"FT0035",64.016500460537,0.345194763307101,1208.68530273438,16.6527654087695,55.272717081117,15.4082966382878,7.81410426411453,0.677647534328392,1.38400853263192,201.242424242424,14.030303030303,1146.87878787879,1.14634146341463,0.658536585365854,0.916666666666667,0.1,0.815766999234793,0.800716535374214
"FT0036",64.0165081635258,0.367647159307368,31.7402086257935,9.65817111085502,29.376837795431,6.55801623418979,6.75799123079096,0.707106227496288,0.423553481513094,187.75,11.1666666666667,19.25,1.07317073170732,0.219512195121951,0.25,0,0.815806932599921,0.381947362288854
"FT0037",64.0165350211048,0.323311427974682,588.128662109375,7.12096570818104,27.6622091153773,1.56100868789456,6.24031430610871,0.247457790028857,0.495424250943932,171.6,13,359.8,1,0.121951219512195,0.208333333333333,0,0.464430646240912,0.317355553301054
"FT0038",64.0164821604883,0.355153616106216,1145.32196044922,9.25576187423558,36.7645844250191,6.24340330803922,6.49569530771178,0.225523425930148,0.940946276930565,212,13.6666666666667,426,1,0.146341463414634,0,0.4,0.436113957045709,0.450274981264096
"FT0039",64.0164897311546,0.348954221287519,828.364501953125,13.396243496059,39.3404395693824,2.88264796892369,6.15790186208249,0.259861308367262,0.445061856345173,235,15,282,1.02439024390244,0.0975609756097561,0.0416666666666666,0.3,0.488599045715661,0.496240427520851
"FT0040",64.0165102027101,0.350515771006961,786.274261474609,13.8232695682315,45.0013844559832,4.40410601169441,6.33849359640607,0.251307900919579,0.301029995663981,188.5,18.5,623.5,1,0.0975609756097561,0.166666666666667,0,0.438288535397666,0.345068420993477
"FT0041",64.0164737252328,0.345536210757784,919.3095703125,11.2682145250879,39.9616133527058,9.22684653300204,6.24973338789098,0.226435577018597,0.477121254719662,248,19,199.666666666667,1,0.0731707317073171,0,0.2,0.343540807115599,0.469746762255916
"FT0042",70.0658200134244,0.388290113348858,450.282409667969,6.44851303344168,59.4726502953506,8.99164073584624,6.98913232978074,0.286328898798782,1.53419024207316,139.444444444444,11.2222222222222,387.777777777778,1,0.219512195121951,0.166666666666667,0.4,0.273368917701283,0.297341579484693
"FT0043",70.0658394474198,0.3614197102429,12.5624847412109,3.31894508599783,37.9686477046187,5.85695965495712,6.81930572525373,0.315143888161799,2.09245924465795,162.8,22.6,1,1,0.121951219512195,0.125,0.1,0.789342415161798,0.809604541141014
"FT0044",70.0658252413143,0.347300320705155,590.235534667969,13.1560494204872,54.7320549197313,2.83766377409789,6.43961161583249,0.185341806526606,0.389075625191822,146.25,22,554.75,1,0.0975609756097561,0.125,0.1,0.458955888778582,0.668859842005885
"FT0045",70.0658228579048,0.341554205367796,647.211944580078,16.4368403459896,58.1266680461604,8.17526174759763,6.53700648315983,0.186614205927739,0.468765315847925,167,25,644,1,0.0975609756097561,0.0416666666666666,0.2,0.500860257458739,0.652256511126677
"FT0046",70.0658221178284,0.34284628469156,374.953430175781,9.48455544225321,32.6043462985899,1.04093994522892,6.24151563897523,0.151761809876484,0.418424168367769,125.666666666667,16.3333333333333,237.333333333333,1,0.0731707317073171,0.0416666666666666,0.2,0.411193669837553,0.504357054135945
"FT0047",70.0658171583772,0.376984086029443,966.037658691406,7.88134500405471,24.2181158298399,2.07780143043999,6.13041304069739,0.161031530597551,0.200686663775987,157.666666666667,11,992.333333333333,1,0.0731707317073171,0.0416666666666666,0.2,0.425569706164249,0.345384510248962
"FT0048",70.0657970516783,0.315198322315877,296.847030639648,12.45551709932,37.4347534179688,0.195342046886929,6.31394590842262,0.184026949659927,0.389075625191822,161.5,11,340,1,0.0487804878048781,0,0.2,0.494755653504364,0.697619972285603
"FT0049",70.0658073052858,0.344381876460307,868.00146484375,11.8676257010395,45.1857604980469,2.49655815970529,6.40375761502567,0.162529153868261,0.588045629527841,161.5,20,984.5,1,0.0487804878048781,0,0.2,0.402450049974712,0.3353650289312
"FT0050",70.065790758766,0.351608694735642,533.237823486328,10.2862520703031,35.7938537597656,0.73386675568927,6.1937366874217,0.140635608789031,0.627636252551653,143.5,11,463,1,0.0487804878048781,0,0.2,0.246860536408864,0.326021256599775
"FT0051",70.0657760352786,0.334661896002234,64.6091728210449,6.55444650150961,27.4044361114502,0.486414133375312,6.37802112791909,0.240397771002199,0.602059991327962,161.5,11,55,1,0.0487804878048781,0,0.2,0.563708533827972,0.311399141803742
"FT0052",70.0657980795986,0.313782352416428,206.615943908691,6.21636885465075,21.7948379516602,0.115063535216086,6.14100200263523,0.197029122013059,0.539590623023812,161.5,11,221,1,0.0487804878048781,0,0.2,0.458806853233983,0.583996324591397
"FT0053",70.0658001925705,0.324637026887857,708.565734863281,10.0049893510378,30.1463913690476,0.282183068328161,6.22705436609025,0.161302067135964,0.100343331887994,168.333333333333,12.3333333333333,816.333333333333,1.02439024390244,0.0487804878048781,0,0.2,0.422093513874094,0.230084509039409
"FT0054",71.0498097281659,0.344056315587778,4.62257748,0.875853697218193,33.4500595746987,1.0678064957467,6.60136070320575,0.12915073892705,1.97841708295027,26,29.6666666666667,1,1,0.0731707317073171,0.125,0,0.33538639657539,0.263031259205608
"FT0055",72.0814668719767,0.365706825280681,11.6608345615479,2.2841336525173,44.9255244892393,16.2937495674983,7.31344842960544,0.478340373781925,2.05159531163849,157.791666666667,17.4166666666667,1,1,0.585365853658537,0.541666666666667,0.7,0.998830984893311,1.22724240785884
"FT0056",72.0814481651434,0.379153841901374,424.216720581055,4.90860405406061,51.8516496545112,8.50167367807618,6.96163542330554,0.234653106981395,0.782252449513605,162,16.1818181818182,438.818181818182,1,0.536585365853659,0.458333333333333,0.8,0.457052618029312,0.514460170119177
"FT0057",72.0814447942524,0.386647417955143,326.442932128906,15.7479113534767,41.8529548951389,10.4694934652818,6.84313379136173,0.423739093263714,0.87526712464595,150.304347826087,13.0869565217391,337.391304347826,1.09756097560976,0.463414634146341,0.333333333333333,0.8,0.596952172623679,0.643088646892083
"FT0058",72.0814440835946,0.351949149861676,175.528190612793,23.3495193597163,33.7017041653167,6.33110302657348,6.69745246173914,0.206395037183293,0.673829902513188,142.208333333333,14.5,177.125,1.24390243902439,0.341463414634146,0.208333333333333,0.7,0.492369694784572,0.241505437082295
"FT0059",72.0814638966025,0.347993593865682,604.425964355469,15.7365989337059,50.5556581078506,11.721787939569,6.70044137476992,0.270157919883013,0.235496344545169,167.769230769231,20.2307692307692,642.615384615385,1,0.317073170731707,0.208333333333333,0.5,0.538347031917303,0.470935443734837
"FT0060",72.0814424093456,0.365324621896727,70.7436676025391,13.3627053084006,35.657416043357,4.37176736997307,6.85157311823058,0.272259448275709,0.847411260642933,143.636363636364,12.0909090909091,67.8181818181818,1,0.268292682926829,0.166666666666667,0.6,0.681703306476785,0.946622308832107
"FT0061",72.0814699304906,0.336453777321179,1179.90386962891,14.0404434020524,44.5082218821456,5.15245148688989,6.81776127432506,0.207886257796029,0.398298901961937,156.375,14.25,1290.5,1,0.195121951219512,0.166666666666667,0.4,0.462082245991261,0.624176285820625
"FT0062",72.0814426758455,0.365481352610092,691.168395996094,12.4859269259082,31.9380926087845,9.84195480696631,6.62145139382082,0.238856141164353,0.43167249841905,161.7,15.8,769.4,1.04878048780488,0.195121951219512,0.0416666666666666,0.5,0.950325730489514,0.720364364611192
"FT0063",72.08143605438,0.341272424279747,374.90055847168,10.3124460548741,31.3146165822456,3.12627119320652,6.51595475204463,0.20300333070928,0.560413745791862,151.5,12.6666666666667,415,1,0.146341463414634,0.0416666666666666,0.4,0.583409798687699,0.693599356978506
"FT0064",72.0814488571619,0.392670302046466,955.870361328125,11.2176531583165,37.2714471584413,3.87780718279396,6.72482501058684,0.185508841387109,0.583051758964933,144.5,14.6666666666667,1073.83333333333,1,0.146341463414634,0,0.5,0.431791044309335,0.491883565871788
"FT0065",72.0814359451288,0.389872279419759,838.259368896484,13.5399812888818,51.4352097284226,9.36379689171689,6.80143897042032,0.199926975349843,0.319537812595911,212.125,17.25,918.875,1.02439024390244,0.170731707317073,0.0833333333333334,0.3,0.501432903728412,0.694503803060298
"FT0066",72.0814601140803,0.370126383667462,1039.19836425781,10.4724905913688,36.3565941787348,4.75449805276872,6.72323581851068,0.196165899302733,0.501506430029516,176.714285714286,16.7142857142857,1149,1,0.170731707317073,0.0416666666666666,0.4,0.534422651359483,0.637015014378816
"FT0067",72.0814557619578,0.377152874642511,895.777587890625,11.6645231244745,37.2179624976181,4.62060863593538,6.69209230774146,0.186108889694044,0.45666024574071,148.6,13.8,1012.4,1,0.121951219512195,0,0.5,0.458373479443335,0.596858382467212
"FT0068",72.0814841826269,0.387932665463988,1076.58813476562,8.69636729590961,31.103241711128,1.76198155791775,6.65717047364831,0.178117801629389,0.43167249841905,153.4,12.2,1185.6,1,0.121951219512195,0.0833333333333334,0.2,0.403658422658189,0.452872439647598
"FT0069",72.081423087895,0.350046149723827,540.616882324219,10.6821002323568,34.9295944356422,3.31921795047112,6.36855205475521,0.196242112565522,0.368252502423772,153.333333333333,11,558.5,1,0.146341463414634,0.0416666666666666,0.5,0.467642991231163,0.434682785294116
"FT0070",72.0814423262912,0.381981046237725,478.340789794922,7.62790295443523,24.6777560908918,2.58371051782677,6.32101984070643,0.182543443269366,0.430721870727922,143.666666666667,11.3333333333333,524.166666666667,1,0.146341463414634,0.125,0.3,0.563899087787066,0.303046262956493
"FT0071",72.0814305895293,0.344139097015923,739.214874267578,9.90316792792398,31.2786098573266,4.49774949763907,6.57792492944551,0.266680173410829,0.376287494579977,195.5,17.5,833,1,0.0975609756097561,0,0.3,0.579046117538147,0.774081203713582
"FT0072",72.0814423480834,0.367516207157338,253.368316650391,14.5063155433531,42.5247151444598,3.15472223984716,6.71951503680347,0.194898892346356,0.444537812595911,177.25,15.5,271.5,1,0.0975609756097561,0.0416666666666666,0.2,0.582775690016952,0.639553835135417
"FT0073",72.0814279523816,0.340633246003628,779.580322265625,9.10879161936417,29.4175429925686,1.39095708958271,6.53023745167971,0.201229748884234,0.418424168367769,129.666666666667,11,892,1,0.0731707317073171,0,0.3,0.548411723489468,0.667807676832519
"FT0074",72.0814547460276,0.341756334156193,1292.93432617188,9.66441708358983,24.884380061452,6.76708305237214,6.14449807065885,0.386507034566277,1.29608837869793,117.5,11,1406.5,1,0.0487804878048781,0,0.2,0.225004186749735,0.239641373398479
"FT0075",72.0814259377974,0.271350566819702,1239.19683837891,10.5212498035379,39.59716796875,1.0020543398681,6.42029029875,0.265718623393619,0.588045629527841,172,11,1375.5,1,0.0487804878048781,0,0.2,0.377160413154177,0.544151190334025
"FT0076",73.0654628868941,0.375942791385507,6.8310522,1.32366168297225,38.9474206364699,6.356514772126,7.32142715495669,0.125835015346117,2.31377989722954,137.703703703704,28.4814814814815,1,1.02439024390244,0.634146341463415,0.625,0.8,0.551284822730065,0.332591942662343
"FT0077",73.0654561229328,0.345727503631256,109.635498046875,9.03262977351542,38.7594569136457,3.17456074465905,6.70319752265958,0.275888292856778,0.700935788443064,69.4285714285714,15,99.7142857142857,1,0.170731707317073,0.125,0.3,0.919926677110073,0.678923604505964
"FT0078",73.0654889337004,0.362561628265493,471.012557983398,12.6481901062261,49.4473513648623,9.21872564725263,6.63755170130254,0.322540183349224,0.464333124107817,132,26.5,491.25,1.02439024390244,0.0731707317073171,0.0833333333333334,0.1,0.773158377827861,0.31439448698986
"FT0079",73.0654797535882,0.354035967158544,164.217361450195,10.7320637056888,32.6770782470703,0.336173287421552,6.56615544354652,0.291337317107523,0.477121254719662,114.666666666667,11.6666666666667,164,1,0.0731707317073171,0.0833333333333334,0.1,0.85911437981005,0.512189249318096
