"feat_id","t_pval"
"FT0001",-0.00815741715685758
"FT0002",-0.0735869322841534
"FT0003",-0.418655638958486
"FT0004",-0.0443311107340913
"FT0005",0.000434077479318593
"FT0006",-0.0443311107340913
"FT0007",0.000434077479318593
"FT0008",-0.424812155072339
"FT0009",-0.320138500180676
"FT0010",0.000434077479318593
"FT0011",-0.0350013179442946
"FT0012",-0.249106079617875
"FT0013",-0.0350013179442946
"FT0014",0.000434077479318593
"FT0015",-0.150652860205914
"FT0016",-0.191210481943279
"FT0017",-0.0258677458007026
"FT0018",-0.525680086416478
"FT0019",-0.162869763259263
"FT0020",-0.953029688658466
"FT0021",-0.717383155735884
"FT0022",-0.860774568959339
"FT0023",-1.19382002601611
"FT0024",-0.787380548213522
"FT0025",-1.16115090926274
"FT0026",-0.634079375298091
"FT0027",-0.741794400635701
"FT0028",-0.94711497386962
"FT0029",-0.909310963290165
"FT0030",-0.0636144043361939
"FT0031",-0.0258677458007026
"FT0032",-0.20757495583164
"FT0033",-0.0636144043361939
"FT0034",-0.331132301118924
"FT0035",-0.0636144043361939
"FT0036",-0.467116341687065
"FT0037",-0.00815741715685758
"FT0038",0.000434077479318593
"FT0039",-0.0837938480373
"FT0040",-0.104956812005768
"FT0041",0.000434077479318593
"FT0042",-0.286686340925162
"FT0043",-0.419624712062737
"FT0044",-0.334245631637038
"FT0045",-0.254491477749811
"FT0046",-0.162869763259263
"FT0047",-0.175440305426086
"FT0048",-0.0636144043361939
"FT0049",-0.406685526367903
"FT0050",-0.0636144043361939
"FT0051",-0.0735869322841534
"FT0052",-0.0735869322841534
"FT0053",-0.362674592075173
"FT0054",-0.0169223103543461
"FT0055",-0.61432543036728
"FT0056",-0.20757495583164
"FT0057",-0.0350013179442946
"FT0058",-0.127204101357308
"FT0059",-0.0350013179442946
"FT0060",-0.265859333888371
"FT0061",-0.675498635235551
"FT0062",-0.507610506989132
"FT0063",-0.0258677458007026
"FT0064",-0.559979155005367
"FT0065",-0.191210481943279
"FT0066",-0.127204101357308
"FT0067",-0.104956812005768
"FT0068",-0.791526785670108
"FT0069",-0.20757495583164
"FT0070",-0.341468282415748
"FT0071",-0.138770242092412
"FT0072",-0.240835977271634
"FT0073",-0.138770242092412
"FT0074",-0.5274873309204
"FT0075",-0.440593854535593
"FT0076",-0.0538657406127805
"FT0077",-0.0350013179442946
"FT0078",-0.0735869322841534
"FT0079",-0.150652860205914
"FT0080",-0.150652860205914
"FT0081",-0.183397189597301
"FT0082",-0.1159380165294
"FT0083",-0.0538657406127805
"FT0084",-0.505690770237747
"FT0085",0.000434077479318593
"FT0086",-0.0350013179442946
"FT0087",-0.0636144043361939
"FT0088",-0.0942464351250062
"FT0089",-0.254491477749811
"FT0090",-1.03621217265444
"FT0091",-0.0443311107340913
"FT0092",-0.150652860205914
"FT0093",-0.104956812005768
"FT0094",-0.0538657406127805
"FT0095",-0.0258677458007026
"FT0096",-0.1159380165294
"FT0097",-0.415990035535638
"FT0098",-0.716377261018885
"FT0099",-0.219005359356199
"FT0100",-0.525680086416478
"FT0101",-1.14874165128092
"FT0102",-1.72124639904717
"FT0103",-1.04095860767891
"FT0104",-0.435672171342813
"FT0105",-0.473660722610156
"FT0106",-0.00815741715685758
"FT0107",-1.27572413039921
"FT0108",-1.2839966563652
"FT0109",-0.692460744405201
"FT0110",-1.20065945054642
"FT0111",-1.67778070526608
"FT0112",-0.0942464351250062
"FT0113",-1.10237290870956
"FT0114",-1.02356832131681
"FT0115",-1.14874165128092
"FT0116",-0.707343669500047
"FT0117",0.000434077479318593
"FT0118",-3
"FT0119",-0.272187732365518
"FT0120",-0.0636144043361939
"FT0121",-0.104956812005768
"FT0122",-1.17392519729917
"FT0123",-0.924888300374095
"FT0124",-0.20757495583164
"FT0125",-0.138770242092412
"FT0126",-0.574738154966831
"FT0127",-0.150652860205914
"FT0128",-0.00815741715685758
"FT0129",-0.544264637132741
"FT0130",-0.0538657406127805
"FT0131",-0.127204101357308
"FT0132",-0.260729118109104
"FT0133",-3
"FT0134",-0.0942464351250062
"FT0135",-0.60316273827189
"FT0136",-0.657900070333305
"FT0137",-0.138770242092412
"FT0138",-0.00815741715685758
"FT0139",-0.138770242092412
"FT0140",-0.265859333888371
"FT0141",-0.651870229221269
"FT0142",-0.150652860205914
"FT0143",-0.0735869322841534
"FT0144",-0.484228019659705
"FT0145",-0.254491477749811
"FT0146",-0.162869763259263
"FT0147",-0.419624712062737
"FT0148",-0.451068909886618
