"feature","mean_mz","sd_ppm","mean_rt","sd_rt","mean_pw","sd_pw","log_mean_area","log_sd_area","sn","f","scale","lmin","feat_npeaks","n_found","samps_found","stans_found","pooled_cv","pooled_cv_rob","med_SNR","med_cor","max_SNR","max_cor","medtop3_cor","log_med_cor","med_missed_scans","smp_to_blk","smp_to_std","iso_shape_cor","iso_area_cor","feat_class"
"FT0002",60.0644957985313,0.335822531619635,408.810150146484,11.6266127634475,38.5962082623421,5.18447779025622,6.23929164993437,0.252312224141722,1.01587396042457,115.076923076923,13.4615384615385,370.692307692308,1.14634146341463,0.170731707317073,0.25,0,0.238200398112224,0.259628593836543,3.08105411351792,0.230321759677041,4.12089629424041,0.671297413671631,0.469047481595285,-0.11369079126467,0,0.215921232259905,0.0301123453577932,1,1,"Bad"
"FT0003",60.0644788685116,0.348443448391989,564.766357421875,9.15478865884949,36.1374038154978,4.0446403256013,6.78634531600705,0.380638749504275,1.99629237804343,102.4,13.4,503.5,1.04878048780488,0.195121951219512,0.291666666666667,0,0.464272621317926,0.518590044770206,8.85670310100008,0.538952091912198,12.4456415175065,0.862202879024903,0.846411672867512,-0.33625394416104,2,0.358302965269793,0.602205418774768,-0.438683735173267,-1.29779049714186,"Good"
"FT0004",60.0644775727992,0.375982676242188,44.7336235046387,14.9022911859685,37.1828942797743,9.10358751278112,6.0770348468264,0.265469691049227,1.14260619869084,110.5,15.8333333333333,29.5833333333333,1.17073170731707,0.121951219512195,0.166666666666667,0,0.0845339034292194,0.0889479435944001,2.92027405786672,0.180254245837834,5.10639578643135,0.403105529931803,0.326082457372422,-0.0863208240623392,0,0.439018498805281,0.29853048757302,1,1,"Bad"
"FT0005",60.0644929366953,0.354922986657586,483.126373291016,10.1821425792352,29.0952675949436,1.70288863556012,6.21519838801923,0.256849211157411,1.19121734089476,112.3,12,487.5,1.09756097560976,0.146341463414634,0.208333333333333,0,0.199083335538025,0.154466208332383,2.60977190147131,0.0183718791972154,3.62908732497326,0.807923591618707,0.402742656420877,-0.00805300882369175,0,0.181832042223356,0.0418086537740302,1,1,"Bad"
"FT0006",60.0644834573062,0.360061461014057,230.959197998047,9.39459427840771,38.1853739925281,7.75237997366434,6.0711864120735,0.333475092152912,1.14900940496473,108.857142857143,16.4285714285714,229.571428571429,1.04878048780488,0.121951219512195,0.166666666666667,0,0.509216766935253,0.280757565117679,2.98071070248014,0.226356476643076,4.23152639160762,0.528074658443388,0.512465982647002,-0.111459105856225,1,0.302423515856931,0.164237562959412,1,1,"Bad"
"FT0007",60.06449314503,0.322105255385124,130.466031834961,7.97173138700772,39.7306348032924,4.01729689935794,6.08364494092436,0.300270745147367,1.17690371978349,112,15,117,1.02439024390244,0.121951219512195,0.166666666666667,0,0.218259683612241,0.233517136738306,3.31587175943615,0.252067830721161,4.40003750447966,0.587955473183016,0.582653411067702,-0.126137786953285,1,0.329611969912397,0.202604398635019,1,1,"Bad"
"FT0008",60.0644824784662,0.360703246070597,345.078413338867,8.85375786664197,38.7007878341273,6.56185407845557,6.11234981182323,0.373703993812143,1.0752670405555,111.166666666667,15.6666666666667,311.5,1,0.146341463414634,0.208333333333333,0,0.248370795204944,0.0928118364341614,3.01986091488838,0.233484372704508,4.74135301618365,0.648895726044373,0.482760679204863,-0.115478986564315,1,0.258157690412142,0.153018593459008,1,1,"Bad"
"FT0009",60.0644808886658,0.371835846472152,269.185745239258,9.04246220320459,24.943268660691,1.33279464307393,5.87177439235138,0.332805078715373,1.11308421134423,110.833333333333,11,284.666666666667,1.02439024390244,0.121951219512195,0.166666666666667,0,0.233324270143081,0.281674428149675,2.5418643243693,0.056282247400172,3.70913564359483,0.665869803157753,0.516626843926585,-0.0251578752114706,1,0.318637477094491,0.195920565650254,1,1,"Bad"
"FT0010",60.064505745559,0.341037553188595,663.422393798828,18.1487563488024,53.3221840082213,10.9501201433133,6.63262358174764,0.595120120262179,1.58111008837097,110.833333333333,22.3333333333333,616.5,1.04878048780488,0.0975609756097561,0.125,0,0.326595694587601,0.345661877916769,3.77198361590797,0.117715435962913,9.23195954214266,0.787203398664323,0.754908080409943,-0.0543913188829342,-1,0.103281547937484,0.222849130941055,1,1,"Bad"
"FT0011",60.0644930139711,0.325116978502683,174.636312,8.02495413963711,27.5521871028011,2.81807582504593,5.90131238918204,0.360582011835514,1.08501289179587,112.8,13.8,176,1,0.121951219512195,0.166666666666667,0,0.341636200498068,0.264119576964641,2.59914133649934,0.15134139422561,3.76442716021542,0.727509520034121,0.608878230985927,-0.071266980481752,1,0.359347125780374,0.137566849039568,1,1,"Bad"
"FT0012",61.040400056775,0.356424359963752,288.098571777344,7.73231834456711,37.7378089718702,9.62714326579905,7.33344072401024,0.146525651189711,0.786294697525527,180,17.8571428571429,285.714285714286,1,0.170731707317073,0.208333333333333,0,0.547116833149182,0.322886517790756,3.48406311297388,0.561097366245442,9.14611371234003,0.861313193425752,0.858533484165479,-0.357631813045117,1,-0.0573751905189223,0.180861570625767,-0.0972789703284435,-1.02304077117357,"Ambiguous"
