"feature","med_SNR","med_cor","max_SNR","max_cor","log_med_cor"
"FT0875",2.8869727643743,0.100401114638605,5.3196844417169,0.785535966691737,-0.0459510913441146
"FT0876",5.7500955678693,-0.34082207928976,13.1046640255129,0.805495062932104,0.127371152863436
"FT0877",3.33059438006926,0.0443642940828296,6.43217722862988,0.870358247876675,-0.0197076318469202
"FT0878",2.20485874100761,0.721631902001961,15.5685381673181,0.986371238871161,-0.555380537945426
"FT0879",6.47512723880771,0.778235378556683,8.60719733545367,0.875681568325463,-0.654107736534297
"FT0880",4.03068036139983,0.260283167816222,8.00992340277636,0.602571609026717,-0.130934498857424
"FT0881",5.81733687101331,0.24840735300715,8.46818791563261,0.753223996115792,-0.124017477355508
"FT0882",9.516657073922,0.241712279748335,12.9910575396878,0.606351178649524,-0.120165976942519
"FT0883",5.89724421081485,0.397584194822934,8.61636284287227,0.614478386160187,-0.220103642366552
"FT0884",8.37887446325134,0.632686320439694,12.159550413025,0.819901890466858,-0.434962897282457
"FT0885",14.0284549664415,0.904612563030329,19.0250751102242,0.940984119223339,-1.0205088204115
"FT0886",4.06489212043426,0.550298638800273,5.37620625511533,0.714636317395694,-0.347075797865379
"FT0887",12.422586734983,0.896270268147573,33.2712641973325,0.961707948348907,-0.984096744780255
"FT0888",8.72528730799561,0.918224186561911,14.3811797483027,0.95479914580419,-1.08737512717955
"FT0889",3.59522457931838,0.0505968137090562,4.99556434482402,0.33045825538512,-0.0225493150800007
"FT0890",2.86473701975472,0.131269347528378,23.5159132585695,0.909303773495796,-0.0611148544805392
"FT0891",1.33912105041832,0.0572145759995754,4.27317770690096,0.680084609535594,-0.0255871405358326
"FT0892",1.87346221560965,0.11669740778276,4.56072343915825,0.705460817589088,-0.053890495042556
"FT0893",1.90588241836989,0.692115731939716,7.44875964863649,0.947956433947892,-0.511612501642953
"FT0894",20.6164542032179,0.929376755389356,22.7109151450428,0.982987206296028,-1.15105233372663
"FT0895",2.29117207075584,0.703939558159899,20.5207073012347,0.89991015378794,-0.528619617056003
"FT0896",12.5572480900109,0.847070757581864,15.2071756958798,0.925773284798615,-0.815509462877044
"FT0897",4.37079778744842,0.305261239593812,15.8059899885034,0.773330891833617,-0.158178470578739
"FT0898",15.8291455675129,0.0620861905879773,21.8720991405134,0.356884108533077,-0.0278370697410091
"FT0899",8.78909813688627,-0.0794193457081982,22.3537598710043,0.632870279354521,0.0331901973673544
"FT0900",2.81304750712112,0.276288548062729,5.32030198778775,0.784850016220301,-0.140434555087345
"FT0901",3.59478962723243,0.327182550372885,7.98141414236691,0.566392424268595,-0.172102753567911
"FT0902",2.37925495984358,0.298684045992464,6.67232043691379,0.822346516765747,-0.154086281365546
"FT0903",3.23078581498966,0.377671698703953,4.99146661017106,0.92460524834824,-0.205980448385251
"FT0904",4.03740537728541,0.502336332763581,9.59623489140489,0.725961826458331,-0.303064064489475
"FT0905",4.37850198944686,0.263559190067665,9.61610387304241,0.615952882009321,-0.132862153034216
"FT0906",2.55942685441163,-0.0556620122567008,6.80431232363401,0.599773609138389,0.0235248938536823
"FT0907",4.02340744360337,0.685397554435233,6.57115812823809,0.829622184397519,-0.502237905707787
"FT0908",8.65909497646141,-0.000202209288682776,10.8838959902245,0.563673418044596,8.78095006153904e-05
"FT0909",8.35428792697185,0.478891974158382,11.2161035957092,0.64227052018565,-0.283072237998302
"FT0910",7.57298679683183,0.304216936705976,10.0626317466223,0.465533875486296,-0.157526147027737
"FT0911",2.92169070284176,0.297260436201022,5.95149581756969,0.7804877080708,-0.153205595266122
"FT0912",9.35729801166164,0.381311359725104,19.28941946483,0.979769448831239,-0.208527857975829
"FT0913",6.62853712271087,0.41470862263318,12.7350886799912,0.926820183602612,-0.232627873954492
"FT0914",2.73916039047442,0.111825360360022,5.11115054722429,0.768164781941676,-0.0515016315470043
"FT0915",4.59307712726279,-0.0448729737218591,7.86206020251336,0.393689142530918,0.0190634960309385
"FT0916",2.24343877315401,0.366141913981964,3.9663465612086,0.653441481107735,-0.198007965080694
"FT0917",18.2416828171653,0.913092519915944,24.2438629572615,0.977359620203712,-1.06094284243022
"FT0918",2.58797856315284,0.0980685531491105,4.37600296707603,0.477412332770927,-0.0448264706463041
"FT0919",5.58346475377011,0.740376501387321,7.62878009852215,0.826793600367794,-0.585656001948858
