"feature","shape_cor","area_cor"
"FT0127",-1.24266420285819,-1.63663722564522
"FT0128",-1.23614453112107,-2.4097680539895
"FT0129",-0.561291460752235,-1.58064108912779
"FT0130",-0.844255087292694,-3.287679680393
"FT0131",-0.654195490225739,0
"FT0132",-0.189699384718546,0
"FT0133",0,0
"FT0134",-0.463716204994503,0
"FT0135",-1.85489898406927,-2.37003976992961
"FT0136",-2.79899452052444,-2.84780789218726
"FT0137",0,0
"FT0138",-0.474991973424302,-1.7568432675795
"FT0139",-0.15156208495504,-1.05759263036813
"FT0140",-0.748117280067607,-1.51414643150617
"FT0141",-0.373226660976488,-1.71475821612495
"FT0142",-0.732950749350126,0
"FT0143",-1.12709940011774,-2.98474342685236
"FT0144",-0.385197112963682,-1.21326672517337
"FT0145",-0.778124524394566,-3.64204122890278
"FT0146",-0.774421539914633,-2.67449018944471
"FT0147",-0.692443314907438,0.301029995663981
"FT0148",-1.22521029724745,-1.92818493884966
"FT0149",-0.460939722833145,-2.29925779359598
"FT0150",-1.12232731483803,-2.11570780783248
"FT0151",-1.13870957029328,-0.780169000374968
"FT0152",-0.66733429738825,-1.27575838958799
"FT0153",-2.42841457126813,-2.7180633140553
"FT0154",-0.523107468217063,-2.1695501044304
"FT0155",-0.392596159234295,-1.68855735150117
"FT0156",-0.449609367625632,-2.15294656638457
"FT0157",-0.311593791762141,0
"FT0158",-0.165919792232316,-1.6597272897058
"FT0159",-0.166132379637469,-1.66797427372823
"FT0160",0.00626016603725296,-1.3670114624803
"FT0161",-2.33596979146093,-3.22031909652256
"FT0162",-0.166867898344707,-1.11147585019983
"FT0163",-0.141538972478945,-0.883301661507573
"FT0164",-0.49882015712401,-1.06584973099359
"FT0165",-0.286764308818026,-2.06009822018259
"FT0166",-0.0294775277540633,-1.43327463463214
"FT0167",-0.582102489253009,-2.25946406929383
"FT0168",-0.175692683062921,-1.45069008724862
"FT0169",-0.193490997034448,-0.669709835344429
"FT0170",-0.105498828017726,-1.1207433762278
"FT0171",-0.116584975023703,-1.57338105520566
"FT0172",-0.0868880071831373,-1.38692806715894
"FT0173",0.0525085484506688,-0.920171224301457
"FT0174",-0.919834601683342,-3.35790682514275
"FT0175",-0.12817225829339,-1.26706662059834
"FT0176",-0.0798277776589805,-1.18260780317845
"FT0177",-1.05210436836421,-1.40632705888536
"FT0178",-0.11864756373219,-1.44027272134132
"FT0179",-0.382050826502047,-2.96128696071935
"FT0180",-0.42953470171087,-2.20431927472498
"FT0181",-1.09689674106284,-1.98359569396635
"FT0182",0,0
"FT0183",0,0
"FT0184",-0.581404233652191,-4.47109954910854
"FT0185",0,0
"FT0186",-2.19939446909861,-1.53743933079487
"FT0187",-0.206190477033012,-1.97265636486812
"FT0188",-0.0974251620223563,-0.552650658069123
"FT0189",-0.135161571169249,-0.606649875260886
"FT0190",-0.0475175399935784,-1.68444090861584
"FT0191",-0.423657667244679,-0.630538676143601
"FT0192",-0.425429909889291,-2.44702873384146
"FT0193",-0.369137023619304,0
"FT0194",-0.471362610096315,-1.35759972111048
"FT0195",-0.0549389580074634,-1.31491047911377
"FT0196",0,0
"FT0197",0.0326595001471715,-1.56452828059339
"FT0198",0,0
"FT0199",-1.1969392364408,-1.93861050602644
"FT0200",-0.042660774542965,-0.481500418222772
"FT0201",-0.341443251529672,-2.59063420407943
"FT0202",-0.426952183129733,-2.14653593241432
"FT0203",-1.64066570764779,-1.04244313277069
"FT0204",-1.62216975215417,0
"FT0205",0.0328099331741966,-2.75722814832104
"FT0206",-0.0904452782000009,-0.950804316321478
"FT0207",-0.13826610527449,-0.822344626539699
"FT0208",-0.485249531485544,-2.76659379538043
"FT0209",-0.492273407877431,-2.63119660044191
"FT0210",-0.395570170678264,-3.17604558772383
"FT0211",-0.489401738282874,-3.36952620387891
"FT0212",-0.230755648020733,-2.79791625582935
"FT0213",-0.329038287822538,-1.42033485623616
"FT0214",-0.308420105821625,-1.5781081137749
"FT0215",-2.44496800190861,-3.09428910243083
"FT0216",-0.753084222887342,-1.96424985988768
"FT0217",-2.08675656066318,-1.1769141085572
"FT0218",-1.53043021998035,-0.853733982591578
"FT0219",-0.294117201078702,-2.59052844296953
"FT0220",-0.227896020191899,-2.85015849474972
"FT0221",-0.188905743709204,-2.40579528067374
"FT0222",-0.120068014981285,-2.21492997299183
"FT0223",-0.197947177919775,-2.5826580339453
"FT0224",-0.160753156690896,-2.87822524868898
"FT0225",-0.203174313776559,-2.94788265169664
"FT0226",-0.180462459652093,-2.40931214611312
"FT0227",-0.765324663399355,-3.17199948807971
"FT0228",-0.266203456119345,-2.17101902439549
"FT0229",-0.199082444617935,-3.01414669710929
"FT0230",-1.96954681717287,-3.25749043702288
"FT0231",-0.222956808509632,-2.61679930095233
"FT0232",-0.280847034863214,-2.34504363873034
"FT0233",-0.116968631172183,-2.40519743194167
"FT0234",-1.01878454130576,-1.22875356052164
"FT0235",-0.0714426369775353,-2.92235406465828
"FT0236",-1.88874534009561,-2.53969785432542
"FT0237",-0.156014424114714,-1.71440530323615
"FT0238",-0.498929574085469,0
"FT0239",-1.94215411620419,-1.86446918895035
"FT0240",-0.0659962620898156,0
"FT0241",-0.398048482749458,-0.601656688376912
"FT0242",-1.43183662525622,-3.30895141147861
"FT0243",0,0
"FT0244",0,0
"FT0245",0,0
"FT0246",-0.151094909962825,-1.35137330757147
"FT0247",0,0
"FT0248",0,0
"FT0249",-0.683780739125114,-4.59360727720038
"FT0250",-0.92563840539191,-1.33333452806831
"FT0251",-2.12230629572891,-2.19904436981057
"FT0252",0,0
"FT0253",0,0
"FT0254",0,0
"FT0255",0,0
"FT0256",-0.675600002745754,-0.410728507901352
"FT0257",0,0
"FT0258",0,0
"FT0259",-0.288115040029712,-2.51218676210596
"FT0260",-0.462469048786716,-3.13913266900153
"FT0261",-0.163922199163143,-2.1345142966201
"FT0262",-0.487818032886661,-1.99727788147822
"FT0263",-0.147780110323155,-1.86997457590443
"FT0264",-0.311963675912647,-3.95704670477589
"FT0265",-2.47106083801704,-3.88702592806376
"FT0266",-1.7550839639335,-3.69503395235182
"FT0267",-1.62940996535875,-4.90426899809944
"FT0268",0,0
"FT0269",0,0
"FT0270",-0.37239497594005,-0.985762931621893
"FT0271",-0.449221553647107,-1.39401698581783
"FT0272",-0.893532664533861,-1.51127965645897
"FT0273",-0.56503687107729,-2.00372051776193
"FT0274",-0.784507608454553,0.301029995663981
"FT0275",-0.639412334091573,-0.955266720849442
"FT0276",-0.172534456052827,-0.745979335510821
"FT0277",-0.257891746105071,-1.68070847528155
"FT0278",-1.13069642125096,-1.51531337520881
"FT0279",-0.307542700144753,-2.3158882796569
"FT0280",-0.500651970776262,-1.34800859988257
"FT0281",-2.40043038879565,-3.89624836450476
"FT0282",-0.267529728826888,-1.3909043090564
"FT0283",-0.101577841855034,-1.26087081287427
"FT0284",-0.586472098625187,-1.2505924033281
"FT0285",-0.206532742989598,-1.98295660880378
"FT0286",-0.129215444324154,-1.54834468261102
"FT0287",-0.171047145525198,-2.36223255101526
"FT0288",-2.20586137154765,-2.67534497665858
"FT0289",-0.503602998304504,-0.897912554067916
"FT0290",-0.108571338339875,-1.52944652259974
"FT0291",-0.228031675629807,-1.09874745428653
"FT0292",-0.197803067703574,-1.24953196998621
"FT0293",-0.0364380862711852,-1.41736276444522
"FT0294",-1.09762400037701,-4.50671022008135
"FT0295",-0.25599427341528,-3.99569046641423
"FT0296",0.00790623053238384,0
"FT0297",-1.09602735319901,-2.47330197897985
"FT0298",0,0
"FT0299",0,0
"FT0300",-2.63194678364036,-2.66239246156242
"FT0301",-0.140253446761597,0
"FT0302",0,0
"FT0303",-2.19570449631647,-2.349586980298
"FT0304",-0.555395242130368,0
"FT0305",-0.689128045587703,-1.01316779340463
"FT0306",-0.00828086554133979,0
"FT0307",-0.195050489823106,-0.78574734957354
"FT0308",-0.232672426498595,-2.68265909521483
"FT0309",-1.36716060269268,-2.35695128295163
"FT0310",-0.167320481862743,0
"FT0311",0,0
"FT0312",0,0
"FT0313",-1.52778774828345,-3.48681403851394
"FT0314",-0.665077645976291,-1.79724413306251
"FT0315",-0.742069363378497,-2.72508217106851
"FT0316",-0.318140244562405,-1.31900152708118
"FT0317",-0.189203799653893,-3.13612328578876
"FT0318",-1.45036004062187,-1.05741975350525
"FT0319",0.0276695230525771,-1.54945537754509
"FT0320",-2.76047993159052,-2.87412050715696
"FT0321",-0.398919043709868,-2.60328276717452
"FT0322",-1.89229757288315,-3.93879229868698
"FT0323",-0.281136504171002,-0.841804703846983
"FT0324",-0.0163418050959456,-1.54942660706119
"FT0325",-0.184599500273028,-1.01545078757854
"FT0326",-1.42445193871515,-1.83886651154616
"FT0327",0.0111777015249779,0
"FT0328",0,0
"FT0329",-0.235406604478673,-2.65481605801826
"FT0330",0,0
"FT0331",-0.0836235831700243,0
"FT0332",0.0488494534147063,-0.707310857314072
"FT0333",-1.47991701167954,-0.964470840757312
"FT0334",-0.359533281684721,-2.95156533000251
"FT0335",-0.457439248841099,-1.3447852830821
"FT0336",-1.28225751299497,-2.53367295430527
"FT0337",-0.286411078819434,-1.2672039789247
"FT0338",-0.126894364692318,-2.14473374255911
"FT0339",-0.357205950551167,-1.34036029377469
"FT0340",-3.46481942982239,-4.34608351873835
"FT0341",-0.638765859814191,-2.2511690808149
"FT0342",0.0560934749299886,-0.246227900347896
"FT0343",0.0944351347849043,-0.594884680311366
"FT0344",-0.766744183203347,-2.71612819862957
"FT0345",-1.14309783811139,-3.5526739400757
"FT0346",-0.46175104445042,0
"FT0347",-1.09388913947445,-1.8950195116926
"FT0348",-1.71229918788843,-3.14259183415813
"FT0349",0,0
"FT0350",0,0
"FT0351",0,0
"FT0352",0,0
"FT0353",0,0
"FT0354",0,0
"FT0355",0,0
"FT0356",-0.23321443227038,-0.518767115865444
"FT0357",-0.526100483273196,0.0649935036249732
"FT0358",-0.541213961451697,-3.17437860898298
"FT0359",-0.960179590691346,-2.33742940712301
"FT0360",0,0
"FT0361",0,0
"FT0362",0,0
"FT0363",0,0
"FT0364",0,0
"FT0365",0,0
"FT0366",0,0
"FT0367",0,0
"FT0368",-2.38267070409187,-3.82847297452737
"FT0369",-0.908525846840079,-2.86177606967749
"FT0370",-1.4489564428791,-1.61269021814199
"FT0371",-0.0581466116804035,-4.10215743955114
"FT0372",-0.163515499121583,-0.844741348073703
"FT0373",0.0153001853113813,-0.964719537432992
"FT0374",-1.15830385788481,-1.61018233451657
"FT0375",-0.127078659936268,-0.976935194169686
"FT0376",-0.128070333160667,-1.12899589396045
"FT0377",-0.153761673738726,-0.892484439810206
"FT0378",-0.067448467345383,-1.39852579849991
"FT0379",-0.137054326655646,-1.05995142768194
"FT0380",-0.0951559918518612,-1.02251924790651
"FT0381",-0.172511194481059,-1.14062490630676
"FT0382",-0.509375199447914,-1.59205543368621
"FT0383",-0.640319258994877,-1.89882658136757
"FT0384",-0.144545606798497,-0.889082456438319
"FT0385",-0.0929795008585411,-0.835961154267712
"FT0386",-0.0972435178879638,-0.977816126987445
"FT0387",-0.143912672901769,-0.622804066155035
"FT0388",-0.126610054454295,-0.797135867080672
"FT0389",-0.125922543801548,-0.989112882119554
"FT0390",-0.189402820928589,-1.33285183171217
"FT0391",-0.0574231647779285,-1.10777008308978
"FT0392",-0.090288282389536,-1.13682032490449
"FT0393",-0.0779891890287026,-1.14159995527148
"FT0394",0,0
"FT0395",-0.298926046596413,-0.404389382968605
"FT0396",-0.629675040453094,-1.41464225635307
"FT0397",-0.817264948440393,-3.86485937679555
"FT0398",-0.511756035707717,-1.98319385721119
"FT0399",-2.15880296674157,-3.78686981574213
"FT0400",-0.873116524264892,-4.02370132075392
"FT0401",-1.75140113086914,-3.8686374478815
"FT0402",-2.56249093392236,-3.54244392250754
"FT0403",-1.58899317421155,-3.59132508713441
"FT0404",-0.746033691527352,-4.78397290143644
"FT0405",-0.302931415878321,-1.89342662900404
"FT0406",-0.001314516562485,0
"FT0407",-1.46297000872909,0
"FT0408",-0.65418581663453,-3.17864451820123
"FT0409",-1.00871634664364,-2.41060375703233
"FT0410",-1.92615661835086,-2.49251016321356
"FT0411",0,0
"FT0412",-1.17384232559887,-4.36488971762345
"FT0413",-1.55466822455605,0.301029995663981
"FT0414",-0.892154716811985,-3.64243937421443
"FT0415",-1.70462937355418,-3.47303421182754
"FT0416",-0.795931576105891,-3.40368336195997
"FT0417",-1.03283650965411,-3.93249934946187
"FT0418",-0.262301552498795,-3.59014897512379
"FT0419",-0.295756036924218,-3.72995999391991
"FT0420",-0.15435312613983,-2.46923340665314
"FT0421",-0.276019300328653,-3.42015394544333
"FT0422",-1.03876455862617,-3.59819278506796
"FT0423",-0.300768985091391,-3.4027314961506
"FT0424",-0.274612609622848,-3.36799882854333
"FT0425",-0.323118761488088,-3.29489234894074
"FT0426",-1.04155237884371,-3.60901200820972
"FT0427",-0.221801921732244,-2.40294659385092
"FT0428",0,0
"FT0429",0,0
"FT0430",0,0
"FT0431",-0.584331835682466,-2.05822788869471
"FT0432",0,0
"FT0433",0,0
"FT0434",0,0
"FT0435",0,0
"FT0436",0,0
"FT0437",0,0
"FT0438",0,0
"FT0439",0,0
"FT0440",0,0
"FT0441",0,0
"FT0442",-0.0606111981258986,-2.93054037189543
"FT0443",-0.471254970983752,-1.55769932099033
"FT0444",-2.3261293941763,-2.22189114343456
"FT0445",-2.20539832788776,-2.92169099194327
"FT0446",0,0
"FT0447",0,0
"FT0448",-0.992703503997044,-3.23912133838558
"FT0449",-1.04256575149082,-2.60857064907149
"FT0450",-0.876820902494366,-3.71078597171519
"FT0451",-1.65575678406804,-3.64474561029336
"FT0452",-0.823936543941969,-3.51502302074564
"FT0453",-1.1624710888028,-2.43383548504959
"FT0454",-0.541180635412011,-1.03586659081277
"FT0455",-0.0477795165673425,-2.06396483078281
"FT0456",-0.238755655203268,-1.22353351909541
"FT0457",-0.385695178117804,-2.30362815230806
"FT0458",-1.54942835416267,-1.05059301403504
"FT0459",-0.138195648941157,-4.66387224930352
"FT0460",-0.196640802840859,-0.964975738062906
"FT0461",-0.481924706173215,-2.47890149484693
"FT0462",0,0
"FT0463",-1.06198635745726,-3.07744543318298
"FT0464",-1.24994024664879,-0.383717327610519
"FT0465",-0.708378100859253,-4.70188387759457
"FT0466",0,0
"FT0467",0,0
"FT0468",0,0
"FT0469",-0.675476338229735,-0.869530554174643
"FT0470",-0.310429485603086,-0.461574926029841
"FT0471",-1.94592060550247,-3.7897274885433
"FT0472",-2.41711305977748,-4.03008410236688
"FT0473",-0.355456985354658,-3.41949263700584
"FT0474",-2.41804913527781,-4.12630471655082
"FT0475",-0.287042493686379,-2.44664732497261
"FT0476",-0.346008641847954,-2.80277339602498
"FT0477",-1.09651462348575,-3.51001761673494
"FT0478",-0.341188307454549,-2.25719425245121
"FT0479",-0.468650927484545,-3.17005057374176
"FT0480",-0.61576126875494,-2.3061764054001
"FT0481",-0.561262627095081,0
"FT0482",-0.226792177954281,-2.42955040796431
"FT0483",-2.41379632991035,0
"FT0484",-2.13561250587544,-3.25900159556367
"FT0485",-3.62874410858956,0
"FT0486",0,0
"FT0487",-0.186233915437026,0
"FT0488",0,0
"FT0489",0,0
"FT0490",0,0
"FT0491",-1.72405104008203,-3.34831469868789
"FT0492",0,0
"FT0493",-0.90425663397803,0.301029995663981
"FT0494",0,0
"FT0495",0,0
"FT0496",0,0
"FT0497",0,0
"FT0498",0,0
"FT0499",0,0
"FT0500",0,0
"FT0501",0,0
"FT0502",-0.71853341852214,-2.44759078132214
"FT0503",-1.58109020240803,-3.29584417568385
"FT0504",0,0
"FT0505",0,0
"FT0506",-1.13082141127951,-2.52819607171112
"FT0507",0,0
"FT0508",-0.729018793820709,-2.66791536671445
"FT0509",-0.103112900947859,-0.858888018917131
"FT0510",-0.0621691176376886,-1.21935371197283
"FT0511",0,0
"FT0512",0,0
"FT0513",-1.93733100496674,0
"FT0514",0,0
"FT0515",0,0
"FT0516",0,0
"FT0517",-0.800324538413608,-2.40779918875454
"FT0518",-0.040228978248358,-1.08828200399492
"FT0519",-0.262604159841936,-3.13481769690839
"FT0520",-0.129441629256838,-2.63984214463624
"FT0521",-1.99169530278267,-1.86079512758689
"FT0522",-0.833185370574383,-4.49924502473839
"FT0523",-0.74127953962587,-2.96503802405434
"FT0524",-0.0901316798416648,-1.07154707181025
"FT0525",-0.104527940159096,-1.36333364307239
"FT0526",-2.91838011019062,-4.11961752403013
"FT0527",-1.97581229565869,-2.85178763794354
"FT0528",-0.418546341368567,-1.87198310105537
"FT0529",-0.12164674971475,-3.2312743762907
"FT0530",-0.633741761583786,-1.34525145987512
"FT0531",-1.10679255247526,-2.80298853209816
"FT0532",-0.48640936726099,-0.794826376751405
"FT0533",-0.705968431084493,-2.19614343019211
"FT0534",-1.71950183160485,-1.24388325251664
"FT0535",-3.17925803302743,-4.27150128317356
"FT0536",-0.312123660047772,-1.97814608815574
"FT0537",0,0
"FT0538",-0.869254009975019,-2.51826773182493
"FT0539",-1.98167112852057,-4.58316982919211
"FT0540",-1.0954484754464,-4.50637072086401
"FT0541",-0.842063378288773,-3.30456865275074
"FT0542",-1.82813616758684,0
"FT0543",-1.71391681488278,-1.72314507579361
"FT0544",-0.846312045270845,0
"FT0545",0,0
"FT0546",0,0
"FT0547",0,0
"FT0548",0,0
"FT0549",0,0
"FT0550",-1.59612032387685,-3.15961687387174
"FT0551",-1.11413741041657,-4.02267277318788
"FT0552",-0.68705753756509,-3.57201939688364
"FT0553",-0.519032700424979,0
"FT0554",-1.29344487561727,0
"FT0555",-0.753625677870102,-0.871493396633271
"FT0556",-0.0108638666240384,-0.422270748006409
"FT0557",-1.15535325827229,-0.400795608009939
"FT0558",0,0
"FT0559",0,0
"FT0560",-2.28123623872454,-2.14658036351804
"FT0561",0,0
"FT0562",-0.406278741205075,-0.911040847939679
"FT0563",0,0
"FT0564",-0.650681288260074,-1.89127983943534
"FT0565",-2.47073862542389,-4.02117738791892
"FT0566",-1.86354498463258,-3.39582297114178
"FT0567",-0.128799506678705,-1.15862521763733
"FT0568",-2.6648603096806,-3.22124869900505
"FT0569",-1.26100370408007,-3.45093985379831
"FT0570",-0.575686725385915,-3.64043772509817
"FT0571",-1.11919202798229,-2.84587625380661
"FT0572",-0.906660677509143,-3.18404687347552
"FT0573",-0.816669024313987,-3.57276758625072
"FT0574",-0.765535225692021,-2.67812589251463
"FT0575",-0.246739829685067,-1.92515768689643
"FT0576",-0.912519794137278,-2.88830414851026
"FT0577",-0.571706968415859,-4.37474713073751
"FT0578",-0.586839527026066,-3.08628766454111
"FT0579",-0.471474385685599,-2.03682147419021
"FT0580",-0.836388205281074,-1.85248783023222
"FT0581",-2.31567042818978,-2.75675790641301
"FT0582",-0.219682834789938,-1.01705397268017
"FT0583",-0.0948454058947634,0
"FT0584",-0.0966599021449831,0
"FT0585",-0.350749976145838,-4.94075041403002
"FT0586",-0.0657509272584324,-0.372273322268388
"FT0587",-0.0182989699668191,-0.721500647839618
"FT0588",0.0223752301453348,-2.4076919682749
"FT0589",-0.108644229300079,0
"FT0590",-0.302944534887364,-0.386169427305224
"FT0591",0,0
"FT0592",-0.275355395478531,0
"FT0593",-0.124764784409286,-2.77548471591743
"FT0594",0.0344429690691298,0.234748686821863
"FT0595",-0.330428175826968,0
"FT0596",-0.0326210209975629,0.139403951743727
"FT0597",-0.0745778587615526,0.219458099723679
"FT0598",0,0
"FT0599",-0.239942959798405,-1.59051392753219
"FT0600",-0.580896304872151,-2.16582672862278
"FT0601",0,0
"FT0602",-0.402895738596923,-1.66824004712945
"FT0603",-0.337236112473306,-2.17791551658658
"FT0604",-1.09803447419819,-2.54222757781528
"FT0605",0,0
"FT0606",-0.140784450895361,-2.88035535865212
"FT0607",0,0
"FT0608",0,0
"FT0609",0,0
"FT0610",0,0
"FT0611",-0.00938385443134996,-1.32519773672624
"FT0612",0,0
"FT0613",-0.144637500865268,-1.77280056710997
"FT0614",0,0
"FT0615",-1.47192319045959,-3.22074786094335
"FT0616",-0.726977239216872,-3.23026248122167
"FT0617",-0.97254669466295,-2.82782253104157
"FT0618",-1.24502473829506,-2.18809090154947
"FT0619",-1.08728393866153,-2.27524205515129
"FT0620",-0.854431261353096,-1.75250631987928
"FT0621",-0.520788826095001,-3.48680585998575
"FT0622",0,0
"FT0623",0,0
"FT0624",0,0
"FT0625",-0.184616540593565,-1.59849691664373
"FT0626",-0.675564740513809,-1.99359338940433
"FT0627",0,0
"FT0628",0,0
"FT0629",0,0
"FT0630",0,0
"FT0631",0,0
"FT0632",0,0
"FT0633",0,0
"FT0634",0,0
"FT0635",0,0
"FT0636",-0.26975257090477,-1.69649436681271
"FT0637",-0.154489360794906,-2.25598202505511
"FT0638",-0.240759861386358,-2.54571147026918
"FT0639",-0.20702358634743,-3.6511051221989
"FT0640",-1.57844709990086,-3.04062271999002
"FT0641",0,0
"FT0642",0,0
"FT0643",0,0
"FT0644",-0.79165279662578,-2.5650994472747
"FT0645",-0.882799229084086,-3.02310258828748
"FT0646",-1.34146564498215,-5.4470058463299
"FT0647",-0.710875078573815,-2.67748244824704
"FT0648",-1.67295429657424,-1.70142103162906
"FT0649",-1.81522737829354,-3.85273253044576
"FT0650",0,0
"FT0651",-0.264488102163072,0
"FT0652",0,0
"FT0653",-1.73988227351275,-2.52952737473294
"FT0654",-0.639676404668444,0
"FT0655",0,0
"FT0656",-1.17327197136993,-1.70316168684007
"FT0657",0,0
"FT0658",0,0
"FT0659",0,0
"FT0660",0,0
"FT0661",0,0
"FT0662",0,0
"FT0663",-0.326568601147271,-0.900689708881868
"FT0664",-0.22969930830817,-2.44663148498065
"FT0665",-0.162126813888288,-1.01888109921541
"FT0666",-1.09701408419903,-4.03542945912784
"FT0667",-0.982607157805484,-3.42122988403071
"FT0668",-0.650576872965918,-3.32126380900784
"FT0669",-0.583862752960977,-3.27540112640595
"FT0670",-0.452986137027441,-3.34289481034227
"FT0671",-0.23719115333776,-2.60347571089958
"FT0672",-0.148651329140328,-2.3407794781029
"FT0673",-0.126428202771617,-1.99305983594912
"FT0674",-0.234964369532073,-2.81738479835281
"FT0675",-0.225422748614503,-2.7532003918333
"FT0676",-0.209235682101943,-2.83725494297504
"FT0677",-0.285225673280501,-2.39591445797406
"FT0678",-0.225773572847868,-2.53236167242018
"FT0679",-0.25144441959512,-2.48443263201983
"FT0680",-0.251849219337898,-2.6937728456302
"FT0681",-0.264640004129787,-2.5678652627496
"FT0682",-0.291359932520035,-2.39017413262673
"FT0683",-0.825730853963451,-1.45898355996928
"FT0684",0,0
"FT0685",0,0
"FT0686",0,0
"FT0687",0,0
"FT0688",0,0
"FT0689",0,0
"FT0690",-1.15127792099464,-2.15960818969549
"FT0691",-0.0868804247892753,-1.9825654278413
"FT0692",-0.128149133604849,-0.687803753590259
"FT0693",0,0
"FT0694",-0.00832267325141486,-1.06875626052148
"FT0695",0,0
"FT0696",-1.77630295022479,-4.64436142114695
