"feature","med_missed_scans"
"FT0395",51
"FT0396",18
"FT0397",4
"FT0398",14
"FT0399",12
"FT0400",33
"FT0401",1
"FT0402",5
"FT0403",-1
"FT0404",8
"FT0405",18
"FT0406",39
"FT0407",69
"FT0408",3
"FT0409",4
"FT0410",15.5
"FT0411",6
"FT0412",22
"FT0413",30.5
"FT0414",-1
"FT0415",9
"FT0416",2
"FT0417",1
"FT0418",0
"FT0419",-1
"FT0420",2
"FT0421",0
"FT0422",2
"FT0423",-1
"FT0424",0
"FT0425",0
"FT0426",32
"FT0427",0
"FT0428",-1
"FT0429",14
"FT0430",4
"FT0431",13
"FT0432",0
"FT0433",1
"FT0434",0
"FT0435",52
"FT0436",2
"FT0437",23
"FT0438",0
"FT0439",0
"FT0440",0
"FT0441",4
"FT0442",21
"FT0443",0
"FT0444",2
"FT0445",20
"FT0446",38
"FT0447",8
"FT0448",2
"FT0449",40
"FT0450",-1
"FT0451",6
"FT0452",13
"FT0453",43
"FT0454",3
"FT0455",1
"FT0456",0
"FT0457",11
"FT0458",4
"FT0459",7
"FT0460",1
"FT0461",24
"FT0462",7
"FT0463",4
"FT0464",62
"FT0465",26
"FT0466",11
"FT0467",26
"FT0468",50
"FT0469",38
"FT0470",69
"FT0471",17
"FT0472",30
"FT0473",0
"FT0474",4
"FT0475",1
"FT0476",4
"FT0477",0
"FT0478",2
"FT0479",1
"FT0480",5
"FT0481",14
"FT0482",1
"FT0483",9
"FT0484",25.5
"FT0485",6
"FT0486",11
"FT0487",3
"FT0488",7
"FT0489",2
"FT0490",9
"FT0491",18
"FT0492",1
"FT0493",13
"FT0494",4.5
"FT0495",21
"FT0496",5
"FT0497",19
"FT0498",11
"FT0499",2.5
"FT0500",13
"FT0501",6.5
"FT0502",12
"FT0503",18
"FT0504",2
"FT0505",8
"FT0506",28
"FT0507",19
"FT0508",1
"FT0509",4
"FT0510",1
"FT0511",12
"FT0512",8
"FT0513",19
"FT0514",16.5
"FT0515",4
"FT0516",3.5
"FT0517",3
"FT0518",4
"FT0519",0
"FT0520",3
"FT0521",45
"FT0522",12
"FT0523",0
"FT0524",1
"FT0525",0
"FT0526",26
"FT0527",13
"FT0528",2
"FT0529",4
"FT0530",39
"FT0531",58
"FT0532",36
"FT0533",27
