"feature","smp_to_std"
"FT0001",0.80302293337562
"FT0002",0.0301123453577932
"FT0003",0.602205418774768
"FT0004",0.29853048757302
"FT0005",0.0418086537740302
"FT0006",0.164237562959412
"FT0007",0.202604398635019
"FT0008",0.153018593459008
"FT0009",0.195920565650254
"FT0010",0.222849130941055
"FT0011",0.137566849039568
"FT0012",0.180861570625767
"FT0013",0.0498432827017162
"FT0014",-0.113420663114766
"FT0015",-0.0721836380125232
"FT0016",-0.163052155338789
"FT0017",-0.144663160953905
"FT0018",0.704358308704834
"FT0019",1.86956909353683
"FT0020",0.427446219842067
"FT0021",0.981239820493793
"FT0022",0.71273019506244
"FT0023",0.936101413414122
"FT0024",0.745269309948776
"FT0025",1.32689570879778
"FT0026",0.778677085675402
"FT0027",-0.0410659448379693
"FT0028",0.970975827229535
"FT0029",0.752694561468548
"FT0030",0.968506649497767
"FT0031",1.19548718647631
"FT0032",0.804146723639709
"FT0033",0.782642284323435
"FT0034",1.10538833038811
"FT0035",1.55837185919524
"FT0036",0.796127947387188
"FT0037",0.346741839379594
"FT0038",0.14615466312681
"FT0039",0.212544377357707
"FT0040",0.399924020176823
"FT0041",0.275026394383334
"FT0042",-0.333758313978966
"FT0043",0.484555500901401
"FT0044",0.149628539934173
"FT0045",0.224765921877015
"FT0046",0.129986633788755
"FT0047",0.15420537272703
"FT0048",0.0510797417649876
"FT0049",0.10837779075328
"FT0050",0.0213222372536633
"FT0051",0.265900506777653
"FT0052",0.116670869414046
"FT0053",0.146509267615983
"FT0054",-0.0124460914208859
"FT0055",0.81464174287253
"FT0056",-0.244656505236475
"FT0057",-0.660584852454796
"FT0058",0.153715236134828
"FT0059",0.247464222818396
"FT0060",0.337387712825702
"FT0061",0.339273265985465
"FT0062",0.20344970186498
"FT0063",0.0964247495597915
"FT0064",0.239319538073279
"FT0065",0.215135080472872
"FT0066",0.254471327257896
"FT0067",0.228622771134039
"FT0068",0.283740434107024
"FT0069",-0.0389993635592786
"FT0070",0.0114399249121112
"FT0071",0.168554857351383
"FT0072",0.113350946793305
"FT0073",0.202627348053087
"FT0074",-0.437649942949284
"FT0075",-0.114297324224363
"FT0076",-0.069371038860647
"FT0077",0.166851882120127
"FT0078",0.231417211849324
"FT0079",0.197416948242774
"FT0080",0.222179159867968
"FT0081",0.254420424800394
"FT0082",0.20747082876976
"FT0083",0.232700386464724
"FT0084",0.20973829168629
"FT0085",0.199464380464541
"FT0086",0.211838579674544
"FT0087",0.196511317548518
"FT0088",-0.360928472659099
"FT0089",-0.368539249132437
"FT0090",-0.295099976549526
"FT0091",-0.424749451756553
"FT0092",-0.204852797945667
"FT0093",-0.187339455943767
"FT0094",-0.233401978832239
"FT0095",0.33742902909192
"FT0096",0.485648922198517
"FT0097",-0.243619224565263
"FT0098",-0.480566497893473
"FT0099",0.480323692846306
"FT0100",3.53470070265769
"FT0101",0.808901274073954
"FT0102",3.53470070265769
"FT0103",3.53470070265769
"FT0104",3.53470070265769
"FT0105",2.35461370678129
"FT0106",0.60687217339928
"FT0107",-0.673955203255234
"FT0108",-0.416157742792096
