"feature","filename","iso_cor","init_area","iso_area"
"FT002","190715_Poo_TruePooFK180310_Half1.mzML",0,273040.442958266,0
"FT002","190715_Poo_TruePooFK180310_Half3.mzML",0,6709345.74383831,0
"FT002","190715_Std_4uMStdsMix1InH2O_1.mzML",0,167311.045470148,0
"FT002","190715_Std_4uMStdsMix1InH2O_2.mzML",0,178503.414754331,0
"FT002","190715_Std_4uMStdsMix1InMatrix_1.mzML",0,224973.888531223,0
"FT002","190715_Std_4uMStdsMix2InH2O_1.mzML",0,158677.483403593,0
"FT002","190715_Std_4uMStdsMix2InH2O_2.mzML",0,186167.274768218,0
"FT002","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,232466.138570189,0
"FT002","190715_Std_4uMStdsMix2InMatrix_2.mzML",0,207977.967160821,0
"FT002","190715_Std_H2OinMatrix_1.mzML",0,172807.582182109,0
"FT002","190715_Std_H2OinMatrix_2.mzML",0,1478058.69429123,0
"FT003","190715_Poo_TruePooFK180310_Full2.mzML",0,7055912.94684562,0
"FT003","190715_Poo_TruePooFK180310_Full3.mzML",0,4786138.603207,0
"FT003","190715_Poo_TruePooFK180310_Half2.mzML",0,4327314.51014973,0
"FT003","190715_Smp_FK180310S62C1-DCM_C.mzML",0,6300448.62240277,0
"FT003","190715_Smp_FK180310S64C1-25m_B.mzML",0,9210790.10301866,0
"FT003","190715_Smp_FK180310S64C1-25m_C.mzML",0,11356009.616414,0
"FT003","190715_Smp_FK180310S64C1-DCM_A.mzML",0,3578974.1829378,0
"FT003","190715_Smp_FK180310S64C1-DCM_B.mzML",0,6067814.09412038,0
"FT003","190715_Smp_FK180310S64C1-DCM_C.mzML",0,6078341.67643671,0
"FT003","190715_Smp_FK180310S77C1-25m_B.mzML",0,5156685.18286744,0
"FT003","190715_Smp_FK180310S77C1-25m_C.mzML",0,13064216.3769376,0
"FT003","190715_Smp_FK180310S77C1-DCM_B.mzML",0,4054619.9486411,0
"FT003","190715_Smp_FK180310S80C1-25m_A.mzML",0,9028678.73561144,0
"FT003","190715_Std_4uMStdsMix1InH2O_1.mzML",0,2288092.32270191,0
"FT003","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,2136738.04165661,0
"FT003","190715_Blk_KM1906U14-Blk_C.mzML",0,62611.8464501487,0
"FT003","190715_Poo_TruePooFK180310_Full1.mzML",0,348370.831900802,0
"FT003","190715_Poo_TruePooFK180310_Half1.mzML",0,37779.4704326957,0
"FT003","190715_Poo_TruePooFK180310_Half3.mzML",0,2933892.33523693,0
"FT003","190715_Smp_FK180310S62C1-25m_A.mzML",0,213150.983268163,0
"FT003","190715_Smp_FK180310S62C1-25m_B.mzML",0,198272.549832259,0
"FT003","190715_Smp_FK180310S62C1-25m_C.mzML",0,6113187.57096983,0
"FT003","190715_Smp_FK180310S62C1-DCM_A.mzML",0,218015.365153855,0
"FT003","190715_Smp_FK180310S62C1-DCM_B.mzML",0,215960.734836556,0
"FT003","190715_Smp_FK180310S64C1-25m_A.mzML",0,149396.241635493,0
"FT003","190715_Smp_FK180310S77C1-25m_A.mzML",0,244662.85022219,0
"FT003","190715_Smp_FK180310S77C1-DCM_A.mzML",0,168855.992809271,0
"FT003","190715_Smp_FK180310S77C1-DCM_C.mzML",0,625915.512661603,0
"FT003","190715_Smp_FK180310S80C1-25m_B.mzML",0,161642.704087073,0
"FT003","190715_Smp_FK180310S80C1-25m_C.mzML",0,163866.08848329,0
"FT003","190715_Smp_FK180310S80C1-DCM_A.mzML",0,179951.877037706,0
"FT003","190715_Smp_FK180310S80C1-DCM_B.mzML",0,49650.0325615765,0
"FT003","190715_Smp_FK180310S80C1-DCM_C.mzML",0,121582.608563877,0
"FT003","190715_Std_4uMStdsMix1InH2O_2.mzML",0,2610098.05457801,0
"FT003","190715_Std_4uMStdsMix1InMatrix_1.mzML",0,55960.5529667832,0
"FT003","190715_Std_4uMStdsMix1InMatrix_2.mzML",0,55170.7361883751,0
"FT003","190715_Std_4uMStdsMix2InH2O_1.mzML",0,149506.826219977,0
"FT003","190715_Std_4uMStdsMix2InH2O_2.mzML",0,85132.5712620454,0
"FT003","190715_Std_4uMStdsMix2InMatrix_2.mzML",0,977215.163134554,0
"FT003","190715_Std_H2OinMatrix_1.mzML",0,50133.7468431798,0
"FT003","190715_Std_H2OinMatrix_2.mzML",0,2976364.43631324,0
"FT004","190715_Poo_TruePooFK180310_Full2.mzML",0,666986.601297855,0
"FT004","190715_Poo_TruePooFK180310_Full2.mzML",0,535914.622289598,0
"FT004","190715_Poo_TruePooFK180310_Full3.mzML",0,162729.37389911,0
"FT004","190715_Poo_TruePooFK180310_Half2.mzML",0,420985.34930706,0
"FT004","190715_Poo_TruePooFK180310_Half2.mzML",0,364737.316882759,0
"FT004","190715_Smp_FK180310S62C1-DCM_C.mzML",0,48945.5177886076,0
"FT004","190715_Smp_FK180310S62C1-DCM_C.mzML",0,46191.3595266044,0
"FT004","190715_Smp_FK180310S64C1-25m_B.mzML",0,746029.902007133,0
"FT004","190715_Smp_FK180310S64C1-25m_B.mzML",0,320463.62097539,0
"FT004","190715_Smp_FK180310S64C1-25m_C.mzML",0,244861.20626355,0
"FT004","190715_Smp_FK180310S64C1-DCM_A.mzML",0,373137.10946627,0
"FT004","190715_Smp_FK180310S64C1-DCM_A.mzML",0,225532.246540383,0
"FT004","190715_Smp_FK180310S64C1-DCM_B.mzML",0,66678.4176085386,0
"FT004","190715_Smp_FK180310S64C1-DCM_C.mzML",0,59670.3526657876,0
"FT004","190715_Smp_FK180310S77C1-25m_B.mzML",0,1234810.82956707,0
